#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723355.1         -            718 4438at5820           -            576         0 1231.7  17.4   1   1         0         0 1230.9  17.4     1   572     1   599     1   601 0.97 | transcript=PVPAM_140027400_t1 | gene=PVPAM_140027400 | organism=Plasmodium_vivax_PAM | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=CASCJQ010000014:968475-970631(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718478.1         -            328 4438at5820           -            576   4.3e-08   31.0   0.7   2   2       4.7   1.8e+03   -4.1   0.0   523   538   161   176   155   180 0.77 | transcript=PVPAM_040022400_t1 | gene=PVPAM_040022400 | organism=Plasmodium_vivax_PAM | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=CASCJQ010000004:735172-736487(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718015.1         -            420 4438at5820           -            576   1.1e-07   29.7   0.2   1   1   5.7e-10   2.2e-07   28.7   0.2   125   192    85   155    77   164 0.85 | transcript=PVPAM_020024800_t1 | gene=PVPAM_020024800 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=CASCJQ010000002:857690-859715(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 4438at5820           -            576   2.8e-07   28.3   3.9   1   2   9.6e-10   3.6e-07   27.9   0.1   127   188    10    76     5    79 0.82 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 4438at5820           -            576   2.8e-07   28.3   3.9   2   2      0.16        62    0.7   0.7    57    92   666   701   657   708 0.84 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722148.1         -            339 4438at5820           -            576   3.1e-07   28.2   0.1   1   2   3.3e-08   1.3e-05   22.8   0.0   123   157     6    40     1    47 0.91 | transcript=PVPAM_120038600_t1 | gene=PVPAM_120038600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:1334802-1335821(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722148.1         -            339 4438at5820           -            576   3.1e-07   28.2   0.1   2   2      0.03        11    3.2   0.0   166   194   118   146   105   161 0.88 | transcript=PVPAM_120038600_t1 | gene=PVPAM_120038600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:1334802-1335821(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722993.1         -            381 4438at5820           -            576     8e-07   26.8   0.2   1   1   3.3e-09   1.3e-06   26.2   0.2   125   198    55   127    34   154 0.81 | transcript=PVPAM_130049900_t1 | gene=PVPAM_130049900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:1983241-1984755(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722769.1         -            421 4438at5820           -            576     1e-06   26.4   0.2   1   1   4.2e-09   1.6e-06   25.8   0.2   124   191    26    89    15    95 0.90 | transcript=PVPAM_130027000_t1 | gene=PVPAM_130027000 | organism=Plasmodium_vivax_PAM | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=CASCJQ010000013:998505-1000337(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721290.1         -            201 4438at5820           -            576   0.00015   19.3   0.6   1   2   3.8e-07   0.00015   19.3   0.6   127   186     4    64     1    76 0.77 | transcript=PVPAM_110019200_t1 | gene=PVPAM_110019200 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:606094-607727(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721290.1         -            201 4438at5820           -            576   0.00015   19.3   0.6   2   2      0.41   1.6e+02   -0.6   0.2    86   125   141   178    96   185 0.53 | transcript=PVPAM_110019200_t1 | gene=PVPAM_110019200 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:606094-607727(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723237.1         -            337 4438at5820           -            576   0.00023   18.7  10.5   1   1   9.6e-07   0.00036   18.0  10.5   125   327   116   320   106   325 0.75 | transcript=PVPAM_140015600_t1 | gene=PVPAM_140015600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000014:496845-497858(-) | protein_length=337 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4438at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4438at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4438at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:36 2026
# [ok]
