#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720269.1         -            611 4261at5820           -            540         0 1038.5  61.0   1   1         0         0 1022.6  61.0     2   535     4   594     3   607 0.93 | transcript=PVPAM_080049200_t1 | gene=PVPAM_080049200 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=CASCJQ010000008:1907073-1909842(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720005.1         -            188 4261at5820           -            540   2.1e-09   35.4   0.9   2   2   4.1e-05     0.016   12.7   0.5    66   103    92   129    87   148 0.71 | transcript=PVPAM_080022700_t1 | gene=PVPAM_080022700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000008:822474-824204(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720493.1         -            289 4261at5820           -            540   2.9e-07   28.3  26.7   1   1   7.6e-10   2.9e-07   28.3  26.7   355   515    85   264    57   272 0.70 | transcript=PVPAM_090025800_t1 | gene=PVPAM_090025800 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC3, putative | transcript_product=palmitoyltransferase DHHC3, putative | location=CASCJQ010000009:944948-946649(+) | protein_length=289 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720850.1         -            437 4261at5820           -            540   3.9e-06   24.6  32.9   1   1   3.1e-08   1.2e-05   23.0  32.7   287   490   146   366   132   406 0.58 | transcript=PVPAM_100011600_t1 | gene=PVPAM_100011600 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC7, putative | transcript_product=palmitoyltransferase DHHC7, putative | location=CASCJQ010000010:301705-304636(-) | protein_length=437 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 4261at5820           -            540   1.9e-05   22.3   1.9   1   1   8.1e-08   3.1e-05   21.6   1.9    38   196  1069  1231  1053  1265 0.78 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719233.1         -            281 4261at5820           -            540   5.6e-05   20.8   8.7   1   2       4.6   1.8e+03   -4.0   1.2   187   196    35    44    19    77 0.50 | transcript=PVPAM_060024000_t1 | gene=PVPAM_060024000 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC10, putative | transcript_product=palmitoyltransferase DHHC10, putative | location=CASCJQ010000006:811347-814019(+) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719233.1         -            281 4261at5820           -            540   5.6e-05   20.8   8.7   2   2   1.5e-07   5.6e-05   20.8   8.7   378   479   113   226   100   237 0.67 | transcript=PVPAM_060024000_t1 | gene=PVPAM_060024000 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC10, putative | transcript_product=palmitoyltransferase DHHC10, putative | location=CASCJQ010000006:811347-814019(+) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718773.1         -            185 4261at5820           -            540   5.8e-05   20.7   4.4   1   2   0.00085      0.32    8.4   3.4   164   243    23   100     9   103 0.80 | transcript=PVPAM_050016700_t1 | gene=PVPAM_050016700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000005:539579-541022(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718773.1         -            185 4261at5820           -            540   5.8e-05   20.7   4.4   2   2   5.7e-07   0.00022   18.8   4.2   127   217    56   143    33   165 0.79 | transcript=PVPAM_050016700_t1 | gene=PVPAM_050016700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000005:539579-541022(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723392.1         -           1013 4261at5820           -            540   0.00011   19.8  32.7   1   2   2.8e-07   0.00011   19.8  32.7   367   492   127   270    40   283 0.70 | transcript=PVPAM_140031100_t1 | gene=PVPAM_140031100 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=CASCJQ010000014:1148101-1151923(+) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723392.1         -           1013 4261at5820           -            540   0.00011   19.8  32.7   2   2       3.7   1.4e+03   -3.6   0.8   355   367   904   916   872  1003 0.53 | transcript=PVPAM_140031100_t1 | gene=PVPAM_140031100 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=CASCJQ010000014:1148101-1151923(+) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 4261at5820           -            540   0.00028   18.5   0.1   1   1   1.8e-06   0.00068   17.2   0.1   151   244    89   181    41   190 0.79 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720473.1         -            366 4261at5820           -            540    0.0039   14.7   0.1   1   1   1.6e-05     0.006   14.1   0.1    29   209   270   340   256   351 0.57 | transcript=PVPAM_090023800_t1 | gene=PVPAM_090023800 | organism=Plasmodium_vivax_PAM | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=CASCJQ010000009:865505-866605(-) | protein_length=366 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4261at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4261at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4261at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:56 2026
# [ok]
