#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723814.1         -            611 5171at5820           -            438  1.4e-213  708.1   7.9   1   3   2.2e-83   8.1e-81  270.6   0.0     1   180    16   215    16   220 0.90 | transcript=PVPAM_140073700_t1 | gene=PVPAM_140073700 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=CASCJQ010000014:2896289-2899508(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720438.1         -            487 5171at5820           -            438   4.3e-13   47.4   7.8   1   2       2.6   9.3e+02   -3.2   0.1    62    80   188   206   131   210 0.60 | transcript=PVPAM_090020300_t1 | gene=PVPAM_090020300 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=CASCJQ010000009:737351-738814(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720438.1         -            487 5171at5820           -            438   4.3e-13   47.4   7.8   2   2   1.2e-15   4.3e-13   47.4   7.8   235   420   278   469   244   473 0.76 | transcript=PVPAM_090020300_t1 | gene=PVPAM_090020300 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=CASCJQ010000009:737351-738814(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722304.1         -            583 5171at5820           -            438   2.7e-10   38.2  19.6   1   2   2.6e-09   9.5e-07   26.5  12.8   227   393   345   505   218   533 0.67 | transcript=PVPAM_120054100_t1 | gene=PVPAM_120054100 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=CASCJQ010000012:1968043-1969794(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722304.1         -            583 5171at5820           -            438   2.7e-10   38.2  19.6   2   2   1.2e-05    0.0042   14.5   0.5   395   418   541   564   535   578 0.88 | transcript=PVPAM_120054100_t1 | gene=PVPAM_120054100 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=CASCJQ010000012:1968043-1969794(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720436.1         -            484 5171at5820           -            438     3e-09   34.7  10.7   1   1   8.8e-11   3.2e-08   31.4  10.7   227   415   268   462   136   469 0.72 | transcript=PVPAM_090020100_t1 | gene=PVPAM_090020100 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=CASCJQ010000009:729233-730687(-) | protein_length=484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718532.1         -           1014 5171at5820           -            438   7.9e-07   26.7   0.4   1   1   4.6e-09   1.7e-06   25.7   0.4   355   416   667   743   656   764 0.68 | transcript=PVPAM_040027600_t1 | gene=PVPAM_040027600 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:946325-949823(+) | protein_length=1014 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718537.1         -           1126 5171at5820           -            438   1.1e-06   26.2   0.7   1   1   5.2e-09   1.9e-06   25.5   0.7   375   416   746   794   727   813 0.80 | transcript=PVPAM_040028100_t1 | gene=PVPAM_040028100 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:972463-976449(+) | protein_length=1126 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718533.1         -           1219 5171at5820           -            438   3.1e-06   24.8   0.1   1   1   1.6e-08   5.8e-06   23.9   0.1   376   416   841   888   810   908 0.76 | transcript=PVPAM_040027700_t1 | gene=PVPAM_040027700 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:950954-954976(+) | protein_length=1219 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718545.1         -            706 5171at5820           -            438   5.7e-06   23.9   0.1   1   3       1.1   3.9e+02   -1.9   0.3   225   252   248   278   242   286 0.66 | transcript=PVPAM_040028900_t1 | gene=PVPAM_040028900 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:1007008-1009883(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718545.1         -            706 5171at5820           -            438   5.7e-06   23.9   0.1   2   3   1.6e-08   5.7e-06   23.9   0.1   382   415   449   489   427   496 0.89 | transcript=PVPAM_040028900_t1 | gene=PVPAM_040028900 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:1007008-1009883(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718545.1         -            706 5171at5820           -            438   5.7e-06   23.9   0.1   3   3       1.9   6.7e+02   -2.7   0.2   233   263   648   678   627   690 0.72 | transcript=PVPAM_040028900_t1 | gene=PVPAM_040028900 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:1007008-1009883(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718540.1         -           1039 5171at5820           -            438   1.8e-05   22.3   1.0   1   2      0.92   3.3e+02   -1.7   0.1   129   177   337   386   316   409 0.74 | transcript=PVPAM_040028400_t1 | gene=PVPAM_040028400 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:985852-989635(+) | protein_length=1039 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718540.1         -           1039 5171at5820           -            438   1.8e-05   22.3   1.0   2   2   1.1e-07     4e-05   21.1   0.1   379   416   704   748   679   773 0.77 | transcript=PVPAM_040028400_t1 | gene=PVPAM_040028400 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:985852-989635(+) | protein_length=1039 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718534.1         -           1084 5171at5820           -            438   2.3e-05   21.9   1.4   1   2       1.2   4.4e+02   -2.1   0.1   256   324   266   336   256   342 0.67 | transcript=PVPAM_040027800_t1 | gene=PVPAM_040027800 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:957229-960915(+) | protein_length=1084 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718534.1         -           1084 5171at5820           -            438   2.3e-05   21.9   1.4   2   2   9.9e-08   3.6e-05   21.3   0.1   379   430   731   793   682   797 0.80 | transcript=PVPAM_040027800_t1 | gene=PVPAM_040027800 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:957229-960915(+) | protein_length=1084 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718542.1         -           1011 5171at5820           -            438   3.6e-05   21.3   2.8   1   2     0.078        28    1.9   0.4   233   256   571   594   548   616 0.77 | transcript=PVPAM_040028600_t1 | gene=PVPAM_040028600 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:996183-999766(+) | protein_length=1011 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718542.1         -           1011 5171at5820           -            438   3.6e-05   21.3   2.8   2   2   9.9e-08   3.6e-05   21.3   2.8   376   416   742   789   708   809 0.70 | transcript=PVPAM_040028600_t1 | gene=PVPAM_040028600 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:996183-999766(+) | protein_length=1011 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718544.1         -           1054 5171at5820           -            438   4.1e-05   21.1   1.5   1   2     0.098        35    1.5   0.2   233   256   530   553   513   563 0.77 | transcript=PVPAM_040028800_t1 | gene=PVPAM_040028800 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:1001065-1004929(+) | protein_length=1054 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718544.1         -           1054 5171at5820           -            438   4.1e-05   21.1   1.5   2   2   1.1e-07   4.1e-05   21.1   1.5   373   416   698   748   667   770 0.73 | transcript=PVPAM_040028800_t1 | gene=PVPAM_040028800 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:1001065-1004929(+) | protein_length=1054 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718541.1         -           1123 5171at5820           -            438   5.2e-05   20.8   1.6   1   2       4.4   1.6e+03   -3.9   0.1   310   325   328   343   323   348 0.78 | transcript=PVPAM_040028500_t1 | gene=PVPAM_040028500 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:990844-994731(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718541.1         -           1123 5171at5820           -            438   5.2e-05   20.8   1.6   2   2   1.5e-07   5.5e-05   20.7   0.1   382   429   744   802   731   807 0.73 | transcript=PVPAM_040028500_t1 | gene=PVPAM_040028500 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:990844-994731(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718535.1         -           1069 5171at5820           -            438   8.5e-05   20.1   0.5   1   2       2.1   7.4e+02   -2.8   0.0   235   263   551   579   544   590 0.82 | transcript=PVPAM_040027900_t1 | gene=PVPAM_040027900 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:961834-965540(+) | protein_length=1069 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718535.1         -           1069 5171at5820           -            438   8.5e-05   20.1   0.5   2   2   5.4e-07    0.0002   18.9   0.1   373   430   717   785   693   791 0.73 | transcript=PVPAM_040027900_t1 | gene=PVPAM_040027900 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:961834-965540(+) | protein_length=1069 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718536.1         -           1082 5171at5820           -            438   0.00023   18.6   2.2   1   2      0.45   1.6e+02   -0.7   0.2   255   324   253   324   249   332 0.72 | transcript=PVPAM_040028000_t1 | gene=PVPAM_040028000 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:966618-970283(+) | protein_length=1082 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718536.1         -           1082 5171at5820           -            438   0.00023   18.6   2.2   2   2   8.3e-07    0.0003   18.3   0.2   379   415   709   752   696   773 0.79 | transcript=PVPAM_040028000_t1 | gene=PVPAM_040028000 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:966618-970283(+) | protein_length=1082 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5171at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5171at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5171at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:28 2026
# [ok]
