#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720263.1         -            869 4376at5820           -            577  6.2e-293  971.0  59.4   1   6  4.5e-114  3.7e-111  370.8  24.7     1   202     1   213     1   223 0.94 | transcript=PVPAM_080048600_t1 | gene=PVPAM_080048600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=CASCJQ010000008:1887398-1890737(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 4376at5820           -            577   1.5e-08   32.0  36.2   4   4       1.6   1.3e+03   -4.1  12.5    76   160   252   334   251   342 0.56 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721942.1         -            442 4376at5820           -            577   1.1e-05   22.5  30.4   1   3   1.4e-08   1.1e-05   22.5  30.4    77   190   156   271   142   280 0.83 | transcript=PVPAM_120017600_t1 | gene=PVPAM_120017600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1k, putative | transcript_product=inner membrane complex protein 1k, putative | location=CASCJQ010000012:555739-557067(+) | protein_length=442 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721942.1         -            442 4376at5820           -            577   1.1e-05   22.5  30.4   2   3     0.016        13    2.5  21.8   100   167   224   296   223   301 0.69 | transcript=PVPAM_120017600_t1 | gene=PVPAM_120017600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1k, putative | transcript_product=inner membrane complex protein 1k, putative | location=CASCJQ010000012:555739-557067(+) | protein_length=442 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721942.1         -            442 4376at5820           -            577   1.1e-05   22.5  30.4   3   3       5.3   4.3e+03   -5.8  21.7    91   144   245   303   244   335 0.60 | transcript=PVPAM_120017600_t1 | gene=PVPAM_120017600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1k, putative | transcript_product=inner membrane complex protein 1k, putative | location=CASCJQ010000012:555739-557067(+) | protein_length=442 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720876.1         -            301 4376at5820           -            577   0.00029   17.9  41.0   1   2   6.4e-05     0.052   10.4  10.4    96   138    44    86    31    90 0.77 | transcript=PVPAM_100014400_t1 | gene=PVPAM_100014400 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=CASCJQ010000010:410217-411122(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720876.1         -            301 4376at5820           -            577   0.00029   17.9  41.0   2   2   6.4e-05     0.052   10.4  26.9    92   221    88   216    78   239 0.77 | transcript=PVPAM_100014400_t1 | gene=PVPAM_100014400 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=CASCJQ010000010:410217-411122(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4376at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4376at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4376at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:14 2026
# [ok]
