#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721497.1         -           1004 3350at5820           -            688         0 1013.5  61.6   1   6  9.3e-109    1e-105  353.4   6.4     1   214     1   216     1   220 0.98 | transcript=PVPAM_110040200_t1 | gene=PVPAM_110040200 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=CASCJQ010000011:1482984-1485998(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722850.1         -           1313 3350at5820           -            688   8.2e-12   43.0   5.0   2   3       3.1   3.3e+03   -5.3   9.2   304   426   359   484   350   495 0.47 | transcript=PVPAM_130035200_t1 | gene=PVPAM_130035200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000013:1357192-1361475(-) | protein_length=1313 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722850.1         -           1313 3350at5820           -            688   8.2e-12   43.0   5.0   3   3      0.03        32    1.4   2.2   395   490   554   644   542   655 0.79 | transcript=PVPAM_130035200_t1 | gene=PVPAM_130035200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000013:1357192-1361475(-) | protein_length=1313 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722329.1         -           1038 3350at5820           -            688   4.4e-08   30.6   6.4   1   3   4.1e-11   4.4e-08   30.6   6.4    77   211    65   200    27   233 0.78 | transcript=PVPAM_120056600_t1 | gene=PVPAM_120056600 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=CASCJQ010000012:2092170-2095721(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722329.1         -           1038 3350at5820           -            688   4.4e-08   30.6   6.4   2   3   0.00021      0.23    8.4   9.5    71   217   311   459   305   488 0.77 | transcript=PVPAM_120056600_t1 | gene=PVPAM_120056600 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=CASCJQ010000012:2092170-2095721(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722329.1         -           1038 3350at5820           -            688   4.4e-08   30.6   6.4   3   3       1.7   1.8e+03   -4.4   4.0    87   154   575   644   551   668 0.72 | transcript=PVPAM_120056600_t1 | gene=PVPAM_120056600 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=CASCJQ010000012:2092170-2095721(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717741.1         -           1422 3350at5820           -            688   0.00074   16.7   0.0   1   3   6.8e-07   0.00074   16.7   0.0    40   141    43   143    36   166 0.83 | transcript=PVPAM_010025500_t1 | gene=PVPAM_010025500 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=CASCJQ010000001:920118-924702(-) | protein_length=1422 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717741.1         -           1422 3350at5820           -            688   0.00074   16.7   0.0   2   3      0.13   1.4e+02   -0.8   0.5   463   500   225   262   206   297 0.52 | transcript=PVPAM_010025500_t1 | gene=PVPAM_010025500 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=CASCJQ010000001:920118-924702(-) | protein_length=1422 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717741.1         -           1422 3350at5820           -            688   0.00074   16.7   0.0   3   3       1.1   1.2e+03   -3.8   1.5   441   484   390   437   364   445 0.46 | transcript=PVPAM_010025500_t1 | gene=PVPAM_010025500 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=CASCJQ010000001:920118-924702(-) | protein_length=1422 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3350at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3350at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3350at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:31 2026
# [ok]
