#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718103.1         -            772 6055at5820           -            595  1.7e-226  751.8  58.0   1   2     8e-12   2.6e-09   34.6   0.1     1    95     1   148     1   150 0.78 | transcript=PVPAM_030009900_t1 | gene=PVPAM_030009900 | organism=Plasmodium_vivax_PAM | gene_product=rhoptry neck protein 1 | transcript_product=rhoptry neck protein 1 | location=CASCJQ010000003:249275-252075(-) | protein_length=772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718056.1         -            380 6055at5820           -            595      0.58    7.0  13.2   1   1    0.0024      0.77    6.6  13.2   285   391   119   225   105   274 0.59 | transcript=PVPAM_030005100_t1 | gene=PVPAM_030005100 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000003:11027-12308(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719007.1         -            294 6055at5820           -            595       0.6    7.0  19.4   1   1    0.0026      0.84    6.5  19.4   307   416    50   165    37   203 0.28 | transcript=PVPAM_050039900_t1 | gene=PVPAM_050039900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1474687-1475707(-) | protein_length=294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723827.1         -            400 6055at5820           -            595       1.1    6.1  35.2   1   2    0.0047       1.5    5.7   7.6   272   360    49   135     1   187 0.51 | transcript=PVPAM_140075000_t1 | gene=PVPAM_140075000 | organism=Plasmodium_vivax_PAM | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=CASCJQ010000014:2942224-2943949(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723827.1         -            400 6055at5820           -            595       1.1    6.1  35.2   2   2    0.0023      0.74    6.7  19.5   279   366   233   319   209   356 0.49 | transcript=PVPAM_140075000_t1 | gene=PVPAM_140075000 | organism=Plasmodium_vivax_PAM | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=CASCJQ010000014:2942224-2943949(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723671.1         -            166 6055at5820           -            595       1.5    5.7  14.3   1   1    0.0052       1.7    5.5  14.3   278   412    10   143     1   160 0.49 | transcript=PVPAM_140059500_t1 | gene=PVPAM_140059500 | organism=Plasmodium_vivax_PAM | gene_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5L1] | transcript_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5L1] | location=CASCJQ010000014:2345932-2346432(+) | protein_length=166 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720004.1         -            381 6055at5820           -            595         2    5.3  36.8   1   1     0.011       3.5    4.4  36.8   297   426    95   222    74   254 0.58 | transcript=PVPAM_080022600_t1 | gene=PVPAM_080022600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000008:819982-822067(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717684.1         -            162 6055at5820           -            595       2.3    5.0  11.6   1   1     0.008       2.6    4.9  11.6   303   359     5    63     1   112 0.40 | transcript=PVPAM_010019400_t1 | gene=PVPAM_010019400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:696866-697563(+) | protein_length=162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717726.1         -            282 6055at5820           -            595       2.7    4.8  28.4   1   1      0.01       3.3    4.5  28.4   282   416    82   220    42   270 0.50 | transcript=PVPAM_010024000_t1 | gene=PVPAM_010024000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:883024-883872(-) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723224.1         -            543 6055at5820           -            595       3.6    4.4  32.7   1   1      0.02       6.3    3.6  32.7   285   386   158   263   100   279 0.40 | transcript=PVPAM_140014300_t1 | gene=PVPAM_140014300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:442294-444287(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721986.1         -            139 6055at5820           -            595       5.2    3.9  33.9   1   1     0.018         6    3.7  33.9   299   361    75   136    54   139 0.52 | transcript=PVPAM_120022500_t1 | gene=PVPAM_120022500 | organism=Plasmodium_vivax_PAM | gene_product=parasitophorous vacuolar protein 3, putative | transcript_product=parasitophorous vacuolar protein 3, putative | location=CASCJQ010000012:735464-735883(+) | protein_length=139 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720306.1         -            343 6055at5820           -            595         6    3.7  26.5   1   2    0.0013      0.42    7.5  21.5   293   344   101   151    86   176 0.33 | transcript=PVPAM_090007000_t1 | gene=PVPAM_090007000 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:151890-153042(+) | protein_length=343 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720306.1         -            343 6055at5820           -            595         6    3.7  26.5   2   2       1.8   5.9e+02   -2.9   0.2    64    76   309   321   267   336 0.50 | transcript=PVPAM_090007000_t1 | gene=PVPAM_090007000 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:151890-153042(+) | protein_length=343 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722045.1         -            109 6055at5820           -            595       6.2    3.6  10.9   1   1     0.024       7.7    3.3  10.9   310   360    12    60     2    75 0.25 | transcript=PVPAM_120028300_t1 | gene=PVPAM_120028300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:903037-903366(+) | protein_length=109 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723091.1         -            132 6055at5820           -            595       6.9    3.5  20.7   1   1     0.022       7.2    3.4  20.7   312   390     6    81     1   113 0.34 | transcript=PVPAM_130059700_t1 | gene=PVPAM_130059700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:2418230-2418763(-) | protein_length=132 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6055at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6055at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6055at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:54 2026
# [ok]
