#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718824.1         -           1726 1041at5820           -           1351         0 2376.2  39.7   1   2         0         0 1299.8  26.4    90   737     1   825     1   853 0.89 | transcript=PVPAM_050021800_t1 | gene=PVPAM_050021800 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000005:727436-732616(+) | protein_length=1726 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719194.1         -           3266 1041at5820           -           1351   1.1e-88  296.6  28.2   2   6   4.8e-56   2.8e-53  179.4  15.2   385   681  1378  1684  1236  1694 0.73 | transcript=PVPAM_060020100_t1 | gene=PVPAM_060020100 | organism=Plasmodium_vivax_PAM | gene_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=CASCJQ010000006:651180-660980(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719194.1         -           3266 1041at5820           -           1351   1.1e-88  296.6  28.2   3   6   2.4e-42   1.4e-39  134.0   5.0  1041  1207  1699  1866  1687  1948 0.80 | transcript=PVPAM_060020100_t1 | gene=PVPAM_060020100 | organism=Plasmodium_vivax_PAM | gene_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=CASCJQ010000006:651180-660980(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719194.1         -           3266 1041at5820           -           1351   1.1e-88  296.6  28.2   4   6       7.2   4.2e+03   -6.7   5.5   282   339  2335  2378  2320  2495 0.45 | transcript=PVPAM_060020100_t1 | gene=PVPAM_060020100 | organism=Plasmodium_vivax_PAM | gene_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=CASCJQ010000006:651180-660980(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719194.1         -           3266 1041at5820           -           1351   1.1e-88  296.6  28.2   5   6       3.6   2.1e+03   -5.8   5.3   324   389  2992  3031  2932  3050 0.39 | transcript=PVPAM_060020100_t1 | gene=PVPAM_060020100 | organism=Plasmodium_vivax_PAM | gene_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=CASCJQ010000006:651180-660980(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719194.1         -           3266 1041at5820           -           1351   1.1e-88  296.6  28.2   6   6       7.8   4.6e+03   -6.9   3.2   293   313  3192  3212  3149  3255 0.51 | transcript=PVPAM_060020100_t1 | gene=PVPAM_060020100 | organism=Plasmodium_vivax_PAM | gene_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=CASCJQ010000006:651180-660980(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721387.1         -           2935 1041at5820           -           1351   7.7e-69  230.9   6.9   1   3   8.5e-38     5e-35  118.9   0.2   376   573   334   532   236   547 0.75 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721387.1         -           2935 1041at5820           -           1351   7.7e-69  230.9   6.9   2   3   1.1e-39   6.2e-37  125.2   2.1  1061  1197  1218  1355  1206  1394 0.85 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721387.1         -           2935 1041at5820           -           1351   7.7e-69  230.9   6.9   3   3       3.1   1.8e+03   -5.6   7.9   201   258  1427  1490  1370  1504 0.62 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718847.1         -           1096 1041at5820           -           1351   5.5e-67  224.8  33.4   1   5       2.6   1.5e+03   -5.3   5.0   329   365    32    67     7    96 0.45 | transcript=PVPAM_050024100_t1 | gene=PVPAM_050024100 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000005:821192-825442(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718847.1         -           1096 1041at5820           -           1351   5.5e-67  224.8  33.4   2   5   4.1e-41   2.4e-38  129.9  15.5   295   573   119   413   108   426 0.68 | transcript=PVPAM_050024100_t1 | gene=PVPAM_050024100 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000005:821192-825442(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718847.1         -           1096 1041at5820           -           1351   5.5e-67  224.8  33.4   3   5   7.8e-07   0.00046   16.3   5.5   598   654   536   590   515   600 0.81 | transcript=PVPAM_050024100_t1 | gene=PVPAM_050024100 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000005:821192-825442(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718847.1         -           1096 1041at5820           -           1351   5.5e-67  224.8  33.4   4   5     0.037        22    0.8  10.7   921  1084   693   856   685   872 0.72 | transcript=PVPAM_050024100_t1 | gene=PVPAM_050024100 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000005:821192-825442(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718847.1         -           1096 1041at5820           -           1351   5.5e-67  224.8  33.4   5   5   1.1e-33   6.2e-31  105.4   0.1  1088  1190   970  1072   965  1084 0.95 | transcript=PVPAM_050024100_t1 | gene=PVPAM_050024100 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000005:821192-825442(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717787.1         -           1073 1041at5820           -           1351     3e-64  215.7  23.3   1   2     2e-39   1.2e-36  124.3   9.6   352   682    84   432    56   441 0.81 | transcript=PVPAM_010030100_t1 | gene=PVPAM_010030100 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=CASCJQ010000001:1123148-1126369(-) | protein_length=1073 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717787.1         -           1073 1041at5820           -           1351     3e-64  215.7  23.3   2   2   4.5e-34   2.7e-31  106.6   5.7  1044  1203   526   686   523   699 0.93 | transcript=PVPAM_010030100_t1 | gene=PVPAM_010030100 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=CASCJQ010000001:1123148-1126369(-) | protein_length=1073 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 1041at5820           -           1351   2.3e-44  149.8  28.0   1   5   7.9e-11   4.6e-08   29.6   0.7   329   431   162   266   114   272 0.69 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 1041at5820           -           1351   2.3e-44  149.8  28.0   2   5     0.011       6.4    2.6   0.7   442   503   372   430   369   446 0.79 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 1041at5820           -           1351   2.3e-44  149.8  28.0   3   5      0.83   4.9e+02   -3.6   0.2   319   370   809   869   716   873 0.44 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 1041at5820           -           1351   2.3e-44  149.8  28.0   4   5   7.9e-13   4.6e-10   36.2   0.1   506   567   957  1019   949  1047 0.84 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 1041at5820           -           1351   2.3e-44  149.8  28.0   5   5   2.3e-31   1.3e-28   97.6   3.9  1026  1188  1400  1563  1373  1583 0.88 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721282.1         -            877 1041at5820           -           1351   1.1e-38  131.0  19.0   1   2   1.3e-21   7.4e-19   65.3   7.7   387   630   310   541   126   551 0.76 | transcript=PVPAM_110018400_t1 | gene=PVPAM_110018400 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000011:568645-571278(-) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721282.1         -            877 1041at5820           -           1351   1.1e-38  131.0  19.0   2   2   2.2e-23   1.3e-20   71.2   3.3  1048  1215   619   795   611   843 0.80 | transcript=PVPAM_110018400_t1 | gene=PVPAM_110018400 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000011:568645-571278(-) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 1041at5820           -           1351   1.8e-29  100.5  25.7   1   6      0.22   1.3e+02   -1.8   2.8   777   836   120   182    65   217 0.71 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 1041at5820           -           1351   1.8e-29  100.5  25.7   2   6   1.5e-05    0.0091   12.0   0.0   413   433   725   745   711   753 0.91 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 1041at5820           -           1351   1.8e-29  100.5  25.7   3   6      0.99   5.8e+02   -3.9   0.0   442   505   781   841   777   847 0.71 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 1041at5820           -           1351   1.8e-29  100.5  25.7   4   6     1e-14   5.9e-12   42.5   3.3   511   682   960  1136   950  1143 0.84 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 1041at5820           -           1351   1.8e-29  100.5  25.7   5   6      0.18   1.1e+02   -1.5   0.1   825   861  1299  1335  1279  1345 0.74 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 1041at5820           -           1351   1.8e-29  100.5  25.7   6   6   2.1e-19   1.2e-16   58.0   1.1  1115  1204  1417  1507  1313  1527 0.84 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723609.1         -            717 1041at5820           -           1351    0.0017   14.5   0.3   1   1   5.9e-06    0.0034   13.4   0.3  1051  1160   562   665   543   686 0.80 | transcript=PVPAM_140053300_t1 | gene=PVPAM_140053300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=CASCJQ010000014:2074214-2076367(-) | protein_length=717 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1041at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1041at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1041at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:06 2026
# [ok]
