#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723402.1         -            771 3302at5820           -            593         0 1262.2  31.4   1   2  3.9e-135  1.6e-132  441.6   5.9     1   205    99   308    99   328 0.96 | transcript=PVPAM_140032400_t1 | gene=PVPAM_140032400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=CASCJQ010000014:1182290-1184605(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722375.1         -            832 3302at5820           -            593   1.8e-20   71.5   1.8   2   2      0.16        66    0.3   0.0   319   385   487   555   361   561 0.54 | transcript=PVPAM_120061100_t1 | gene=PVPAM_120061100 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=CASCJQ010000012:2280969-2283467(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721876.1         -           1389 3302at5820           -            593   3.4e-19   67.3   5.4   1   2   1.6e-09   6.4e-07   26.8   0.4     7    66     9    73     4    83 0.77 | transcript=PVPAM_120011000_t1 | gene=PVPAM_120011000 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:247695-252310(+) | protein_length=1389 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721876.1         -           1389 3302at5820           -            593   3.4e-19   67.3   5.4   2   2   3.5e-14   1.4e-11   42.2   0.6    68   148   173   258   163   308 0.75 | transcript=PVPAM_120011000_t1 | gene=PVPAM_120011000 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:247695-252310(+) | protein_length=1389 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722048.1         -            456 3302at5820           -            593   8.9e-17   59.3   3.5   1   1   2.7e-19   1.1e-16   59.0   3.5    12   278    73   342    62   378 0.81 | transcript=PVPAM_120028600_t1 | gene=PVPAM_120028600 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:912230-913600(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 3302at5820           -            593   2.4e-14   51.3   0.4   1   1   1.1e-16   4.3e-14   50.5   0.4     9   134    23   153    19   185 0.77 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723907.1         -            409 3302at5820           -            593   5.1e-14   50.2  16.9   1   1   1.6e-16   6.5e-14   49.9  16.9     5   277     7   289     3   309 0.77 | transcript=PVPAM_API0007200_t1 | gene=PVPAM_API0007200 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000015:9513-10742(+) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719934.1         -           1247 3302at5820           -            593   9.6e-13   46.0   8.4   1   3    0.0012       0.5    7.3   0.0     8    39   176   207   171   213 0.85 | transcript=PVPAM_080015700_t1 | gene=PVPAM_080015700 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=CASCJQ010000008:529541-533284(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719934.1         -           1247 3302at5820           -            593   9.6e-13   46.0   8.4   2   3   6.3e-14   2.5e-11   41.3   2.5    55   134   306   384   292   406 0.91 | transcript=PVPAM_080015700_t1 | gene=PVPAM_080015700 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=CASCJQ010000008:529541-533284(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719934.1         -           1247 3302at5820           -            593   9.6e-13   46.0   8.4   3   3       1.7   6.8e+02   -3.0   0.1   216   244   619   647   604   706 0.65 | transcript=PVPAM_080015700_t1 | gene=PVPAM_080015700 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=CASCJQ010000008:529541-533284(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721286.1         -            443 3302at5820           -            593   2.2e-08   31.6   0.8   1   1     3e-10   1.2e-07   29.1   0.8    39   163    55   187     3   299 0.69 | transcript=PVPAM_110018800_t1 | gene=PVPAM_110018800 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:582675-584006(-) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721287.1         -            443 3302at5820           -            593   2.2e-08   31.6   0.8   1   1     3e-10   1.2e-07   29.1   0.8    39   163    55   187     3   299 0.69 | transcript=PVPAM_110018900_t1 | gene=PVPAM_110018900 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:585419-586750(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720970.1         -           1376 3302at5820           -            593   9.3e-07   26.2   2.8   1   2   4.1e-09   1.7e-06   25.4   2.5    10   159   765   906   759   926 0.77 | transcript=PVPAM_100023800_t1 | gene=PVPAM_100023800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2 | transcript_product=translation initiation factor IF-2 | location=CASCJQ010000010:834489-838619(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720970.1         -           1376 3302at5820           -            593   9.3e-07   26.2   2.8   2   2       2.1   8.6e+02   -3.4   0.0   281   329  1012  1060  1002  1070 0.79 | transcript=PVPAM_100023800_t1 | gene=PVPAM_100023800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2 | transcript_product=translation initiation factor IF-2 | location=CASCJQ010000010:834489-838619(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718754.1         -           1164 3302at5820           -            593   8.9e-06   23.0   0.7   1   1   4.1e-08   1.6e-05   22.1   0.7    13   181   592   747   579   760 0.73 | transcript=PVPAM_050014800_t1 | gene=PVPAM_050014800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000005:449467-452961(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720517.1         -            547 3302at5820           -            593   8.3e-05   19.8   0.1   1   1   1.2e-06   0.00049   17.2   0.1     6   137   106   264   100   312 0.67 | transcript=PVPAM_090028200_t1 | gene=PVPAM_090028200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=CASCJQ010000009:1083019-1084861(+) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 3302at5820           -            593     0.064   10.3   1.1   1   2     0.038        15    2.4   0.0    13    57     5    45     2    50 0.85 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 3302at5820           -            593     0.064   10.3   1.1   2   2    0.0033       1.3    5.9   0.5    72   134   123   184   117   203 0.81 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3302at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3302at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3302at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:22 2026
# [ok]
