#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722913.1         -            520 6148at5820           -            431  1.2e-262  869.7  49.2   1   2  8.6e-231  4.3e-228  755.9  38.2     1   344     1   344     1   355 0.99 | transcript=PVPAM_130041500_t1 | gene=PVPAM_130041500 | organism=Plasmodium_vivax_PAM | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=CASCJQ010000013:1614114-1616407(-) | protein_length=520 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721910.1         -            322 6148at5820           -            431   7.3e-05   20.3   1.5   1   1   2.2e-07   0.00011   19.7   1.5   309   352   246   293   203   315 0.78 | transcript=PVPAM_120014400_t1 | gene=PVPAM_120014400 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000012:384421-387406(-) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722014.1         -            456 6148at5820           -            431   9.3e-05   19.9   5.0   1   2   1.9e-07   9.3e-05   19.9   5.0   297   340     6    50     1    76 0.85 | transcript=PVPAM_120025300_t1 | gene=PVPAM_120025300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000012:813981-815351(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722014.1         -            456 6148at5820           -            431   9.3e-05   19.9   5.0   2   2       3.8   1.9e+03   -4.1   1.4   390   421   123   154    85   185 0.65 | transcript=PVPAM_120025300_t1 | gene=PVPAM_120025300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000012:813981-815351(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721388.1         -             89 6148at5820           -            431   0.00051   17.5   4.1   1   1     1e-06   0.00051   17.5   4.1   312   346    52    87     3    89 0.79 | transcript=PVPAM_110029100_t1 | gene=PVPAM_110029100 | organism=Plasmodium_vivax_PAM | gene_product=anaphase-promoting complex subunit 11, putative | transcript_product=anaphase-promoting complex subunit 11, putative | location=CASCJQ010000011:1048379-1048648(-) | protein_length=89 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718907.1         -            730 6148at5820           -            431     0.011   13.1   5.4   1   1   3.4e-05     0.017   12.5   5.4   274   342    54   123    30   155 0.81 | transcript=PVPAM_050029900_t1 | gene=PVPAM_050029900 | organism=Plasmodium_vivax_PAM | gene_product=PhIL1-interacting candidate PIC3, putative | transcript_product=PhIL1-interacting candidate PIC3, putative | location=CASCJQ010000005:1028422-1030614(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720112.1         -            108 6148at5820           -            431     0.013   12.9   5.8   1   2     0.017       8.2    3.6   0.3   324   344    24    44     5    54 0.79 | transcript=PVPAM_080033400_t1 | gene=PVPAM_080033400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=CASCJQ010000008:1279894-1280220(+) | protein_length=108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720112.1         -            108 6148at5820           -            431     0.013   12.9   5.8   2   2   4.2e-05     0.021   12.2   0.9   313   336    74    97    58   105 0.89 | transcript=PVPAM_080033400_t1 | gene=PVPAM_080033400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=CASCJQ010000008:1279894-1280220(+) | protein_length=108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6148at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6148at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6148at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:21 2026
# [ok]
