#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717787.1         -           1073 2167at5820           -            898         0 1737.6 110.1   1   3         0         0 1672.7  53.9     1   819     1   862     1   864 0.94 | transcript=PVPAM_010030100_t1 | gene=PVPAM_010030100 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=CASCJQ010000001:1123148-1126369(-) | protein_length=1073 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718847.1         -           1096 2167at5820           -            898   6.6e-47  158.5  13.8   2   5   1.4e-20   2.5e-18   64.0   8.2    97   325   187   416   172   432 0.75 | transcript=PVPAM_050024100_t1 | gene=PVPAM_050024100 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000005:821192-825442(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718847.1         -           1096 2167at5820           -            898   6.6e-47  158.5  13.8   3   5      0.55        96   -0.8   0.7   356   416   540   596   520   642 0.75 | transcript=PVPAM_050024100_t1 | gene=PVPAM_050024100 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000005:821192-825442(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718847.1         -           1096 2167at5820           -            898   6.6e-47  158.5  13.8   4   5    0.0008      0.14    8.6  10.2   421   527   734   853   718   868 0.67 | transcript=PVPAM_050024100_t1 | gene=PVPAM_050024100 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000005:821192-825442(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718847.1         -           1096 2167at5820           -            898   6.6e-47  158.5  13.8   5   5   1.3e-33   2.4e-31  107.1   0.2   536   639   969  1072   947  1095 0.86 | transcript=PVPAM_050024100_t1 | gene=PVPAM_050024100 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000005:821192-825442(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721387.1         -           2935 2167at5820           -            898   1.3e-45  154.2   3.4   1   6   2.8e-26   4.9e-24   82.9   0.1   108   333   327   543   302   574 0.81 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721387.1         -           2935 2167at5820           -            898   1.3e-45  154.2   3.4   2   6       1.9   3.4e+02   -2.6   0.1   349   433   604   685   599   690 0.85 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721387.1         -           2935 2167at5820           -            898   1.3e-45  154.2   3.4   3   6       1.2   2.1e+02   -1.9  24.4   772   856  1029  1118  1014  1125 0.47 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721387.1         -           2935 2167at5820           -            898   1.3e-45  154.2   3.4   4   6   3.4e-26   5.9e-24   82.6   0.7   511   661  1219  1376  1210  1394 0.87 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721387.1         -           2935 2167at5820           -            898   1.3e-45  154.2   3.4   5   6       1.6   2.8e+02   -2.4   3.8   760   786  1934  1960  1921  1986 0.54 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721387.1         -           2935 2167at5820           -            898   1.3e-45  154.2   3.4   6   6       1.3   2.3e+02   -2.1   2.2   813   848  2176  2211  2169  2228 0.72 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718450.1         -           1577 2167at5820           -            898     2e-43  147.0   3.3   1   3   7.4e-34   1.3e-31  108.0   0.6   125   435   682   997   643  1007 0.78 | transcript=PVPAM_040019600_t1 | gene=PVPAM_040019600 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000004:623036-627769(-) | protein_length=1577 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718450.1         -           1577 2167at5820           -            898     2e-43  147.0   3.3   2   3   0.00082      0.14    8.5   0.1   490   558  1009  1076   999  1080 0.78 | transcript=PVPAM_040019600_t1 | gene=PVPAM_040019600 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000004:623036-627769(-) | protein_length=1577 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718450.1         -           1577 2167at5820           -            898     2e-43  147.0   3.3   3   3   3.7e-16   6.4e-14   49.4   0.1   560   656  1113  1208  1109  1253 0.88 | transcript=PVPAM_040019600_t1 | gene=PVPAM_040019600 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000004:623036-627769(-) | protein_length=1577 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 2167at5820           -            898     1e-38  131.5  14.2   1   4     5e-07   8.7e-05   19.2   0.1   118   175   214   267   167   279 0.73 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 2167at5820           -            898     1e-38  131.5  14.2   2   4      0.12        20    1.4   0.1   190   253   373   431   365   449 0.75 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 2167at5820           -            898     1e-38  131.5  14.2   3   4   2.5e-11   4.3e-09   33.4   0.0   258   314   960  1017   950  1039 0.87 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723844.1         -           1589 2167at5820           -            898     1e-38  131.5  14.2   4   4   4.3e-26   7.4e-24   82.3   3.4   484   661  1410  1587  1379  1589 0.91 | transcript=PVPAM_140076700_t1 | gene=PVPAM_140076700 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=CASCJQ010000014:3013318-3018278(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721282.1         -            877 2167at5820           -            898   6.2e-27   92.5  16.0   1   2   2.8e-18   4.9e-16   56.4   5.9   113   393   298   551   193   574 0.73 | transcript=PVPAM_110018400_t1 | gene=PVPAM_110018400 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000011:568645-571278(-) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721282.1         -            877 2167at5820           -            898   6.2e-27   92.5  16.0   2   2   8.3e-14   1.4e-11   41.6   2.4   516   702   638   823   612   831 0.84 | transcript=PVPAM_110018400_t1 | gene=PVPAM_110018400 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000011:568645-571278(-) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 2167at5820           -            898   2.7e-18   63.9  14.0   1   4       8.4   1.5e+03   -4.7   1.2   779   811   653   666   638   695 0.50 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 2167at5820           -            898   2.7e-18   63.9  14.0   2   4   0.00031     0.054    9.9   0.1   154   174   723   743   718   806 0.86 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 2167at5820           -            898   2.7e-18   63.9  14.0   3   4   8.2e-07   0.00014   18.4   0.2   265   332   965  1032   958  1142 0.65 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721926.1         -           1529 2167at5820           -            898   2.7e-18   63.9  14.0   4   4   3.7e-14   6.4e-12   42.8   0.0   564   643  1417  1496  1410  1506 0.93 | transcript=PVPAM_120016000_t1 | gene=PVPAM_120016000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=CASCJQ010000012:478001-483074(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720335.1         -            630 2167at5820           -            898   3.8e-05   20.4  31.3   1   2   1.6e-06   0.00027   17.5   9.4   761   821   206   272   137   311 0.55 | transcript=PVPAM_090010100_t1 | gene=PVPAM_090010100 | organism=Plasmodium_vivax_PAM | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=CASCJQ010000009:324938-326830(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720335.1         -            630 2167at5820           -            898   3.8e-05   20.4  31.3   2   2   0.00063      0.11    8.9  13.8   770   835   404   462   349   491 0.44 | transcript=PVPAM_090010100_t1 | gene=PVPAM_090010100 | organism=Plasmodium_vivax_PAM | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=CASCJQ010000009:324938-326830(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720305.1         -            350 2167at5820           -            898     7e-05   19.5   4.4   1   1   4.9e-07   8.6e-05   19.2   4.4   758   832   124   180    61   206 0.50 | transcript=PVPAM_090006900_t1 | gene=PVPAM_090006900 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:143764-144939(+) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720306.1         -            343 2167at5820           -            898   0.00019   18.1  12.7   1   1   1.6e-06   0.00028   17.5  12.7   757   835    90   168    36   179 0.42 | transcript=PVPAM_090007000_t1 | gene=PVPAM_090007000 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:151890-153042(+) | protein_length=343 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723393.1         -            244 2167at5820           -            898     0.007   12.9  17.9   1   1   5.1e-05    0.0089   12.5  17.9   752   847    56   148    15   169 0.57 | transcript=PVPAM_140031200_t1 | gene=PVPAM_140031200 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000014:1152775-1153919(-) | protein_length=244 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723827.1         -            400 2167at5820           -            898     0.015   11.8  27.0   1   2    0.0061       1.1    5.6   4.1   762   824    73   135    37   183 0.47 | transcript=PVPAM_140075000_t1 | gene=PVPAM_140075000 | organism=Plasmodium_vivax_PAM | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=CASCJQ010000014:2942224-2943949(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723827.1         -            400 2167at5820           -            898     0.015   11.8  27.0   2   2   6.5e-05     0.011   12.2  15.0   754   849   229   324   204   361 0.46 | transcript=PVPAM_140075000_t1 | gene=PVPAM_140075000 | organism=Plasmodium_vivax_PAM | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=CASCJQ010000014:2942224-2943949(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722472.1         -            506 2167at5820           -            898     0.032   10.7  27.6   1   1   0.00032     0.056    9.9  27.6   744   821   429   504   392   506 0.46 | transcript=PVPAM_120070900_t1 | gene=PVPAM_120070900 | organism=Plasmodium_vivax_PAM | gene_product=FACT complex subunit SSRP1, putative | transcript_product=FACT complex subunit SSRP1, putative | location=CASCJQ010000012:2706665-2708185(-) | protein_length=506 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720524.1         -           1468 2167at5820           -            898     0.034   10.6  16.4   1   1   0.00037     0.064    9.7  16.4   772   812   824   864   783   873 0.39 | transcript=PVPAM_090028900_t1 | gene=PVPAM_090028900 | organism=Plasmodium_vivax_PAM | gene_product=BEACH domain-containing protein, putative | transcript_product=BEACH domain-containing protein, putative | location=CASCJQ010000009:1108348-1112754(-) | protein_length=1468 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723273.1         -            158 2167at5820           -            898     0.042   10.3  15.9   1   1   0.00024     0.041   10.3  15.9   762   821    90   154    17   158 0.43 | transcript=PVPAM_140019200_t1 | gene=PVPAM_140019200 | organism=Plasmodium_vivax_PAM | gene_product=PhIL1-interacting candidate PIC5, putative | transcript_product=PhIL1-interacting candidate PIC5, putative | location=CASCJQ010000014:645115-645591(-) | protein_length=158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721332.1         -            282 2167at5820           -            898     0.052   10.0   5.2   1   1   0.00037     0.064    9.7   5.2   770   830    42   108     2   131 0.40 | transcript=PVPAM_110023500_t1 | gene=PVPAM_110023500 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000011:776712-778978(+) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718108.1         -            824 2167at5820           -            898     0.074    9.5  34.4   1   2     2e-05    0.0035   13.9  27.2   766   812   338   385   319   445 0.49 | transcript=PVPAM_030010400_t1 | gene=PVPAM_030010400 | organism=Plasmodium_vivax_PAM | gene_product=NYN domain-containing protein, putative | transcript_product=NYN domain-containing protein, putative | location=CASCJQ010000003:267451-270102(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718108.1         -            824 2167at5820           -            898     0.074    9.5  34.4   2   2       0.5        87   -0.7   0.6   327   410   639   718   611   741 0.75 | transcript=PVPAM_030010400_t1 | gene=PVPAM_030010400 | organism=Plasmodium_vivax_PAM | gene_product=NYN domain-containing protein, putative | transcript_product=NYN domain-containing protein, putative | location=CASCJQ010000003:267451-270102(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723254.1         -            467 2167at5820           -            898      0.12    8.8   8.5   1   1     0.001      0.18    8.2   8.5   778   844    72   136    58   156 0.35 | transcript=PVPAM_140017300_t1 | gene=PVPAM_140017300 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine recombinase, putative | transcript_product=tyrosine recombinase, putative | location=CASCJQ010000014:572490-575580(-) | protein_length=467 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722796.1         -           3064 2167at5820           -            898      0.12    8.7  29.6   1   1    0.0016      0.28    7.6  29.6   768   876  1646  1754  1633  1772 0.45 | transcript=PVPAM_130029700_t1 | gene=PVPAM_130029700 | organism=Plasmodium_vivax_PAM | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=CASCJQ010000013:1109104-1118298(+) | protein_length=3064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718520.1         -            731 2167at5820           -            898      0.13    8.7  18.6   1   1    0.0013      0.23    7.9  18.6   764   869   183   289   170   354 0.63 | transcript=PVPAM_040026400_t1 | gene=PVPAM_040026400 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase 1, putative | transcript_product=patatin-like phospholipase 1, putative | location=CASCJQ010000004:892456-895027(+) | protein_length=731 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721488.1         -            145 2167at5820           -            898       0.2    8.0  19.9   1   1    0.0013      0.22    7.9  19.9   765   816    10    56     2    85 0.46 | transcript=PVPAM_110039300_t1 | gene=PVPAM_110039300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000011:1430926-1431363(+) | protein_length=145 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
