#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723603.1         -           1230 2119at5820           -            997         0 1661.6  21.1   1   2         0         0 1418.8  11.0     2   818    36   955    33   959 0.94 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723408.1         -            943 2119at5820           -            997   4.5e-09   33.2  21.9   4   4   1.3e-05    0.0038   13.5   0.3   855   911   769   825   759   832 0.89 | transcript=PVPAM_140033000_t1 | gene=PVPAM_140033000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:1205621-1208452(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720840.1         -            927 2119at5820           -            997   6.7e-09   32.6  21.8   1   5     1e-09     3e-07   27.1  13.7   179   404   140   399   133   404 0.79 | transcript=PVPAM_100010500_t1 | gene=PVPAM_100010500 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000010:264125-267039(+) | protein_length=927 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720840.1         -            927 2119at5820           -            997   6.7e-09   32.6  21.8   2   5     2e-07     6e-05   19.5   1.0   295   391   364   460   358   481 0.90 | transcript=PVPAM_100010500_t1 | gene=PVPAM_100010500 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000010:264125-267039(+) | protein_length=927 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720840.1         -            927 2119at5820           -            997   6.7e-09   32.6  21.8   3   5   7.9e-05     0.023   10.9   0.4   193   260   402   469   389   538 0.73 | transcript=PVPAM_100010500_t1 | gene=PVPAM_100010500 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000010:264125-267039(+) | protein_length=927 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720840.1         -            927 2119at5820           -            997   6.7e-09   32.6  21.8   4   5     0.048        14    1.7   0.1   630   691   705   769   694   787 0.69 | transcript=PVPAM_100010500_t1 | gene=PVPAM_100010500 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000010:264125-267039(+) | protein_length=927 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720840.1         -            927 2119at5820           -            997   6.7e-09   32.6  21.8   5   5      0.97   2.8e+02   -2.6   0.4   370   403   884   917   849   925 0.58 | transcript=PVPAM_100010500_t1 | gene=PVPAM_100010500 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000010:264125-267039(+) | protein_length=927 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721304.1         -            988 2119at5820           -            997   3.7e-08   30.1   0.2   1   2      0.17        49   -0.1   1.1   604   744   689   728   642   799 0.47 | transcript=PVPAM_110020700_t1 | gene=PVPAM_110020700 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:668060-671026(+) | protein_length=988 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721304.1         -            988 2119at5820           -            997   3.7e-08   30.1   0.2   2   2   1.3e-10   3.7e-08   30.1   0.2   855   905   862   912   857   934 0.86 | transcript=PVPAM_110020700_t1 | gene=PVPAM_110020700 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:668060-671026(+) | protein_length=988 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719285.1         -            512 2119at5820           -            997   4.1e-08   30.0  14.3   1   2    0.0002     0.059    9.6   0.8   523   594    60   131    45   132 0.78 | transcript=PVPAM_060029200_t1 | gene=PVPAM_060029200 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein HPR1, putative | transcript_product=heptatricopeptide repeat-containing protein HPR1, putative | location=CASCJQ010000006:992367-993905(+) | protein_length=512 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719285.1         -            512 2119at5820           -            997   4.1e-08   30.0  14.3   2   2   2.5e-09   7.4e-07   25.8   9.5   141   344   116   328   112   363 0.80 | transcript=PVPAM_060029200_t1 | gene=PVPAM_060029200 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein HPR1, putative | transcript_product=heptatricopeptide repeat-containing protein HPR1, putative | location=CASCJQ010000006:992367-993905(+) | protein_length=512 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719683.1         -            951 2119at5820           -            997   2.4e-06   24.1  12.2   1   2     2e-07   5.9e-05   19.5   2.7   171   297   518   647   485   664 0.76 | transcript=PVPAM_070029700_t1 | gene=PVPAM_070029700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:1077069-1079924(+) | protein_length=951 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719683.1         -            951 2119at5820           -            997   2.4e-06   24.1  12.2   2   2   0.00022     0.066    9.4   2.1   711   812   750   855   735   857 0.74 | transcript=PVPAM_070029700_t1 | gene=PVPAM_070029700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:1077069-1079924(+) | protein_length=951 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719201.1         -            446 2119at5820           -            997   2.8e-05   20.6   0.2   1   2     0.088        26    0.9   0.8   201   264   130   194    52   202 0.48 | transcript=PVPAM_060020800_t1 | gene=PVPAM_060020800 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000006:683043-685057(-) | protein_length=446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719201.1         -            446 2119at5820           -            997   2.8e-05   20.6   0.2   2   2   9.5e-08   2.8e-05   20.6   0.2   813   901   331   427   326   442 0.68 | transcript=PVPAM_060020800_t1 | gene=PVPAM_060020800 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000006:683043-685057(-) | protein_length=446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721417.1         -           1636 2119at5820           -            997   3.2e-05   20.4  17.7   1   5   5.2e-05     0.015   11.5   4.0   526   613   504   590   493   612 0.86 | transcript=PVPAM_110032000_t1 | gene=PVPAM_110032000 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1169221-1174642(-) | protein_length=1636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721417.1         -           1636 2119at5820           -            997   3.2e-05   20.4  17.7   2   5   1.1e-07   3.2e-05   20.4  17.7   524   677   619   772   606   779 0.91 | transcript=PVPAM_110032000_t1 | gene=PVPAM_110032000 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1169221-1174642(-) | protein_length=1636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721417.1         -           1636 2119at5820           -            997   3.2e-05   20.4  17.7   3   5    0.0001     0.031   10.5  12.2   526   617   769   862   764   884 0.83 | transcript=PVPAM_110032000_t1 | gene=PVPAM_110032000 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1169221-1174642(-) | protein_length=1636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721417.1         -           1636 2119at5820           -            997   3.2e-05   20.4  17.7   4   5       4.5   1.3e+03   -4.8   0.9   339   381  1000  1042   990  1053 0.60 | transcript=PVPAM_110032000_t1 | gene=PVPAM_110032000 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1169221-1174642(-) | protein_length=1636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721417.1         -           1636 2119at5820           -            997   3.2e-05   20.4  17.7   5   5       3.5     1e+03   -4.4   0.5   887   920  1576  1609  1569  1614 0.80 | transcript=PVPAM_110032000_t1 | gene=PVPAM_110032000 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1169221-1174642(-) | protein_length=1636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719999.1         -            817 2119at5820           -            997   4.8e-05   19.8  52.2   1   4   1.5e-06   0.00043   16.7   7.2   592   685   141   234   133   249 0.86 | transcript=PVPAM_080022100_t1 | gene=PVPAM_080022100 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:802942-805593(+) | protein_length=817 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719999.1         -            817 2119at5820           -            997   4.8e-05   19.8  52.2   2   4   0.00047      0.14    8.4   2.1   193   265   248   320   232   325 0.83 | transcript=PVPAM_080022100_t1 | gene=PVPAM_080022100 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:802942-805593(+) | protein_length=817 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719999.1         -            817 2119at5820           -            997   4.8e-05   19.8  52.2   3   4     0.078        23    1.0  14.1   316   427   550   671   488   682 0.74 | transcript=PVPAM_080022100_t1 | gene=PVPAM_080022100 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:802942-805593(+) | protein_length=817 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719999.1         -            817 2119at5820           -            997   4.8e-05   19.8  52.2   4   4   0.00015     0.043   10.1   7.3   301   401   694   794   688   805 0.78 | transcript=PVPAM_080022100_t1 | gene=PVPAM_080022100 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:802942-805593(+) | protein_length=817 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720704.1         -            735 2119at5820           -            997     9e-05   18.9   3.2   1   3      0.23        68   -0.5   0.5   959   984    40    65    36    73 0.88 | transcript=PVPAM_090046900_t1 | gene=PVPAM_090046900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000009:1895232-1897439(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720704.1         -            735 2119at5820           -            997     9e-05   18.9   3.2   2   3   3.1e-07     9e-05   18.9   3.2   297   406   210   320   170   327 0.78 | transcript=PVPAM_090046900_t1 | gene=PVPAM_090046900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000009:1895232-1897439(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720704.1         -            735 2119at5820           -            997     9e-05   18.9   3.2   3   3     0.031       9.2    2.3   1.7   598   699   463   560   433   586 0.68 | transcript=PVPAM_090046900_t1 | gene=PVPAM_090046900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000009:1895232-1897439(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720519.1         -            730 2119at5820           -            997   0.00017   18.0   3.9   1   4         1     3e+02   -2.7   0.0    63    93    79   109    72   122 0.89 | transcript=PVPAM_090028400_t1 | gene=PVPAM_090028400 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000009:1092205-1094397(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720519.1         -            730 2119at5820           -            997   0.00017   18.0   3.9   2   4     0.082        24    1.0   1.9   525   574   312   361   281   441 0.58 | transcript=PVPAM_090028400_t1 | gene=PVPAM_090028400 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000009:1092205-1094397(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720519.1         -            730 2119at5820           -            997   0.00017   18.0   3.9   3   4    0.0032      0.93    5.6   0.0   779   810   562   593   552   596 0.93 | transcript=PVPAM_090028400_t1 | gene=PVPAM_090028400 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000009:1092205-1094397(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720519.1         -            730 2119at5820           -            997   0.00017   18.0   3.9   4   4   0.00039      0.11    8.7   0.0   855   916   599   660   597   665 0.90 | transcript=PVPAM_090028400_t1 | gene=PVPAM_090028400 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000009:1092205-1094397(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721445.1         -            978 2119at5820           -            997   0.00017   18.0  10.4   1   3       2.1   6.2e+02   -3.7   6.7   525   595   104   184    68   194 0.64 | transcript=PVPAM_110035000_t1 | gene=PVPAM_110035000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1275275-1278374(+) | protein_length=978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721445.1         -            978 2119at5820           -            997   0.00017   18.0  10.4   2   3       1.4   4.1e+02   -3.1   3.5   583   635   224   276   218   287 0.85 | transcript=PVPAM_110035000_t1 | gene=PVPAM_110035000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1275275-1278374(+) | protein_length=978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721445.1         -            978 2119at5820           -            997   0.00017   18.0  10.4   3   3   5.8e-07   0.00017   18.0  10.4   506   677   423   596   384   614 0.63 | transcript=PVPAM_110035000_t1 | gene=PVPAM_110035000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1275275-1278374(+) | protein_length=978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719595.1         -            719 2119at5820           -            997    0.0002   17.8  14.5   1   4    0.0034      0.99    5.5   1.6   477   552    74   147    42   215 0.57 | transcript=PVPAM_070020900_t1 | gene=PVPAM_070020900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:732429-734588(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719595.1         -            719 2119at5820           -            997    0.0002   17.8  14.5   2   4   0.00031     0.092    9.0   0.1   178   274   374   471   370   484 0.85 | transcript=PVPAM_070020900_t1 | gene=PVPAM_070020900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:732429-734588(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719595.1         -            719 2119at5820           -            997    0.0002   17.8  14.5   3   4   0.00029     0.085    9.1   0.5   524   588   544   611   538   618 0.87 | transcript=PVPAM_070020900_t1 | gene=PVPAM_070020900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:732429-734588(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719595.1         -            719 2119at5820           -            997    0.0002   17.8  14.5   4   4     0.058        17    1.5   0.0   547   581   610   644   605   648 0.85 | transcript=PVPAM_070020900_t1 | gene=PVPAM_070020900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:732429-734588(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719253.1         -            441 2119at5820           -            997   0.00071   16.0  11.9   1   3   6.6e-05     0.019   11.2   4.4   551   679    88   216    52   240 0.71 | transcript=PVPAM_060026000_t1 | gene=PVPAM_060026000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000006:877027-878352(-) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719253.1         -            441 2119at5820           -            997   0.00071   16.0  11.9   2   3     0.014         4    3.5   0.0   756   810   271   323   254   327 0.76 | transcript=PVPAM_060026000_t1 | gene=PVPAM_060026000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000006:877027-878352(-) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719253.1         -            441 2119at5820           -            997   0.00071   16.0  11.9   3   3    0.0063       1.9    4.6   0.3   859   902   334   377   324   391 0.80 | transcript=PVPAM_060026000_t1 | gene=PVPAM_060026000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000006:877027-878352(-) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719142.1         -            731 2119at5820           -            997    0.0026   14.1   0.1   1   2   8.8e-06    0.0026   14.1   0.1   230   384   151   310   114   316 0.79 | transcript=PVPAM_060014900_t1 | gene=PVPAM_060014900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:407400-409595(-) | protein_length=731 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719142.1         -            731 2119at5820           -            997    0.0026   14.1   0.1   2   2      0.34     1e+02   -1.1   0.8   180   237   501   561   434   580 0.53 | transcript=PVPAM_060014900_t1 | gene=PVPAM_060014900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:407400-409595(-) | protein_length=731 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722056.1         -           1043 2119at5820           -            997    0.0092   12.3   4.0   1   3     0.011       3.3    3.8   0.1   342   395   113   166    87   179 0.77 | transcript=PVPAM_120029400_t1 | gene=PVPAM_120029400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:932186-935317(-) | protein_length=1043 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722056.1         -           1043 2119at5820           -            997    0.0092   12.3   4.0   2   3   0.00049      0.14    8.3   0.9   323   402   438   517   435   525 0.89 | transcript=PVPAM_120029400_t1 | gene=PVPAM_120029400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:932186-935317(-) | protein_length=1043 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722056.1         -           1043 2119at5820           -            997    0.0092   12.3   4.0   3   3       2.1   6.1e+02   -3.7   0.0   527   552   806   831   803   840 0.86 | transcript=PVPAM_120029400_t1 | gene=PVPAM_120029400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:932186-935317(-) | protein_length=1043 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
