#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718997.1         -            388 6857at5820           -            381  5.1e-271  896.6   4.7   1   1  3.1e-273  5.7e-271  896.4   4.7     1   381     7   388     7   388 1.00 | transcript=PVPAM_050038900_t1 | gene=PVPAM_050038900 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic initiation factor 4A-III, putative | transcript_product=eukaryotic initiation factor 4A-III, putative | location=CASCJQ010000005:1445941-1447107(+) | protein_length=388 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720855.1         -            667 6857at5820           -            381   5.3e-54  182.2   0.0   1   1   4.2e-56   7.7e-54  181.7   0.0    11   364   220   587   217   600 0.87 | transcript=PVPAM_100012100_t1 | gene=PVPAM_100012100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=CASCJQ010000010:321156-323159(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721049.1         -           1475 6857at5820           -            381   5.2e-52  175.7   0.8   1   1   4.2e-54   7.7e-52  175.1   0.8    19   380   685  1061   674  1062 0.90 | transcript=PVPAM_100031700_t1 | gene=PVPAM_100031700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | transcript_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | location=CASCJQ010000010:1161244-1165671(-) | protein_length=1475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720950.1         -           1006 6857at5820           -            381   5.6e-52  175.6   0.0   1   2   1.7e-20   3.1e-18   64.5   0.0    12   175   584   756   580   765 0.87 | transcript=PVPAM_100021800_t1 | gene=PVPAM_100021800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=CASCJQ010000010:750078-753098(+) | protein_length=1006 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720950.1         -           1006 6857at5820           -            381   5.6e-52  175.6   0.0   2   2   7.2e-34   1.3e-31  108.5   0.0   187   378   792   981   784   983 0.89 | transcript=PVPAM_100021800_t1 | gene=PVPAM_100021800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=CASCJQ010000010:750078-753098(+) | protein_length=1006 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721323.1         -            599 6857at5820           -            381   1.3e-48  164.4   2.9   1   1   9.1e-51   1.7e-48  164.1   2.9     4   372   141   514   138   523 0.91 | transcript=PVPAM_110022600_t1 | gene=PVPAM_110022600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=CASCJQ010000011:735446-737595(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718426.1         -            536 6857at5820           -            381   1.8e-48  164.0   2.4   1   1   1.3e-50   2.4e-48  163.6   2.4     8   373   128   493   121   498 0.89 | transcript=PVPAM_040017200_t1 | gene=PVPAM_040017200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=CASCJQ010000004:538028-539638(+) | protein_length=536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719270.1         -           1015 6857at5820           -            381     4e-48  162.9   0.5   1   1   3.7e-50   6.9e-48  162.1   0.5    17   362   633   996   613  1009 0.85 | transcript=PVPAM_060027700_t1 | gene=PVPAM_060027700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA helicase DDX3X, putative | transcript_product=ATP-dependent DNA helicase DDX3X, putative | location=CASCJQ010000006:939088-943184(+) | protein_length=1015 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723851.1         -            737 6857at5820           -            381     7e-43  145.6   3.8   1   1   7.4e-43   1.4e-40  138.1   3.8    12   360   107   496    97   512 0.80 | transcript=PVPAM_140077400_t1 | gene=PVPAM_140077400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DRS1, putative | transcript_product=ATP-dependent RNA helicase DRS1, putative | location=CASCJQ010000014:3037650-3039863(+) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723453.1         -            938 6857at5820           -            381   2.9e-42  143.6   2.9   1   1   5.3e-41   9.8e-39  132.0   2.9    10   362   354   753   346   762 0.80 | transcript=PVPAM_140037500_t1 | gene=PVPAM_140037500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP1, putative | transcript_product=ATP-dependent RNA helicase DBP1, putative | location=CASCJQ010000014:1392118-1394934(-) | protein_length=938 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722027.1         -            489 6857at5820           -            381     7e-40  135.7   0.3   1   1   1.4e-41   2.5e-39  133.9   0.3    10   364    59   434    56   441 0.86 | transcript=PVPAM_120026600_t1 | gene=PVPAM_120026600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=CASCJQ010000012:856206-857675(+) | protein_length=489 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718755.1         -           1203 6857at5820           -            381     5e-39  132.9   4.8   1   1   4.2e-41   7.8e-39  132.3   4.8     9   360   166   528   160   539 0.88 | transcript=PVPAM_050014900_t1 | gene=PVPAM_050014900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=CASCJQ010000005:454102-457713(+) | protein_length=1203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722948.1         -            877 6857at5820           -            381   2.2e-37  127.6  12.3   1   1   1.7e-39   3.2e-37  127.0  12.3    10   363   135   503   127   520 0.83 | transcript=PVPAM_130045000_t1 | gene=PVPAM_130045000 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP4, putative | transcript_product=ATP-dependent RNA helicase DBP4, putative | location=CASCJQ010000013:1736949-1739744(+) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718216.1         -            846 6857at5820           -            381   2.4e-33  114.2   0.1   1   3   1.1e-22   2.1e-20   71.7   0.0    16   175   147   318   141   324 0.82 | transcript=PVPAM_030021600_t1 | gene=PVPAM_030021600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA helicase DDX31, putative | transcript_product=ATP-dependent DNA helicase DDX31, putative | location=CASCJQ010000003:705738-708278(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718216.1         -            846 6857at5820           -            381   2.4e-33  114.2   0.1   2   3       3.1   5.8e+02   -2.2   0.0   180   205   371   396   369   408 0.75 | transcript=PVPAM_030021600_t1 | gene=PVPAM_030021600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA helicase DDX31, putative | transcript_product=ATP-dependent DNA helicase DDX31, putative | location=CASCJQ010000003:705738-708278(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718216.1         -            846 6857at5820           -            381   2.4e-33  114.2   0.1   3   3   8.1e-13   1.5e-10   39.2   0.0   266   358   604   699   594   713 0.84 | transcript=PVPAM_030021600_t1 | gene=PVPAM_030021600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA helicase DDX31, putative | transcript_product=ATP-dependent DNA helicase DDX31, putative | location=CASCJQ010000003:705738-708278(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723752.1         -            862 6857at5820           -            381   2.7e-32  110.8   6.9   1   3     1e-24   1.9e-22   78.3   0.3    10   209   104   317    96   325 0.79 | transcript=PVPAM_140067500_t1 | gene=PVPAM_140067500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=CASCJQ010000014:2696273-2698861(-) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723752.1         -            862 6857at5820           -            381   2.7e-32  110.8   6.9   2   3   9.9e-12   1.8e-09   35.6   0.0   306   355   526   575   523   599 0.91 | transcript=PVPAM_140067500_t1 | gene=PVPAM_140067500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=CASCJQ010000014:2696273-2698861(-) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723752.1         -            862 6857at5820           -            381   2.7e-32  110.8   6.9   3   3       3.2   5.9e+02   -2.3   0.7   198   243   613   662   602   688 0.72 | transcript=PVPAM_140067500_t1 | gene=PVPAM_140067500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=CASCJQ010000014:2696273-2698861(-) | protein_length=862 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720085.1         -            761 6857at5820           -            381   8.8e-32  109.1   9.5   1   2   4.1e-05    0.0076   13.8   0.0    16    66   261   311   251   324 0.90 | transcript=PVPAM_080030700_t1 | gene=PVPAM_080030700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=CASCJQ010000008:1172150-1174672(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720085.1         -            761 6857at5820           -            381   8.8e-32  109.1   9.5   2   2   8.1e-30   1.5e-27   95.2   7.3    78   358   378   660   372   679 0.84 | transcript=PVPAM_080030700_t1 | gene=PVPAM_080030700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=CASCJQ010000008:1172150-1174672(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723238.1         -            626 6857at5820           -            381   7.2e-30  102.8   5.9   1   1   5.8e-32   1.1e-29  102.2   5.9    44   361   185   517   143   529 0.77 | transcript=PVPAM_140015700_t1 | gene=PVPAM_140015700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DBP6, putative | transcript_product=ATP-dependent RNA helicase DBP6, putative | location=CASCJQ010000014:498695-500575(+) | protein_length=626 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720918.1         -            816 6857at5820           -            381   1.7e-27   95.0  15.4   1   4   3.7e-09   6.9e-07   27.1   0.0     9    72     2    65     1    75 0.93 | transcript=PVPAM_100018600_t1 | gene=PVPAM_100018600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=CASCJQ010000010:612575-615025(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720918.1         -            816 6857at5820           -            381   1.7e-27   95.0  15.4   2   4       4.9   9.1e+02   -2.9   0.1     6    30   131   155   129   157 0.88 | transcript=PVPAM_100018600_t1 | gene=PVPAM_100018600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=CASCJQ010000010:612575-615025(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720918.1         -            816 6857at5820           -            381   1.7e-27   95.0  15.4   3   4   6.7e-11   1.2e-08   32.9   2.5    54   212   306   471   299   497 0.82 | transcript=PVPAM_100018600_t1 | gene=PVPAM_100018600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=CASCJQ010000010:612575-615025(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720918.1         -            816 6857at5820           -            381   1.7e-27   95.0  15.4   4   4   1.3e-13   2.4e-11   41.8   0.8   264   349   598   683   534   693 0.82 | transcript=PVPAM_100018600_t1 | gene=PVPAM_100018600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=CASCJQ010000010:612575-615025(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719169.1         -            623 6857at5820           -            381   1.6e-26   91.8   3.5   1   2   2.8e-07   5.1e-05   21.0   0.1    26    67   149   190   140   197 0.91 | transcript=PVPAM_060017600_t1 | gene=PVPAM_060017600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=CASCJQ010000006:520317-522188(-) | protein_length=623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719169.1         -            623 6857at5820           -            381   1.6e-26   91.8   3.5   2   2   1.2e-22   2.2e-20   71.6   0.9    79   375   251   554   189   559 0.81 | transcript=PVPAM_060017600_t1 | gene=PVPAM_060017600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=CASCJQ010000006:520317-522188(-) | protein_length=623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722434.1         -            791 6857at5820           -            381   4.5e-26   90.3   7.8   1   2   2.8e-18   5.2e-16   57.2   2.3    19   180   250   429   241   473 0.74 | transcript=PVPAM_120067100_t1 | gene=PVPAM_120067100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase MAK5, putative | transcript_product=ATP-dependent RNA helicase MAK5, putative | location=CASCJQ010000012:2535491-2538282(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722434.1         -            791 6857at5820           -            381   4.5e-26   90.3   7.8   2   2   7.7e-12   1.4e-09   36.0   0.3   272   357   597   683   579   696 0.92 | transcript=PVPAM_120067100_t1 | gene=PVPAM_120067100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase MAK5, putative | transcript_product=ATP-dependent RNA helicase MAK5, putative | location=CASCJQ010000012:2535491-2538282(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722946.1         -            995 6857at5820           -            381   3.1e-19   67.8   9.3   1   3   0.00041     0.077   10.5   0.0     9    69    48   108    45   120 0.88 | transcript=PVPAM_130044800_t1 | gene=PVPAM_130044800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=CASCJQ010000013:1726045-1729032(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722946.1         -            995 6857at5820           -            381   3.1e-19   67.8   9.3   2   3   0.00011     0.019   12.5   0.4   125   194   315   387   222   397 0.84 | transcript=PVPAM_130044800_t1 | gene=PVPAM_130044800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=CASCJQ010000013:1726045-1729032(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722946.1         -            995 6857at5820           -            381   3.1e-19   67.8   9.3   3   3   1.1e-14   2.1e-12   45.3   2.8   260   353   542   638   516   656 0.83 | transcript=PVPAM_130044800_t1 | gene=PVPAM_130044800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=CASCJQ010000013:1726045-1729032(-) | protein_length=995 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722663.1         -            869 6857at5820           -            381   2.1e-16   58.5   0.1   1   2       0.2        37    1.7   0.0    45   106   196   259   160   298 0.76 | transcript=PVPAM_130016400_t1 | gene=PVPAM_130016400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative | location=CASCJQ010000013:512933-516706(-) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722663.1         -            869 6857at5820           -            381   2.1e-16   58.5   0.1   2   2   2.5e-17   4.7e-15   54.0   0.0   246   367   533   653   523   662 0.90 | transcript=PVPAM_130016400_t1 | gene=PVPAM_130016400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative | location=CASCJQ010000013:512933-516706(-) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719627.1         -            735 6857at5820           -            381     3e-14   51.4   0.9   1   2       1.5   2.8e+02   -1.2   0.3    99   209    53   164    30   189 0.54 | transcript=PVPAM_070024100_t1 | gene=PVPAM_070024100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=CASCJQ010000007:855859-858066(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719627.1         -            735 6857at5820           -            381     3e-14   51.4   0.9   2   2   1.6e-16     3e-14   51.4   0.9   250   367   381   499   350   511 0.87 | transcript=PVPAM_070024100_t1 | gene=PVPAM_070024100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=CASCJQ010000007:855859-858066(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717677.1         -           1051 6857at5820           -            381   9.6e-14   49.7   5.2   1   2   0.00085      0.16    9.5   0.3   119   169   427   480   414   495 0.77 | transcript=PVPAM_010018700_t1 | gene=PVPAM_010018700 | organism=Plasmodium_vivax_PAM | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=CASCJQ010000001:672335-675490(-) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717677.1         -           1051 6857at5820           -            381   9.6e-14   49.7   5.2   2   2   1.4e-13   2.6e-11   41.7   0.6   248   337   761   849   755   866 0.92 | transcript=PVPAM_010018700_t1 | gene=PVPAM_010018700 | organism=Plasmodium_vivax_PAM | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=CASCJQ010000001:672335-675490(-) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720356.1         -           1329 6857at5820           -            381     1e-10   39.7   0.0   1   2     0.047       8.7    3.8   0.0    12    71   145   204   134   221 0.85 | transcript=PVPAM_090012100_t1 | gene=PVPAM_090012100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000009:399016-403005(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720356.1         -           1329 6857at5820           -            381     1e-10   39.7   0.0   2   2   6.2e-11   1.1e-08   33.0   0.1   247   343   885   981   870   997 0.88 | transcript=PVPAM_090012100_t1 | gene=PVPAM_090012100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000009:399016-403005(+) | protein_length=1329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718094.1         -            548 6857at5820           -            381   1.3e-10   39.4   7.1   1   1   3.3e-12   6.2e-10   37.2   7.1   177   375   290   499   122   505 0.58 | transcript=PVPAM_030009000_t1 | gene=PVPAM_030009000 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX51, putative | transcript_product=ATP-dependent RNA helicase DDX51, putative | location=CASCJQ010000003:195401-197371(-) | protein_length=548 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721094.1         -            522 6857at5820           -            381   2.1e-09   35.4   6.0   1   1     2e-11   3.7e-09   34.6   6.0    46   357   133   466    94   479 0.77 | transcript=PVPAM_100036200_t1 | gene=PVPAM_100036200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX27, putative | transcript_product=ATP-dependent RNA helicase DDX27, putative | location=CASCJQ010000010:1343851-1345783(-) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717956.1         -           1393 6857at5820           -            381   3.8e-09   34.6   1.0   1   3      0.53        97    0.3   0.0     5    40   480   516   476   522 0.84 | transcript=PVPAM_020018800_t1 | gene=PVPAM_020018800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA/RNA helicase PSH1, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH1, putative | location=CASCJQ010000002:571679-576254(-) | protein_length=1393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
