#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722131.1         -            641 4787at5820           -            540    2e-267  886.6  16.4   1   3  3.5e-162  1.1e-159  530.9   0.0     1   314    16   352    16   356 0.96 | transcript=PVPAM_120036900_t1 | gene=PVPAM_120036900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=CASCJQ010000012:1252674-1255416(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723392.1         -           1013 4787at5820           -            540   2.8e-10   37.9  12.2   2   4   8.6e-13   2.8e-10   37.9  12.2   371   428   138   194   125   215 0.76 | transcript=PVPAM_140031100_t1 | gene=PVPAM_140031100 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=CASCJQ010000014:1148101-1151923(+) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723392.1         -           1013 4787at5820           -            540   2.8e-10   37.9  12.2   3   4      0.12        38    1.1   4.4   423   473   221   273   216   287 0.81 | transcript=PVPAM_140031100_t1 | gene=PVPAM_140031100 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=CASCJQ010000014:1148101-1151923(+) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723392.1         -           1013 4787at5820           -            540   2.8e-10   37.9  12.2   4   4       5.3   1.7e+03   -4.4   1.4   492   523   628   659   605   687 0.57 | transcript=PVPAM_140031100_t1 | gene=PVPAM_140031100 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=CASCJQ010000014:1148101-1151923(+) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718451.1         -            272 4787at5820           -            540     5e-10   37.0  11.4   1   1   2.3e-12   7.3e-10   36.5  11.4   371   442    93   164    89   217 0.92 | transcript=PVPAM_040019700_t1 | gene=PVPAM_040019700 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC11, putative | transcript_product=palmitoyltransferase DHHC11, putative | location=CASCJQ010000004:629271-631608(+) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719773.1         -            525 4787at5820           -            540   1.6e-09   35.3   8.4   1   2      0.21        69    0.2   0.1   286   310    37    61    33    69 0.89 | transcript=PVPAM_070038700_t1 | gene=PVPAM_070038700 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC6, putative | transcript_product=palmitoyltransferase DHHC6, putative | location=CASCJQ010000007:1411119-1414091(-) | protein_length=525 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719773.1         -            525 4787at5820           -            540   1.6e-09   35.3   8.4   2   2   4.9e-12   1.6e-09   35.3   8.4   372   443   303   374   295   407 0.92 | transcript=PVPAM_070038700_t1 | gene=PVPAM_070038700 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC6, putative | transcript_product=palmitoyltransferase DHHC6, putative | location=CASCJQ010000007:1411119-1414091(-) | protein_length=525 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720442.1         -            294 4787at5820           -            540   1.6e-08   32.1   6.5   1   2   4.8e-11   1.6e-08   32.1   6.5   353   434    78   160     4   170 0.83 | transcript=PVPAM_090020700_t1 | gene=PVPAM_090020700 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC9, putative | transcript_product=palmitoyltransferase DHHC9, putative | location=CASCJQ010000009:747788-750049(+) | protein_length=294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720442.1         -            294 4787at5820           -            540   1.6e-08   32.1   6.5   2   2      0.86   2.8e+02   -1.7   0.2   272   297   193   218   173   238 0.63 | transcript=PVPAM_090020700_t1 | gene=PVPAM_090020700 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC9, putative | transcript_product=palmitoyltransferase DHHC9, putative | location=CASCJQ010000009:747788-750049(+) | protein_length=294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720493.1         -            289 4787at5820           -            540   2.5e-07   28.1  22.5   1   1   7.9e-10   2.5e-07   28.1  22.5   355   436    90   177    82   285 0.71 | transcript=PVPAM_090025800_t1 | gene=PVPAM_090025800 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC3, putative | transcript_product=palmitoyltransferase DHHC3, putative | location=CASCJQ010000009:944948-946649(+) | protein_length=289 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721534.1         -            284 4787at5820           -            540   2.6e-07   28.0  12.1   1   2   8.2e-10   2.6e-07   28.0  12.1   370   428    97   155    85   190 0.82 | transcript=PVPAM_110043900_t1 | gene=PVPAM_110043900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC2, putative | transcript_product=palmitoyltransferase DHHC2, putative | location=CASCJQ010000011:1610925-1612592(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721534.1         -            284 4787at5820           -            540   2.6e-07   28.0  12.1   2   2      0.66   2.1e+02   -1.4   2.0   432   486   189   244   159   253 0.54 | transcript=PVPAM_110043900_t1 | gene=PVPAM_110043900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC2, putative | transcript_product=palmitoyltransferase DHHC2, putative | location=CASCJQ010000011:1610925-1612592(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 4787at5820           -            540   3.7e-07   27.5   3.9   1   1     2e-09   6.6e-07   26.7   3.9    16   207  1065  1270  1058  1282 0.80 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720711.1         -            584 4787at5820           -            540   1.2e-05   22.6   1.5   1   1   5.7e-08   1.8e-05   21.9   1.5     2    75    29   105    28   133 0.81 | transcript=PVPAM_090047600_t1 | gene=PVPAM_090047600 | organism=Plasmodium_vivax_PAM | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=CASCJQ010000009:1926734-1928488(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720850.1         -            437 4787at5820           -            540   4.2e-05   20.8  26.0   1   2   1.3e-07   4.2e-05   20.8  26.0   363   430   239   307   129   321 0.65 | transcript=PVPAM_100011600_t1 | gene=PVPAM_100011600 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC7, putative | transcript_product=palmitoyltransferase DHHC7, putative | location=CASCJQ010000010:301705-304636(-) | protein_length=437 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720850.1         -            437 4787at5820           -            540   4.2e-05   20.8  26.0   2   2       4.5   1.5e+03   -4.1   0.5   277   293   339   355   325   373 0.60 | transcript=PVPAM_100011600_t1 | gene=PVPAM_100011600 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC7, putative | transcript_product=palmitoyltransferase DHHC7, putative | location=CASCJQ010000010:301705-304636(-) | protein_length=437 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718773.1         -            185 4787at5820           -            540   0.00014   19.0   6.4   1   1   4.8e-07   0.00016   18.9   5.3    25   118    39   134    26   155 0.73 | transcript=PVPAM_050016700_t1 | gene=PVPAM_050016700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000005:539579-541022(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720473.1         -            366 4787at5820           -            540   0.00053   17.1   0.2   1   1   2.3e-06   0.00074   16.6   0.2     7   101   261   355   254   365 0.88 | transcript=PVPAM_090023800_t1 | gene=PVPAM_090023800 | organism=Plasmodium_vivax_PAM | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=CASCJQ010000009:865505-866605(-) | protein_length=366 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 4787at5820           -            540    0.0015   15.6   0.3   1   2   4.5e-05     0.014   12.4   0.0    21    81   406   467   389   487 0.81 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 4787at5820           -            540    0.0015   15.6   0.3   2   2      0.12        39    1.1   0.0    33    75   488   530   477   688 0.83 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723305.1         -            400 4787at5820           -            540     0.002   15.2   3.4   1   3   6.3e-06     0.002   15.2   3.4     4   109    42   150    39   159 0.79 | transcript=PVPAM_140022400_t1 | gene=PVPAM_140022400 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:780796-781998(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723305.1         -            400 4787at5820           -            540     0.002   15.2   3.4   2   3   0.00012      0.04   10.9   2.5     7    99   147   243   143   257 0.79 | transcript=PVPAM_140022400_t1 | gene=PVPAM_140022400 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:780796-781998(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723305.1         -            400 4787at5820           -            540     0.002   15.2   3.4   3   3      0.71   2.3e+02   -1.5   2.7   306   351   233   279   230   303 0.70 | transcript=PVPAM_140022400_t1 | gene=PVPAM_140022400 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:780796-781998(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723024.1         -            172 4787at5820           -            540    0.0039   14.3   0.0   1   1   1.4e-05    0.0045   14.1   0.0    33    75    45    88    30   150 0.78 | transcript=PVPAM_130053000_t1 | gene=PVPAM_130053000 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:2111083-2112553(-) | protein_length=172 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723793.1         -            309 4787at5820           -            540    0.0079   13.3  17.8   1   2   8.9e-06    0.0029   14.7  13.7    26   153    61   191    53   196 0.87 | transcript=PVPAM_140071600_t1 | gene=PVPAM_140071600 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:2831477-2832406(+) | protein_length=309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723793.1         -            309 4787at5820           -            540    0.0079   13.3  17.8   2   2   0.00089      0.29    8.1   8.9     9   127   110   230   105   243 0.77 | transcript=PVPAM_140071600_t1 | gene=PVPAM_140071600 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:2831477-2832406(+) | protein_length=309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4787at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4787at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4787at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:02 2026
# [ok]
