#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717667.1         -           3830 221at5820            -           2863         0 4226.5 282.0   1   5  1.5e-229    5e-227  755.2  79.2     1   482     1   583     1   588 0.84 | transcript=PVPAM_010017700_t1 | gene=PVPAM_010017700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-type E3 ubiquitin ligase UT, putative | transcript_product=HECT-type E3 ubiquitin ligase UT, putative | location=CASCJQ010000001:607785-620736(-) | protein_length=3830 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721043.1         -            143 221at5820            -           2863      0.73    4.9  23.4   1   1    0.0024      0.83    4.7  23.4  2244  2369     5   128     1   135 0.54 | transcript=PVPAM_100031100_t1 | gene=PVPAM_100031100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:1135167-1135857(+) | protein_length=143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722132.1         -            392 221at5820            -           2863      0.77    4.8  44.0   1   1    0.0028      0.94    4.5  44.0  2229  2481    95   370    56   382 0.55 | transcript=PVPAM_120037000_t1 | gene=PVPAM_120037000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1256137-1257725(-) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723470.1         -            371 221at5820            -           2863       0.8    4.7  31.0   1   1     0.003         1    4.4  31.0  2241  2393    18   171     2   262 0.65 | transcript=PVPAM_140039200_t1 | gene=PVPAM_140039200 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000014:1484743-1485858(+) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723243.1         -            424 221at5820            -           2863       1.4    3.9  39.3   1   1    0.0052       1.8    3.6  39.3  2184  2398    65   283    52   328 0.45 | transcript=PVPAM_140016200_t1 | gene=PVPAM_140016200 | organism=Plasmodium_vivax_PAM | gene_product=centrosomal protein CEP170, putative | transcript_product=centrosomal protein CEP170, putative | location=CASCJQ010000014:514801-516530(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720004.1         -            381 221at5820            -           2863       1.6    3.8  28.6   1   1    0.0051       1.7    3.6  28.6   130   254   103   247     4   259 0.51 | transcript=PVPAM_080022600_t1 | gene=PVPAM_080022600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000008:819982-822067(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718911.1         -            421 221at5820            -           2863       1.7    3.6  14.4   1   1    0.0064       2.2    3.3  14.4  2219  2281   112   185    44   219 0.42 | transcript=PVPAM_050030300_t1 | gene=PVPAM_050030300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=CASCJQ010000005:1046207-1047662(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722520.1         -            369 221at5820            -           2863       1.9    3.5  19.3   1   1    0.0071       2.4    3.1  19.3   156   248   252   346   208   361 0.35 | transcript=PVPAM_120075900_t1 | gene=PVPAM_120075900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2974231-2975447(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720335.1         -            630 221at5820            -           2863       2.9    2.9  29.8   1   2   0.00074      0.25    6.4  10.8  2295  2383   205   296    13   321 0.59 | transcript=PVPAM_090010100_t1 | gene=PVPAM_090010100 | organism=Plasmodium_vivax_PAM | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=CASCJQ010000009:324938-326830(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720335.1         -            630 221at5820            -           2863       2.9    2.9  29.8   2   2      0.01       3.4    2.6  11.0  2292  2382   384   480   370   505 0.40 | transcript=PVPAM_090010100_t1 | gene=PVPAM_090010100 | organism=Plasmodium_vivax_PAM | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=CASCJQ010000009:324938-326830(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722095.1         -            822 221at5820            -           2863       4.1    2.4   5.5   1   1     0.015       5.1    2.1   5.5  2327  2451   506   631   470   730 0.59 | transcript=PVPAM_120033300_t1 | gene=PVPAM_120033300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1120143-1122876(-) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721050.1         -            277 221at5820            -           2863       4.1    2.4  21.8   1   1     0.014       4.8    2.1  21.8  2232  2373   102   260    22   276 0.51 | transcript=PVPAM_100031800_t1 | gene=PVPAM_100031800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000010:1167488-1168321(-) | protein_length=277 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718940.1         -            218 221at5820            -           2863       4.2    2.3  18.9   1   1     0.014       4.9    2.1  18.9  2245  2365    55   172    13   199 0.49 | transcript=PVPAM_050033200_t1 | gene=PVPAM_050033200 | organism=Plasmodium_vivax_PAM | gene_product=PRKR-interacting protein 1, putative | transcript_product=PRKR-interacting protein 1, putative | location=CASCJQ010000005:1156071-1156727(-) | protein_length=218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718752.1         -            923 221at5820            -           2863       4.5    2.2   8.3   1   1      0.02       6.9    1.6   8.3  2290  2437   333   448   272   516 0.46 | transcript=PVPAM_050014600_t1 | gene=PVPAM_050014600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:440660-443431(-) | protein_length=923 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722005.1         -            456 221at5820            -           2863       4.8    2.1  17.6   1   1     0.019       6.4    1.7  17.6   103   214    40   159    35   214 0.57 | transcript=PVPAM_120024400_t1 | gene=PVPAM_120024400 | organism=Plasmodium_vivax_PAM | gene_product=MSP7-like protein | transcript_product=MSP7-like protein | location=CASCJQ010000012:788893-790263(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720548.1         -            318 221at5820            -           2863         5    2.1  32.6   1   1     0.017       5.7    1.9  32.6  2317  2492    68   242    26   310 0.50 | transcript=PVPAM_090031400_t1 | gene=PVPAM_090031400 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 21, putative | transcript_product=mediator of RNA polymerase II transcription subunit 21, putative | location=CASCJQ010000009:1198966-1200328(+) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717684.1         -            162 221at5820            -           2863       5.1    2.0  10.1   1   1     0.014       4.9    2.1  10.1   154   223     7    76     1   132 0.44 | transcript=PVPAM_010019400_t1 | gene=PVPAM_010019400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:696866-697563(+) | protein_length=162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/221at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/221at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/221at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:49 2026
# [ok]
