#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721909.1         -            157 13591at5820          -            132   2.1e-71  237.0   0.7   1   1   5.4e-74   2.9e-71  236.5   0.7     2   132    13   157    12   157 0.92 | transcript=PVPAM_120014300_t1 | gene=PVPAM_120014300 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=CASCJQ010000012:383174-384266(+) | protein_length=157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723353.1         -            550 13591at5820          -            132   3.3e-06   26.1   1.5   2   2       2.4   1.3e+03   -1.7   0.0    22    45   295   318   278   320 0.76 | transcript=PVPAM_140027200_t1 | gene=PVPAM_140027200 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin, putative | transcript_product=thioredoxin, putative | location=CASCJQ010000014:960942-962594(+) | protein_length=550 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719696.1         -            133 13591at5820          -            132   6.8e-06   25.0   0.0   1   1   1.9e-08     1e-05   24.5   0.0    45   114    41   109    18   121 0.86 | transcript=PVPAM_070031000_t1 | gene=PVPAM_070031000 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=CASCJQ010000007:1124314-1125388(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720267.1         -            179 13591at5820          -            132   6.4e-05   21.9   6.5   1   1   6.3e-05     0.034   13.1   6.5    26   114    29   138    13   160 0.64 | transcript=PVPAM_080049000_t1 | gene=PVPAM_080049000 | organism=Plasmodium_vivax_PAM | gene_product=plasmoredoxin, putative | transcript_product=plasmoredoxin, putative | location=CASCJQ010000008:1898569-1899108(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722263.1         -            121 13591at5820          -            132   0.00053   18.9   1.5   1   1   1.1e-06    0.0006   18.7   1.5    24   116     7   100     2   115 0.71 | transcript=PVPAM_120050000_t1 | gene=PVPAM_120050000 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like protein | transcript_product=thioredoxin-like protein | location=CASCJQ010000012:1839394-1839759(+) | protein_length=121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720333.1         -            430 13591at5820          -            132    0.0037   16.2   0.4   1   3       1.5   7.9e+02   -1.1   0.1    29    62    43    76    29   110 0.57 | transcript=PVPAM_090009900_t1 | gene=PVPAM_090009900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=CASCJQ010000009:319761-321182(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720333.1         -            430 13591at5820          -            132    0.0037   16.2   0.4   2   3   6.8e-06    0.0037   16.2   0.4    67   112   193   237   186   255 0.82 | transcript=PVPAM_090009900_t1 | gene=PVPAM_090009900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=CASCJQ010000009:319761-321182(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720333.1         -            430 13591at5820          -            132    0.0037   16.2   0.4   3   3      0.58   3.1e+02    0.2   0.0    80   107   342   369   327   396 0.78 | transcript=PVPAM_090009900_t1 | gene=PVPAM_090009900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=CASCJQ010000009:319761-321182(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13591at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13591at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13591at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:49 2026
# [ok]
