#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717932.1         -            215 13889at5820          -            168   3.2e-77  256.7   8.3   1   2   3.4e-78   2.2e-75  250.7   4.9     1   151    15   176    15   181 0.93 | transcript=PVPAM_020016400_t1 | gene=PVPAM_020016400 | organism=Plasmodium_vivax_PAM | gene_product=EF hand domain-containing protein, putative | transcript_product=EF hand domain-containing protein, putative | location=CASCJQ010000002:479484-480291(+) | protein_length=215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722421.1         -            168 13889at5820          -            168    0.0031   15.9   0.7   1   1     3e-05     0.019   13.4   0.7    81   152    77   148    26   165 0.73 | transcript=PVPAM_120065700_t1 | gene=PVPAM_120065700 | organism=Plasmodium_vivax_PAM | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=CASCJQ010000012:2470167-2470928(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717924.1         -            168 13889at5820          -            168    0.0033   15.9   4.3   1   1   6.3e-06     0.004   15.6   4.3    30   150    26   146     6   164 0.89 | transcript=PVPAM_020015600_t1 | gene=PVPAM_020015600 | organism=Plasmodium_vivax_PAM | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=CASCJQ010000002:450095-451406(-) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720239.1         -            110 13889at5820          -            168    0.0048   15.3   0.3   1   1   8.5e-06    0.0055   15.2   0.3     2    58     4    60     3    83 0.88 | transcript=PVPAM_080046200_t1 | gene=PVPAM_080046200 | organism=Plasmodium_vivax_PAM | gene_product=glutaredoxin 1, putative | transcript_product=glutaredoxin 1, putative | location=CASCJQ010000008:1792990-1793912(+) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723393.1         -            244 13889at5820          -            168     0.024   13.1  15.1   1   2    0.0071       4.6    5.6   0.8   108   152    20    64     9    83 0.68 | transcript=PVPAM_140031200_t1 | gene=PVPAM_140031200 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000014:1152775-1153919(-) | protein_length=244 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723393.1         -            244 13889at5820          -            168     0.024   13.1  15.1   2   2     8e-05     0.052   12.0   7.5    66   157   129   224   104   235 0.71 | transcript=PVPAM_140031200_t1 | gene=PVPAM_140031200 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000014:1152775-1153919(-) | protein_length=244 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13889at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13889at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13889at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:43 2026
# [ok]
