#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719201.1         -            446 7686at5820           -            351  4.5e-175  580.3  20.0   1   2   6.3e-97   5.9e-94  313.6   7.7     1   198    54   262    54   278 0.95 | transcript=PVPAM_060020800_t1 | gene=PVPAM_060020800 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000006:683043-685057(-) | protein_length=446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721304.1         -            988 7686at5820           -            351   1.5e-05   22.8   0.7   3   4   0.00028      0.26    8.9   0.7   219   283   728   795   648   803 0.71 | transcript=PVPAM_110020700_t1 | gene=PVPAM_110020700 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:668060-671026(+) | protein_length=988 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721304.1         -            988 7686at5820           -            351   1.5e-05   22.8   0.7   4   4   1.6e-08   1.5e-05   22.8   0.7   286   348   860   923   857   926 0.89 | transcript=PVPAM_110020700_t1 | gene=PVPAM_110020700 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:668060-671026(+) | protein_length=988 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7686at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7686at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7686at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:30 2026
# [ok]
