#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722949.1         -            136 14128at5820          -            118   9.6e-56  185.7   5.7   1   1   1.2e-56   4.6e-54  180.2   5.7     2   118     4   136     3   136 0.94 | transcript=PVPAM_130045500_t1 | gene=PVPAM_130045500 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000013:1746960-1747370(-) | protein_length=136 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722421.1         -            168 14128at5820          -            118   2.8e-08   32.6   0.1   1   2   0.00056      0.21   10.4   0.0     5    36    28    59    24    73 0.91 | transcript=PVPAM_120065700_t1 | gene=PVPAM_120065700 | organism=Plasmodium_vivax_PAM | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=CASCJQ010000012:2470167-2470928(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722421.1         -            168 14128at5820          -            118   2.8e-08   32.6   0.1   2   2   4.6e-07   0.00017   20.3   0.1    38   105    81   148    76   163 0.87 | transcript=PVPAM_120065700_t1 | gene=PVPAM_120065700 | organism=Plasmodium_vivax_PAM | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=CASCJQ010000012:2470167-2470928(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723393.1         -            244 14128at5820          -            118   9.4e-08   30.9   1.1   1   2    0.0012      0.46    9.3   0.2     9    58    21    70    11    89 0.80 | transcript=PVPAM_140031200_t1 | gene=PVPAM_140031200 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000014:1152775-1153919(-) | protein_length=244 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723393.1         -            244 14128at5820          -            118   9.4e-08   30.9   1.1   2   2   6.4e-07   0.00024   19.8   0.0    37   101   150   215   148   229 0.90 | transcript=PVPAM_140031200_t1 | gene=PVPAM_140031200 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000014:1152775-1153919(-) | protein_length=244 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719263.1         -            236 14128at5820          -            118   2.3e-07   29.6   0.7   1   2     4e-05     0.015   14.1   0.0     5    52    12    59     8    83 0.87 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719263.1         -            236 14128at5820          -            118   2.3e-07   29.6   0.7   2   2   5.1e-05     0.019   13.7   0.3    56   101   169   214   123   232 0.83 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722369.1         -            177 14128at5820          -            118   3.9e-05   22.4   5.0   1   4      0.45   1.7e+02    1.0   0.0     8    26    32    50    25    56 0.65 | transcript=PVPAM_120060500_t1 | gene=PVPAM_120060500 | organism=Plasmodium_vivax_PAM | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=CASCJQ010000012:2253591-2255022(+) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722369.1         -            177 14128at5820          -            118   3.9e-05   22.4   5.0   2   4    0.0066       2.5    6.9   0.0     5    30    61    86    56    99 0.84 | transcript=PVPAM_120060500_t1 | gene=PVPAM_120060500 | organism=Plasmodium_vivax_PAM | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=CASCJQ010000012:2253591-2255022(+) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722369.1         -            177 14128at5820          -            118   3.9e-05   22.4   5.0   3   4    0.0032       1.2    7.9   0.1     8    33   101   126    92   135 0.82 | transcript=PVPAM_120060500_t1 | gene=PVPAM_120060500 | organism=Plasmodium_vivax_PAM | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=CASCJQ010000012:2253591-2255022(+) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722369.1         -            177 14128at5820          -            118   3.9e-05   22.4   5.0   4   4     0.015       5.6    5.8   0.0     3    26   137   160   135   174 0.80 | transcript=PVPAM_120060500_t1 | gene=PVPAM_120060500 | organism=Plasmodium_vivax_PAM | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=CASCJQ010000012:2253591-2255022(+) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 14128at5820          -            118   8.5e-05   21.3   4.5   1   3      0.15        55    2.6   0.1    37    69    97   129    62   136 0.77 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 14128at5820          -            118   8.5e-05   21.3   4.5   2   3     0.011         4    6.3   0.1     8    28   384   404   377   454 0.79 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 14128at5820          -            118   8.5e-05   21.3   4.5   3   3   0.00034      0.13   11.0   0.1    55   115   461   522   443   525 0.79 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 14128at5820          -            118   0.00041   19.1   2.8   1   4     0.012       4.4    6.1   0.1    50    78   370   398   364   403 0.80 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 14128at5820          -            118   0.00041   19.1   2.8   2   4    0.0024       0.9    8.3   0.2     9    92   382   456   377   460 0.72 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 14128at5820          -            118   0.00041   19.1   2.8   3   4     0.044        17    4.2   0.0     5    28   458   481   454   494 0.80 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 14128at5820          -            118   0.00041   19.1   2.8   4   4       1.3     5e+02   -0.5   0.0    12    29   499   516   487   523 0.63 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719127.1         -            130 14128at5820          -            118    0.0014   17.4   0.5   1   1   4.2e-06    0.0016   17.2   0.5    38   116    48   126     4   128 0.84 | transcript=PVPAM_060013400_t1 | gene=PVPAM_060013400 | organism=Plasmodium_vivax_PAM | gene_product=myosin essential light chain ELC, putative | transcript_product=myosin essential light chain ELC, putative | location=CASCJQ010000006:359871-360541(+) | protein_length=130 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723885.1         -            368 14128at5820          -            118    0.0078   15.0   0.0   1   1   5.4e-05     0.021   13.6   0.0    56   102   254   300   243   310 0.89 | transcript=PVPAM_140081100_t1 | gene=PVPAM_140081100 | organism=Plasmodium_vivax_PAM | gene_product=PIR protein | transcript_product=PIR protein | location=CASCJQ010000014:3221649-3222885(-) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722444.1         -            207 14128at5820          -            118      0.01   14.6   3.1   1   2   7.4e-05     0.028   13.2   0.9    52    85    41    74    32   104 0.76 | transcript=PVPAM_120068100_t1 | gene=PVPAM_120068100 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000012:2568832-2569988(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722444.1         -            207 14128at5820          -            118      0.01   14.6   3.1   2   2      0.83   3.1e+02    0.1   0.0    10    26   129   145   122   156 0.69 | transcript=PVPAM_120068100_t1 | gene=PVPAM_120068100 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000012:2568832-2569988(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720511.1         -           1622 14128at5820          -            118     0.014   14.1   0.4   1   2     0.038        14    4.5   0.0     4    35  1481  1512  1478  1536 0.86 | transcript=PVPAM_090027600_t1 | gene=PVPAM_090027600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=CASCJQ010000009:1029730-1035568(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720511.1         -           1622 14128at5820          -            118     0.014   14.1   0.4   2   2    0.0081       3.1    6.6   0.1     4    27  1550  1573  1547  1589 0.78 | transcript=PVPAM_090027600_t1 | gene=PVPAM_090027600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=CASCJQ010000009:1029730-1035568(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721976.1         -            563 14128at5820          -            118     0.022   13.5   8.6   1   3       2.9   1.1e+03   -1.6   0.2    50    85   139   174   126   186 0.66 | transcript=PVPAM_120021400_t1 | gene=PVPAM_120021400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=CASCJQ010000012:689468-691159(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721976.1         -            563 14128at5820          -            118     0.022   13.5   8.6   2   3     0.051        19    4.0   0.0     6    32   426   452   422   465 0.87 | transcript=PVPAM_120021400_t1 | gene=PVPAM_120021400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=CASCJQ010000012:689468-691159(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721976.1         -            563 14128at5820          -            118     0.022   13.5   8.6   3   3   0.00049      0.19   10.5   0.3     3    39   494   530   492   560 0.88 | transcript=PVPAM_120021400_t1 | gene=PVPAM_120021400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=CASCJQ010000012:689468-691159(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718873.1         -            291 14128at5820          -            118      0.12   11.2   2.0   1   3    0.0076       2.9    6.7   0.0     4    26   148   170   145   194 0.89 | transcript=PVPAM_050026500_t1 | gene=PVPAM_050026500 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000005:912926-914132(-) | protein_length=291 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718873.1         -            291 14128at5820          -            118      0.12   11.2   2.0   2   3      0.15        59    2.5   0.3    30    64   218   252   181   264 0.78 | transcript=PVPAM_050026500_t1 | gene=PVPAM_050026500 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000005:912926-914132(-) | protein_length=291 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718873.1         -            291 14128at5820          -            118      0.12   11.2   2.0   3   3       1.5   5.8e+02   -0.7   0.0     8    26   266   284   259   288 0.75 | transcript=PVPAM_050026500_t1 | gene=PVPAM_050026500 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000005:912926-914132(-) | protein_length=291 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14128at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14128at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14128at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:33 2026
# [ok]
