#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721578.1         -            158 14134at5820          -            148   1.9e-77  256.7  18.3   1   1     3e-80   2.2e-77  256.5  18.3     1   148    10   158    10   158 0.99 | transcript=PVPAM_110048300_t1 | gene=PVPAM_110048300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=CASCJQ010000011:1806007-1806483(+) | protein_length=158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721976.1         -            563 14134at5820          -            148   0.00013   20.3  16.0   2   2   0.00018      0.13   10.6   1.5    48   108   495   557   485   562 0.81 | transcript=PVPAM_120021400_t1 | gene=PVPAM_120021400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=CASCJQ010000012:689468-691159(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723799.1         -            209 14134at5820          -            148    0.0023   16.3   0.7   1   1   4.6e-06    0.0033   15.8   0.7    55   120   118   183    73   208 0.76 | transcript=PVPAM_140072200_t1 | gene=PVPAM_140072200 | organism=Plasmodium_vivax_PAM | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=CASCJQ010000014:2858420-2859049(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719263.1         -            236 14134at5820          -            148       0.3    9.5  14.3   1   2    0.0021       1.5    7.2   0.1   121   143    13    35     2    51 0.80 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719263.1         -            236 14134at5820          -            148       0.3    9.5  14.3   2   2     0.034        24    3.3  10.7    63   142   149   229    94   235 0.81 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14134at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14134at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14134at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:36 2026
# [ok]
