#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720478.1         -            478 6501at5820           -            376  7.4e-218  721.4  24.9   1   2   1.2e-73   1.5e-70  236.6   2.5     1   129     1   140     1   145 0.95 | transcript=PVPAM_090024300_t1 | gene=PVPAM_090024300 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=CASCJQ010000009:882560-884344(+) | protein_length=478 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722479.1         -            745 6501at5820           -            376   6.2e-09   33.9  10.4   3   3       1.5   1.9e+03   -3.9   0.5   122   166   533   578   520   591 0.46 | transcript=PVPAM_120071600_t1 | gene=PVPAM_120071600 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit mu, putative | transcript_product=AP-3 complex subunit mu, putative | location=CASCJQ010000012:2741271-2743508(+) | protein_length=745 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720464.1         -            155 6501at5820           -            376   0.00097   16.7   0.8   1   1   9.3e-07    0.0012   16.5   0.8    68   126    80   138    53   151 0.84 | transcript=PVPAM_090022900_t1 | gene=PVPAM_090022900 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit sigma, putative | transcript_product=AP-1 complex subunit sigma, putative | location=CASCJQ010000009:834776-835387(+) | protein_length=155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6501at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6501at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6501at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:13 2026
# [ok]
