#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723681.1         -           3364 445at5820            -           1541         0 1916.9 135.1   1  17   9.4e-15     3e-11   39.9   0.7    16    65   128   177   125   180 0.91 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723681.1         -           3364 445at5820            -           1541         0 1916.9 135.1  15  17     9e-13   2.9e-09   33.4   4.2  1256  1309  2828  2885  2823  2885 0.86 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723681.1         -           3364 445at5820            -           1541         0 1916.9 135.1  16  17   9.7e-12   3.1e-08   29.9   7.6  1282  1338  2876  2935  2874  2989 0.70 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723681.1         -           3364 445at5820            -           1541         0 1916.9 135.1  17  17  1.8e-108  5.9e-105  350.5   4.3  1342  1534  3126  3320  3062  3326 0.85 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 445at5820            -           1541   5.6e-09   32.4   1.7   1   2      0.17   5.5e+02   -4.0   0.4   188   264    19   102     4   110 0.54 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 445at5820            -           1541   5.6e-09   32.4   1.7   2   2   1.7e-12   5.6e-09   32.4   1.7  1414  1488   345   419   315   461 0.77 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/445at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/445at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/445at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:45 2026
# [ok]
