#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720749.1         -            340 10835at5820          -            259  1.1e-132  439.7  36.5   1   1  2.1e-135  1.4e-132  439.4  36.5     4   259    73   328    70   328 0.98 | transcript=PVPAM_090051300_t1 | gene=PVPAM_090051300 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000009:2058046-2059068(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721044.1         -            371 10835at5820          -            259   2.1e-08   32.5   8.6   1   2   3.2e-11   2.1e-08   32.5   8.6    35   138    54   160    50   173 0.83 | transcript=PVPAM_100031200_t1 | gene=PVPAM_100031200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000010:1136254-1137982(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721044.1         -            371 10835at5820          -            259   2.1e-08   32.5   8.6   2   2      0.45   2.9e+02   -0.8   0.5    66   108   253   294   248   320 0.71 | transcript=PVPAM_100031200_t1 | gene=PVPAM_100031200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000010:1136254-1137982(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718799.1         -            198 10835at5820          -            259     3e-07   28.7   9.9   1   2   2.6e-08   1.7e-05   22.9   3.8   136   219    41   124     9   124 0.78 | transcript=PVPAM_050019300_t1 | gene=PVPAM_050019300 | organism=Plasmodium_vivax_PAM | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=CASCJQ010000005:638781-640263(+) | protein_length=198 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718799.1         -            198 10835at5820          -            259     3e-07   28.7   9.9   2   2   1.2e-06   0.00075   17.5   2.8   128   206   101   188    97   194 0.70 | transcript=PVPAM_050019300_t1 | gene=PVPAM_050019300 | organism=Plasmodium_vivax_PAM | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=CASCJQ010000005:638781-640263(+) | protein_length=198 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719748.1         -            635 10835at5820          -            259   1.7e-06   26.2  22.3   1   2   2.6e-09   1.7e-06   26.2  22.3    61   225    79   200    69   229 0.55 | transcript=PVPAM_070036200_t1 | gene=PVPAM_070036200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:1300627-1303268(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719748.1         -            635 10835at5820          -            259   1.7e-06   26.2  22.3   2   2        10   6.5e+03   -7.0   6.8   143   143   521   521   457   607 0.51 | transcript=PVPAM_070036200_t1 | gene=PVPAM_070036200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:1300627-1303268(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719507.1         -            414 10835at5820          -            259    0.0003   18.9   8.7   1   2     0.012       7.5    4.4   0.8    66   136   168   217   139   223 0.46 | transcript=PVPAM_070012100_t1 | gene=PVPAM_070012100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:406377-407621(-) | protein_length=414 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719507.1         -            414 10835at5820          -            259    0.0003   18.9   8.7   2   2   1.4e-06    0.0009   17.3   1.6    78   135   272   332   267   337 0.83 | transcript=PVPAM_070012100_t1 | gene=PVPAM_070012100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:406377-407621(-) | protein_length=414 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723619.1         -            438 10835at5820          -            259    0.0004   18.4   8.7   1   1     1e-06   0.00066   17.7   8.7    62   160    25   120     6   149 0.77 | transcript=PVPAM_140054300_t1 | gene=PVPAM_140054300 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000014:2119853-2121416(-) | protein_length=438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722868.1         -            281 10835at5820          -            259   0.00043   18.3   5.4   1   1   1.1e-06   0.00072   17.6   5.4   136   234    45   150    21   174 0.73 | transcript=PVPAM_130037000_t1 | gene=PVPAM_130037000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1428194-1429039(-) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10835at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10835at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10835at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:23 2026
# [ok]
