#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718796.1         -            324 8053at5820           -            274  6.4e-157  519.5   9.9   1   1  1.4e-158  2.3e-156  517.7   9.9     1   274    21   324    21   324 0.94 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 8053at5820           -            274   9.3e-14   50.0  12.8   2   3   1.7e-13   2.7e-11   41.9   1.7    14   129   449   565   443   581 0.90 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 8053at5820           -            274   9.3e-14   50.0  12.8   3   3      0.44        70    1.2   0.2    67   117   585   635   576   643 0.64 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 8053at5820           -            274   6.2e-13   47.3   9.8   1   6   3.6e-06   0.00057   17.9   0.1    11    84   160   235   153   273 0.80 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 8053at5820           -            274   6.2e-13   47.3   9.8   2   6         5   7.9e+02   -2.3   0.0   212   258   307   354   299   369 0.69 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 8053at5820           -            274   6.2e-13   47.3   9.8   3   6     2e-06   0.00032   18.7   0.1   212   269   418   475   414   480 0.92 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 8053at5820           -            274   6.2e-13   47.3   9.8   4   6   0.00019      0.03   12.3   0.0   200   272   522   598   517   600 0.79 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 8053at5820           -            274   6.2e-13   47.3   9.8   5   6       3.5   5.6e+02   -1.8   0.0   168   185   630   647   605   655 0.67 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 8053at5820           -            274   6.2e-13   47.3   9.8   6   6       1.1   1.7e+02   -0.1   0.1   213   237   726   750   681   866 0.71 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 8053at5820           -            274   9.7e-13   46.6  11.4   1   4       5.6   8.8e+02   -2.4   0.1    86   114   112   140    66   155 0.77 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 8053at5820           -            274   9.7e-13   46.6  11.4   2   4   4.1e-12   6.5e-10   37.4   1.2     9   129   276   397   270   416 0.89 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 8053at5820           -            274   9.7e-13   46.6  11.4   3   4   0.00015     0.024   12.6   0.0   218   267   422   471   415   478 0.91 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 8053at5820           -            274   9.7e-13   46.6  11.4   4   4      0.98   1.6e+02    0.1   0.1   204   244   494   541   486   572 0.59 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723540.1         -            612 8053at5820           -            274   3.1e-12   45.0  16.3   1   3       2.7   4.3e+02   -1.4   0.1    56    82   134   161    86   181 0.50 | transcript=PVPAM_140046400_t1 | gene=PVPAM_140046400 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=CASCJQ010000014:1745350-1747188(+) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723540.1         -            612 8053at5820           -            274   3.1e-12   45.0  16.3   2   3   9.7e-10   1.5e-07   29.6   3.1    39   265   305   514   296   522 0.71 | transcript=PVPAM_140046400_t1 | gene=PVPAM_140046400 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=CASCJQ010000014:1745350-1747188(+) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723540.1         -            612 8053at5820           -            274   3.1e-12   45.0  16.3   3   3   3.2e-05    0.0051   14.8   3.0    51   125   533   612   499   612 0.70 | transcript=PVPAM_140046400_t1 | gene=PVPAM_140046400 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=CASCJQ010000014:1745350-1747188(+) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 8053at5820           -            274   4.1e-12   44.6  15.5   1   4      0.06       9.4    4.1   1.4   110   190   256   338   253   343 0.64 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 8053at5820           -            274   4.1e-12   44.6  15.5   2   4    0.0002     0.032   12.2   0.1   240   270   426   456   420   461 0.85 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 8053at5820           -            274   4.1e-12   44.6  15.5   3   4   3.9e-07   6.1e-05   21.1   0.2    54   129   470   549   459   564 0.76 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 8053at5820           -            274   4.1e-12   44.6  15.5   4   4   0.00048     0.076   10.9   0.8    24    79   570   624   551   632 0.76 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 8053at5820           -            274   8.8e-12   43.5  10.9   1   4    0.0043      0.68    7.8   0.2   203   269   210   279   191   286 0.79 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 8053at5820           -            274   8.8e-12   43.5  10.9   2   4     0.015       2.4    6.0   0.0   240   272   296   328   288   330 0.85 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 8053at5820           -            274   8.8e-12   43.5  10.9   3   4   1.1e-08   1.7e-06   26.1   0.4   217   272   357   412   346   414 0.90 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 8053at5820           -            274   8.8e-12   43.5  10.9   4   4    0.0034      0.53    8.2   0.1    19    81   431   494   423   498 0.78 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 8053at5820           -            274   2.4e-10   38.8   8.5   1   4   0.00078      0.12   10.2   0.1    83   269    36   117    24   129 0.53 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 8053at5820           -            274   2.4e-10   38.8   8.5   2   4   0.00011     0.018   13.0   0.1    28    85   107   164    91   228 0.62 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 8053at5820           -            274   2.4e-10   38.8   8.5   3   4    0.0076       1.2    7.0   0.0   233   269   235   271   218   276 0.87 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 8053at5820           -            274   2.4e-10   38.8   8.5   4   4   8.1e-06    0.0013   16.7   0.5     9   119   242   355   234   369 0.70 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 8053at5820           -            274   6.2e-10   37.4   0.0   1   2     4e-09   6.3e-07   27.6   0.4    58   232   343   499   337   513 0.81 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 8053at5820           -            274   6.2e-10   37.4   0.0   2   2      0.13        21    2.9   0.0    64   126   518   584   503   587 0.67 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720031.1         -           1145 8053at5820           -            274     1e-09   36.8  26.2   1   5       1.1   1.7e+02   -0.1   0.1   229   271   222   262   204   295 0.60 | transcript=PVPAM_080025300_t1 | gene=PVPAM_080025300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=CASCJQ010000008:913165-916820(-) | protein_length=1145 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
