#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717650.1         -            107 14652at5820          -             79     7e-41  136.9   8.6   1   1   3.6e-43   1.4e-40  135.9   8.6    10    79    38   107    14   107 0.97 | transcript=PVPAM_010016000_t1 | gene=PVPAM_010016000 | organism=Plasmodium_vivax_PAM | gene_product=centrin, putative | transcript_product=centrin, putative | location=CASCJQ010000001:502123-503026(-) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720376.1         -            344 14652at5820          -             79   3.1e-06   25.8  18.1   2   4      0.06        24    3.8   0.2    19    72    99   160    98   166 0.62 | transcript=PVPAM_090014100_t1 | gene=PVPAM_090014100 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=CASCJQ010000009:503042-504076(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720376.1         -            344 14652at5820          -             79   3.1e-06   25.8  18.1   3   4     0.015       5.9    5.7   1.0    12    40   167   197   163   204 0.71 | transcript=PVPAM_090014100_t1 | gene=PVPAM_090014100 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=CASCJQ010000009:503042-504076(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720376.1         -            344 14652at5820          -             79   3.1e-06   25.8  18.1   4   4   2.5e-06     0.001   17.8   0.9    17    43   211   237   198   244 0.81 | transcript=PVPAM_090014100_t1 | gene=PVPAM_090014100 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=CASCJQ010000009:503042-504076(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720345.1         -            167 14652at5820          -             79   1.2e-05   24.0  14.1   1   3     2e-07     8e-05   21.3   5.2     9    73     6    76     1    82 0.83 | transcript=PVPAM_090011000_t1 | gene=PVPAM_090011000 | organism=Plasmodium_vivax_PAM | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=CASCJQ010000009:364310-365085(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720345.1         -            167 14652at5820          -             79   1.2e-05   24.0  14.1   2   3         1   4.2e+02   -0.2   0.0    13    34    88   106    75   121 0.59 | transcript=PVPAM_090011000_t1 | gene=PVPAM_090011000 | organism=Plasmodium_vivax_PAM | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=CASCJQ010000009:364310-365085(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720345.1         -            167 14652at5820          -             79   1.2e-05   24.0  14.1   3   3    0.0033       1.3    7.8   0.5    23    51   133   159   120   167 0.79 | transcript=PVPAM_090011000_t1 | gene=PVPAM_090011000 | organism=Plasmodium_vivax_PAM | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=CASCJQ010000009:364310-365085(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718873.1         -            291 14652at5820          -             79   0.00014   20.6   4.6   1   2     3e-05     0.012   14.4   2.7    19    57   178   216   162   226 0.82 | transcript=PVPAM_050026500_t1 | gene=PVPAM_050026500 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000005:912926-914132(-) | protein_length=291 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718873.1         -            291 14652at5820          -             79   0.00014   20.6   4.6   2   2     0.021       8.5    5.2   0.0    23    42   267   286   246   290 0.78 | transcript=PVPAM_050026500_t1 | gene=PVPAM_050026500 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000005:912926-914132(-) | protein_length=291 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719263.1         -            236 14652at5820          -             79   0.00031   19.4   9.4   1   3   4.3e-06    0.0017   17.0   0.3     9    46     2    39     1    58 0.90 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719263.1         -            236 14652at5820          -             79   0.00031   19.4   9.4   2   3       1.9   7.7e+02   -1.1   0.1    28    53   129   156   110   164 0.54 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719263.1         -            236 14652at5820          -             79   0.00031   19.4   9.4   3   3    0.0066       2.7    6.8   1.5    17    47   169   199   151   223 0.82 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722057.1         -            465 14652at5820          -             79   0.00091   17.9   7.3   1   4     0.063        26    3.7   0.0    55    72   162   179   157   185 0.89 | transcript=PVPAM_120029500_t1 | gene=PVPAM_120029500 | organism=Plasmodium_vivax_PAM | gene_product=apicoplast calcium binding protein 1, putative | transcript_product=apicoplast calcium binding protein 1, putative | location=CASCJQ010000012:937707-939104(+) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722057.1         -            465 14652at5820          -             79   0.00091   17.9   7.3   2   4      0.47   1.9e+02    0.9   0.1    24    42   201   219   183   231 0.80 | transcript=PVPAM_120029500_t1 | gene=PVPAM_120029500 | organism=Plasmodium_vivax_PAM | gene_product=apicoplast calcium binding protein 1, putative | transcript_product=apicoplast calcium binding protein 1, putative | location=CASCJQ010000012:937707-939104(+) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722057.1         -            465 14652at5820          -             79   0.00091   17.9   7.3   3   4   0.00023     0.094   11.5   0.2    20    77   309   367   292   369 0.86 | transcript=PVPAM_120029500_t1 | gene=PVPAM_120029500 | organism=Plasmodium_vivax_PAM | gene_product=apicoplast calcium binding protein 1, putative | transcript_product=apicoplast calcium binding protein 1, putative | location=CASCJQ010000012:937707-939104(+) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722057.1         -            465 14652at5820          -             79   0.00091   17.9   7.3   4   4      0.14        55    2.6   0.0    23    40   428   445   412   454 0.88 | transcript=PVPAM_120029500_t1 | gene=PVPAM_120029500 | organism=Plasmodium_vivax_PAM | gene_product=apicoplast calcium binding protein 1, putative | transcript_product=apicoplast calcium binding protein 1, putative | location=CASCJQ010000012:937707-939104(+) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722421.1         -            168 14652at5820          -             79    0.0021   16.8   6.5   1   3   3.4e-05     0.014   14.2   0.9    12    78    21    91    13    92 0.82 | transcript=PVPAM_120065700_t1 | gene=PVPAM_120065700 | organism=Plasmodium_vivax_PAM | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=CASCJQ010000012:2470167-2470928(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722421.1         -            168 14652at5820          -             79    0.0021   16.8   6.5   2   3    0.0023      0.92    8.3   1.2    28    71    71   121    61   128 0.75 | transcript=PVPAM_120065700_t1 | gene=PVPAM_120065700 | organism=Plasmodium_vivax_PAM | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=CASCJQ010000012:2470167-2470928(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722421.1         -            168 14652at5820          -             79    0.0021   16.8   6.5   3   3     0.045        18    4.2   0.5    16    73    98   159    94   165 0.68 | transcript=PVPAM_120065700_t1 | gene=PVPAM_120065700 | organism=Plasmodium_vivax_PAM | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=CASCJQ010000012:2470167-2470928(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721834.1         -            423 14652at5820          -             79    0.0078   15.0   1.1   1   4       3.1   1.3e+03   -1.7   0.2    43    43   289   289   251   326 0.50 | transcript=PVPAM_120006800_t1 | gene=PVPAM_120006800 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000012:77656-80961(+) | protein_length=423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721834.1         -            423 14652at5820          -             79    0.0078   15.0   1.1   2   4      0.17        68    2.3   0.1    17    72   295   355   281   358 0.68 | transcript=PVPAM_120006800_t1 | gene=PVPAM_120006800 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000012:77656-80961(+) | protein_length=423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721834.1         -            423 14652at5820          -             79    0.0078   15.0   1.1   3   4   1.9e-05    0.0078   15.0   1.1    19    73   334   392   326   398 0.84 | transcript=PVPAM_120006800_t1 | gene=PVPAM_120006800 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000012:77656-80961(+) | protein_length=423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721834.1         -            423 14652at5820          -             79    0.0078   15.0   1.1   4   4       3.3   1.3e+03   -1.8   0.1     6    27   397   419   391   420 0.72 | transcript=PVPAM_120006800_t1 | gene=PVPAM_120006800 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000012:77656-80961(+) | protein_length=423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721976.1         -            563 14652at5820          -             79    0.0092   14.7  18.6   1   4       4.6   1.9e+03   -2.3   0.0    41    57   167   183   164   188 0.82 | transcript=PVPAM_120021400_t1 | gene=PVPAM_120021400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=CASCJQ010000012:689468-691159(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721976.1         -            563 14652at5820          -             79    0.0092   14.7  18.6   2   4      0.14        58    2.6   0.2    43    62   325   347   320   354 0.79 | transcript=PVPAM_120021400_t1 | gene=PVPAM_120021400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=CASCJQ010000012:689468-691159(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721976.1         -            563 14652at5820          -             79    0.0092   14.7  18.6   3   4   0.00039      0.16   10.8   0.4    12    73   418   482   413   487 0.77 | transcript=PVPAM_120021400_t1 | gene=PVPAM_120021400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=CASCJQ010000012:689468-691159(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721976.1         -            563 14652at5820          -             79    0.0092   14.7  18.6   4   4    0.0069       2.8    6.8   4.1    23    73   500   556   491   561 0.74 | transcript=PVPAM_120021400_t1 | gene=PVPAM_120021400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=CASCJQ010000012:689468-691159(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720204.1         -            604 14652at5820          -             79     0.017   13.9   3.0   1   2      0.23        91    1.9   0.0    53    73   501   521   494   527 0.83 | transcript=PVPAM_080042600_t1 | gene=PVPAM_080042600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000008:1669784-1672716(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720204.1         -            604 14652at5820          -             79     0.017   13.9   3.0   2   2    0.0045       1.8    7.4   1.4    13    71   528   595   517   601 0.66 | transcript=PVPAM_080042600_t1 | gene=PVPAM_080042600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000008:1669784-1672716(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720135.1         -            130 14652at5820          -             79     0.022   13.5   0.0   1   1    0.0001     0.041   12.6   0.0    40    70    34    64    23    68 0.90 | transcript=PVPAM_080035700_t1 | gene=PVPAM_080035700 | organism=Plasmodium_vivax_PAM | gene_product=40S ribosomal protein S15A, putative | transcript_product=40S ribosomal protein S15A, putative | location=CASCJQ010000008:1400471-1401007(-) | protein_length=130 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 14652at5820          -             79         1    8.2  23.0   1   5       4.2   1.7e+03   -2.2   0.1    41    56   119   134   107   138 0.77 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 14652at5820          -             79         1    8.2  23.0   2   5      0.35   1.4e+02    1.3   0.4    10    53   294   334   286   346 0.69 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 14652at5820          -             79         1    8.2  23.0   3   5     0.026        10    4.9   3.9    12    73   371   444   362   447 0.65 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 14652at5820          -             79         1    8.2  23.0   4   5     0.034        14    4.6   4.1    17    71   420   478   403   485 0.72 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 14652at5820          -             79         1    8.2  23.0   5   5    0.0032       1.3    7.8   0.2    25    46   498   519   482   524 0.81 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14652at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14652at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14652at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:03 2026
# [ok]
