#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720891.1         -            365 8151at5820           -            356  5.8e-244  807.1   8.5   1   1    1e-246  6.5e-244  806.9   8.5     1   356     1   365     1   365 0.99 | transcript=PVPAM_100015900_t1 | gene=PVPAM_100015900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=CASCJQ010000010:476880-477977(+) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718781.1         -            747 8151at5820           -            356    0.0001   20.0   0.0   1   1   2.8e-07   0.00018   19.2   0.0    65   150   408   494   404   507 0.93 | transcript=PVPAM_050017500_t1 | gene=PVPAM_050017500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg2, putative | transcript_product=GTP-binding protein Obg2, putative | location=CASCJQ010000005:572418-574661(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722908.1         -            518 8151at5820           -            356    0.0011   16.6   0.6   1   2      0.39   2.5e+02   -1.0   0.0   167   233   239   307   217   315 0.68 | transcript=PVPAM_130041000_t1 | gene=PVPAM_130041000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=CASCJQ010000013:1597635-1599191(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722908.1         -            518 8151at5820           -            356    0.0011   16.6   0.6   2   2   5.7e-06    0.0037   14.9   0.1    60   120   318   376   310   389 0.77 | transcript=PVPAM_130041000_t1 | gene=PVPAM_130041000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=CASCJQ010000013:1597635-1599191(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720419.1         -            713 8151at5820           -            356      0.67    7.5  14.5   1   3        10   6.5e+03   -8.3   3.9    44    54    87    97    84   101 0.48 | transcript=PVPAM_090018400_t1 | gene=PVPAM_090018400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000009:665356-667497(+) | protein_length=713 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720419.1         -            713 8151at5820           -            356      0.67    7.5  14.5   2   3   0.00062       0.4    8.2   0.2    59   168   461   574   429   578 0.77 | transcript=PVPAM_090018400_t1 | gene=PVPAM_090018400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000009:665356-667497(+) | protein_length=713 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720419.1         -            713 8151at5820           -            356      0.67    7.5  14.5   3   3   8.9e-05     0.058   11.0   0.6   234   285   576   634   562   660 0.80 | transcript=PVPAM_090018400_t1 | gene=PVPAM_090018400 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000009:665356-667497(+) | protein_length=713 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8151at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8151at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8151at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:12 2026
# [ok]
