#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723426.1         -            318 12286at5820          -            258  1.5e-118  393.3 109.7   1   2   2.8e-85   6.2e-83  276.6  82.1     1   186     1   207     1   208 0.85 | transcript=PVPAM_140034800_t1 | gene=PVPAM_140034800 | organism=Plasmodium_vivax_PAM | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=CASCJQ010000014:1267733-1269184(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718911.1         -            421 12286at5820          -            258      0.27    9.0  37.2   1   2   2.3e-05     0.005   14.7  26.7   141   191   122   166   100   191 0.47 | transcript=PVPAM_050030300_t1 | gene=PVPAM_050030300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=CASCJQ010000005:1046207-1047662(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718911.1         -            421 12286at5820          -            258      0.27    9.0  37.2   2   2      0.79   1.8e+02   -0.2   2.7   164   179   399   414   379   421 0.36 | transcript=PVPAM_050030300_t1 | gene=PVPAM_050030300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=CASCJQ010000005:1046207-1047662(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723827.1         -            400 12286at5820          -            258      0.38    8.5  34.1   1   2     0.066        15    3.3   5.1   130   188    62   123    51   160 0.50 | transcript=PVPAM_140075000_t1 | gene=PVPAM_140075000 | organism=Plasmodium_vivax_PAM | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=CASCJQ010000014:2942224-2943949(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723827.1         -            400 12286at5820          -            258      0.38    8.5  34.1   2   2   0.00031     0.069   11.0  21.0   123   209   230   320   221   343 0.56 | transcript=PVPAM_140075000_t1 | gene=PVPAM_140075000 | organism=Plasmodium_vivax_PAM | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=CASCJQ010000014:2942224-2943949(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721589.1         -            709 12286at5820          -            258      0.68    7.7  16.1   1   1    0.0057       1.3    6.8  16.1   131   168   299   336   285   347 0.59 | transcript=PVPAM_110049400_t1 | gene=PVPAM_110049400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1847928-1850057(-) | protein_length=709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721538.1         -            670 12286at5820          -            258       1.8    6.3  15.1   1   1      0.02       4.5    5.0  15.1   118   215    52   153    43   160 0.62 | transcript=PVPAM_110044300_t1 | gene=PVPAM_110044300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1631001-1633213(-) | protein_length=670 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720855.1         -            667 12286at5820          -            258       2.3    6.0  22.9   1   1     0.018       4.1    5.1  22.9   109   200    23   112     3   158 0.56 | transcript=PVPAM_100012100_t1 | gene=PVPAM_100012100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=CASCJQ010000010:321156-323159(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718489.1         -             82 12286at5820          -            258       2.5    5.9  17.2   1   1     0.012       2.6    5.8  17.2   131   194     6    66     1    80 0.35 | transcript=PVPAM_040023300_t1 | gene=PVPAM_040023300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000004:778348-778923(+) | protein_length=82 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722868.1         -            281 12286at5820          -            258       4.5    5.0  46.1   1   1   0.00056      0.12   10.1  40.1    87   196   159   266   147   281 0.67 | transcript=PVPAM_130037000_t1 | gene=PVPAM_130037000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1428194-1429039(-) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722045.1         -            109 12286at5820          -            258       5.8    4.6  15.6   1   1     0.032       7.2    4.3  15.6   138   194     9    65     2    73 0.36 | transcript=PVPAM_120028300_t1 | gene=PVPAM_120028300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:903037-903366(+) | protein_length=109 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719284.1         -           1469 12286at5820          -            258       6.3    4.5  10.1   1   2    0.0034      0.76    7.5   3.3   161   195    39    73    10   116 0.59 | transcript=PVPAM_060029100_t1 | gene=PVPAM_060029100 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=CASCJQ010000006:987347-991756(-) | protein_length=1469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719284.1         -           1469 12286at5820          -            258       6.3    4.5  10.1   2   2      0.48   1.1e+02    0.5   0.6   174   195   447   468   433   566 0.61 | transcript=PVPAM_060029100_t1 | gene=PVPAM_060029100 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase II-associated protein 1, putative | transcript_product=RNA polymerase II-associated protein 1, putative | location=CASCJQ010000006:987347-991756(-) | protein_length=1469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720244.1         -            893 12286at5820          -            258       7.7    4.2  34.8   1   2    0.0019      0.42    8.4  15.9   152   203   329   379   313   398 0.43 | transcript=PVPAM_080046700_t1 | gene=PVPAM_080046700 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000008:1805324-1808005(-) | protein_length=893 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720244.1         -            893 12286at5820          -            258       7.7    4.2  34.8   2   2      0.47     1e+02    0.5  10.9   150   178   575   603   558   635 0.42 | transcript=PVPAM_080046700_t1 | gene=PVPAM_080046700 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000008:1805324-1808005(-) | protein_length=893 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718947.1         -           2190 12286at5820          -            258       7.7    4.2  27.9   1   1      0.11        24    2.6  27.9   123   188    75   141    58   157 0.47 | transcript=PVPAM_050033900_t1 | gene=PVPAM_050033900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1179327-1186153(-) | protein_length=2190 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722796.1         -           3064 12286at5820          -            258       7.8    4.2  44.9   1   2       3.7   8.3e+02   -2.4   0.1    94   114   678   698   673   705 0.85 | transcript=PVPAM_130029700_t1 | gene=PVPAM_130029700 | organism=Plasmodium_vivax_PAM | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=CASCJQ010000013:1109104-1118298(+) | protein_length=3064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722796.1         -           3064 12286at5820          -            258       7.8    4.2  44.9   2   2   2.9e-05    0.0064   14.3  31.9   135   212  1640  1712  1604  1732 0.64 | transcript=PVPAM_130029700_t1 | gene=PVPAM_130029700 | organism=Plasmodium_vivax_PAM | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=CASCJQ010000013:1109104-1118298(+) | protein_length=3064 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12286at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12286at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12286at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:27 2026
# [ok]
