#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718172.1         -            327 7874at5820           -            267  5.3e-169  559.1   5.1   1   1  5.2e-171  2.4e-168  557.0   5.1     1   267     1   296     1   296 0.96 | transcript=PVPAM_030017200_t1 | gene=PVPAM_030017200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=CASCJQ010000003:513442-514823(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 7874at5820           -            267   6.7e-05   21.1   1.8   2   2   1.9e-07     9e-05   20.6   0.7   114   226   217   333   191   384 0.78 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 7874at5820           -            267   8.9e-05   20.6   1.7   1   3    0.0075       3.5    5.6   0.0   133   194   230   292   165   299 0.87 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 7874at5820           -            267   8.9e-05   20.6   1.7   2   3      0.77   3.6e+02   -1.0   0.0   154   204   297   341   286   361 0.73 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 7874at5820           -            267   8.9e-05   20.6   1.7   3   3   0.00012     0.058   11.4   0.2    96   183   403   495   360   498 0.68 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 7874at5820           -            267   0.00014   20.0   4.8   1   4      0.31   1.4e+02    0.3   0.1    37    68    37    68    27    76 0.63 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 7874at5820           -            267   0.00014   20.0   4.8   2   4   9.2e-07   0.00042   18.4   0.6   114   188    78   151    71   169 0.87 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 7874at5820           -            267   0.00014   20.0   4.8   3   4      0.68   3.1e+02   -0.8   0.0   147   183   193   229   175   240 0.79 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 7874at5820           -            267   0.00014   20.0   4.8   4   4       1.1     5e+02   -1.5   0.0    52    66   268   282   254   297 0.81 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 7874at5820           -            267   0.00023   19.3   4.5   1   2   9.4e-06    0.0043   15.1   1.4   107   169   333   395   320   416 0.77 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 7874at5820           -            267   0.00023   19.3   4.5   2   2     0.022        10    4.1   0.1   114   180   423   489   411   527 0.80 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719498.1         -           1013 7874at5820           -            267   0.00024   19.3   3.7   1   3     0.056        26    2.8   0.1   127   192    26    91     7    94 0.81 | transcript=PVPAM_070011200_t1 | gene=PVPAM_070011200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000007:355442-358483(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719498.1         -           1013 7874at5820           -            267   0.00024   19.3   3.7   2   3    0.0063       2.9    5.9   0.1   128   194    69   133    51   168 0.79 | transcript=PVPAM_070011200_t1 | gene=PVPAM_070011200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000007:355442-358483(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719498.1         -           1013 7874at5820           -            267   0.00024   19.3   3.7   3   3   6.3e-05     0.029   12.4   0.3   128   202   204   283   188   289 0.79 | transcript=PVPAM_070011200_t1 | gene=PVPAM_070011200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000007:355442-358483(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 7874at5820           -            267   0.00036   18.7   1.5   1   3    0.0086         4    5.4   0.0   129   186    22    79     3    87 0.81 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 7874at5820           -            267   0.00036   18.7   1.5   2   3   0.00063      0.29    9.1   0.1   122   192    99   169    84   180 0.88 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 7874at5820           -            267   0.00036   18.7   1.5   3   3      0.22     1e+02    0.8   0.1   139   183   270   317   233   363 0.63 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723644.1         -            445 7874at5820           -            267   0.00084   17.5   0.1   1   2      0.27   1.2e+02    0.5   0.0   131   161     6    36     3    57 0.86 | transcript=PVPAM_140056800_t1 | gene=PVPAM_140056800 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2233103-2234440(-) | protein_length=445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723644.1         -            445 7874at5820           -            267   0.00084   17.5   0.1   2   2   1.3e-05     0.006   14.6   0.1   114   187    73   146    26   160 0.74 | transcript=PVPAM_140056800_t1 | gene=PVPAM_140056800 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2233103-2234440(-) | protein_length=445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720497.1         -            555 7874at5820           -            267    0.0045   15.1   9.9   1   4      0.12        54    1.7   0.2   100   147    72   126    57   154 0.75 | transcript=PVPAM_090026200_t1 | gene=PVPAM_090026200 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000009:963380-965161(+) | protein_length=555 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720497.1         -            555 7874at5820           -            267    0.0045   15.1   9.9   2   4    0.0041       1.9    6.5   0.2   149   188   161   200   135   217 0.85 | transcript=PVPAM_090026200_t1 | gene=PVPAM_090026200 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000009:963380-965161(+) | protein_length=555 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720497.1         -            555 7874at5820           -            267    0.0045   15.1   9.9   3   4      0.19        88    1.0   0.0   103   164   195   260   191   265 0.61 | transcript=PVPAM_090026200_t1 | gene=PVPAM_090026200 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000009:963380-965161(+) | protein_length=555 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720497.1         -            555 7874at5820           -            267    0.0045   15.1   9.9   4   4   0.00022       0.1   10.6   0.5   149   222   318   393   294   409 0.80 | transcript=PVPAM_090026200_t1 | gene=PVPAM_090026200 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000009:963380-965161(+) | protein_length=555 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718230.1         -            649 7874at5820           -            267     0.015   13.3   0.1   1   1   5.6e-05     0.026   12.6   0.1   118   205   314   402   298   414 0.80 | transcript=PVPAM_030023000_t1 | gene=PVPAM_030023000 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=CASCJQ010000003:739166-741115(-) | protein_length=649 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 7874at5820           -            267     0.021   12.9   3.5   1   3       2.7   1.3e+03   -2.8   0.0   195   230   632   668   619   673 0.74 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 7874at5820           -            267     0.021   12.9   3.5   2   3   0.00067      0.31    9.1   0.1   120   181   942  1003   925  1014 0.89 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 7874at5820           -            267     0.021   12.9   3.5   3   3     0.086        39    2.1   0.1    97   185  1087  1185  1076  1193 0.63 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7874at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7874at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7874at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:14 2026
# [ok]
