#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719798.1         -            341 7756at5820           -            296  6.8e-196  647.9   8.5   1   1  6.5e-198  8.6e-196  647.6   8.5     1   296    27   339    27   339 0.97 | transcript=PVPAM_070041200_t1 | gene=PVPAM_070041200 | organism=Plasmodium_vivax_PAM | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=CASCJQ010000007:1475268-1476949(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720502.1         -            561 7756at5820           -            296   7.4e-27   93.0  10.5   2   2   2.8e-09   3.6e-07   28.3   0.4   160   280   346   475   335   489 0.82 | transcript=PVPAM_090026700_t1 | gene=PVPAM_090026700 | organism=Plasmodium_vivax_PAM | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=CASCJQ010000009:990615-992300(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 7756at5820           -            296     1e-26   92.5   8.8   1   1   2.1e-28   2.7e-26   91.1   8.8     7   234    56   318    51   342 0.77 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721976.1         -            563 7756at5820           -            296   3.3e-26   90.9   8.0   1   1   4.6e-28     6e-26   90.0   8.0    12   254   126   381   118   411 0.84 | transcript=PVPAM_120021400_t1 | gene=PVPAM_120021400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=CASCJQ010000012:689468-691159(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722902.1         -            284 7756at5820           -            296     4e-25   87.3   7.9   1   1   4.2e-27   5.6e-25   86.8   7.9     3   233    18   269    16   282 0.74 | transcript=PVPAM_130040400_t1 | gene=PVPAM_130040400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=CASCJQ010000013:1566035-1568262(-) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720875.1         -            288 7756at5820           -            296   4.2e-23   80.6   0.7   1   1   4.5e-25     6e-23   80.2   0.7     7   177    12   189     7   203 0.87 | transcript=PVPAM_100014300_t1 | gene=PVPAM_100014300 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=CASCJQ010000010:406454-408600(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720212.1         -           1622 7756at5820           -            296   1.5e-22   78.8   1.3   1   1     2e-24   2.6e-22   78.1   1.3    12   222  1369  1607  1357  1611 0.81 | transcript=PVPAM_080043400_t1 | gene=PVPAM_080043400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK2, putative | transcript_product=serine/threonine protein kinase ARK2, putative | location=CASCJQ010000008:1697725-1702833(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718195.1         -            310 7756at5820           -            296   4.1e-22   77.4   0.8   1   1   4.9e-24   6.5e-22   76.8   0.8     6   172     3   176     1   183 0.85 | transcript=PVPAM_030019500_t1 | gene=PVPAM_030019500 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=CASCJQ010000003:634173-636068(+) | protein_length=310 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723318.1         -            368 7756at5820           -            296   7.6e-21   73.2   5.1   1   1     8e-23   1.1e-20   72.8   5.1     5   176   106   282   102   363 0.85 | transcript=PVPAM_140023700_t1 | gene=PVPAM_140023700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase PK9, putative | transcript_product=serine/threonine protein kinase PK9, putative | location=CASCJQ010000014:822225-823331(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720514.1         -           1958 7756at5820           -            296   7.7e-21   73.2   2.2   1   1     1e-22   1.4e-20   72.4   2.2     4   265  1501  1776  1498  1794 0.77 | transcript=PVPAM_090027900_t1 | gene=PVPAM_090027900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=CASCJQ010000009:1066933-1072968(+) | protein_length=1958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720511.1         -           1622 7756at5820           -            296   9.9e-19   66.3   7.8   1   1   7.5e-21   9.9e-19   66.3   7.8     4   183  1180  1362  1177  1485 0.79 | transcript=PVPAM_090027600_t1 | gene=PVPAM_090027600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=CASCJQ010000009:1029730-1035568(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717807.1         -            721 7756at5820           -            296   1.2e-18   66.0   0.6   1   1   1.4e-20   1.9e-18   65.4   0.6     5   174   456   629   453   676 0.86 | transcript=PVPAM_010032100_t1 | gene=PVPAM_010032100 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000001:1221835-1224854(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722386.1         -            377 7756at5820           -            296   1.7e-16   59.0   7.7   1   1   1.8e-18   2.4e-16   58.5   7.7     6   233    41   299    37   361 0.77 | transcript=PVPAM_120062200_t1 | gene=PVPAM_120062200 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000012:2325953-2328570(-) | protein_length=377 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718584.1         -           2117 7756at5820           -            296   5.2e-16   57.4   0.7   1   1   6.9e-18   9.1e-16   56.6   0.7    33   173  1720  1865  1711  1880 0.87 | transcript=PVPAM_040032900_t1 | gene=PVPAM_040032900 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000004:1143558-1149911(+) | protein_length=2117 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721579.1         -            354 7756at5820           -            296   8.3e-16   56.7   0.0   1   1   8.6e-18   1.1e-15   56.3   0.0     4   170    29   202    26   214 0.87 | transcript=PVPAM_110048400_t1 | gene=PVPAM_110048400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK1, putative | transcript_product=serine/threonine protein kinase ARK1, putative | location=CASCJQ010000011:1807072-1808609(-) | protein_length=354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722473.1         -           2429 7756at5820           -            296   5.5e-12   44.2   1.3   1   1   9.5e-13   1.3e-10   39.7   1.3     6   252   118   405   114   425 0.71 | transcript=PVPAM_120071000_t1 | gene=PVPAM_120071000 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2710608-2718677(-) | protein_length=2429 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720179.1         -            494 7756at5820           -            296   1.2e-11   43.0   0.6   1   1   1.4e-13   1.8e-11   42.5   0.6    11   177   123   298   116   349 0.75 | transcript=PVPAM_080040100_t1 | gene=PVPAM_080040100 | organism=Plasmodium_vivax_PAM | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=CASCJQ010000008:1564136-1566591(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721395.1         -           2253 7756at5820           -            296     4e-11   41.4   1.3   1   2       8.3   1.1e+03   -2.8   1.4   165   194  1491  1520  1434  1569 0.48 | transcript=PVPAM_110029800_t1 | gene=PVPAM_110029800 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000011:1072815-1079576(+) | protein_length=2253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721395.1         -           2253 7756at5820           -            296     4e-11   41.4   1.3   2   2     3e-13     4e-11   41.4   1.3    30   172  2021  2162  2015  2187 0.90 | transcript=PVPAM_110029800_t1 | gene=PVPAM_110029800 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000011:1072815-1079576(+) | protein_length=2253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720338.1         -           1278 7756at5820           -            296   4.7e-11   41.1   4.2   1   2   3.6e-13   4.7e-11   41.1   4.2    39   137   296   400   277   416 0.84 | transcript=PVPAM_090010400_t1 | gene=PVPAM_090010400 | organism=Plasmodium_vivax_PAM | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=CASCJQ010000009:339975-343811(+) | protein_length=1278 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720338.1         -           1278 7756at5820           -            296   4.7e-11   41.1   4.2   2   2       1.9   2.5e+02   -0.7   0.1   159   173   531   545   525   644 0.70 | transcript=PVPAM_090010400_t1 | gene=PVPAM_090010400 | organism=Plasmodium_vivax_PAM | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=CASCJQ010000009:339975-343811(+) | protein_length=1278 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719702.1         -           3230 7756at5820           -            296   3.3e-10   38.3   0.0   1   1   4.1e-12   5.3e-10   37.6   0.0    13   172  2939  3113  2932  3119 0.76 | transcript=PVPAM_070031600_t1 | gene=PVPAM_070031600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1146503-1156195(-) | protein_length=3230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721288.1         -            288 7756at5820           -            296   6.1e-10   37.5   0.0   1   1   7.2e-12   9.4e-10   36.8   0.0    10   174     7   174     1   200 0.77 | transcript=PVPAM_110019000_t1 | gene=PVPAM_110019000 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=CASCJQ010000011:587643-589375(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721982.1         -            305 7756at5820           -            296   7.4e-10   37.2   3.0   1   1   1.6e-11   2.1e-09   35.7   3.0     5   181     7   196     4   206 0.69 | transcript=PVPAM_120022100_t1 | gene=PVPAM_120022100 | organism=Plasmodium_vivax_PAM | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=CASCJQ010000012:719734-721835(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722833.1         -            710 7756at5820           -            296   1.1e-09   36.6   0.5   1   1   1.5e-11     2e-09   35.7   0.5     7   202    20   237    16   269 0.71 | transcript=PVPAM_130033500_t1 | gene=PVPAM_130033500 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=CASCJQ010000013:1298190-1300322(+) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723327.1         -            341 7756at5820           -            296   2.3e-09   35.6   0.2   1   1   2.4e-11   3.2e-09   35.1   0.2     7   173    30   210    24   226 0.77 | transcript=PVPAM_140024600_t1 | gene=PVPAM_140024600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000014:854740-857658(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722432.1         -            889 7756at5820           -            296   4.5e-09   34.6   9.9   1   2   4.7e-09   6.2e-07   27.6   2.6     7   143   560   700   554   707 0.72 | transcript=PVPAM_120066900_t1 | gene=PVPAM_120066900 | organism=Plasmodium_vivax_PAM | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=CASCJQ010000012:2528585-2531254(+) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722432.1         -            889 7756at5820           -            296   4.5e-09   34.6   9.9   2   2   0.00035     0.046   11.6   0.0   132   178   714   760   700   792 0.86 | transcript=PVPAM_120066900_t1 | gene=PVPAM_120066900 | organism=Plasmodium_vivax_PAM | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=CASCJQ010000012:2528585-2531254(+) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720423.1         -            580 7756at5820           -            296   7.3e-09   33.9   1.4   1   1   1.1e-10   1.4e-08   33.0   1.4     6   155   176   330   170   336 0.76 | transcript=PVPAM_090018800_t1 | gene=PVPAM_090018800 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=CASCJQ010000009:677012-678754(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720044.1         -            325 7756at5820           -            296   2.9e-08   31.9   4.8   1   1   3.3e-10   4.4e-08   31.4   4.8    12   151    15   159     7   182 0.86 | transcript=PVPAM_080026600_t1 | gene=PVPAM_080026600 | organism=Plasmodium_vivax_PAM | gene_product=MO15-related protein kinase, putative | transcript_product=MO15-related protein kinase, putative | location=CASCJQ010000008:990655-991632(+) | protein_length=325 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718902.1         -           1623 7756at5820           -            296   3.1e-08   31.9   0.6   1   2    0.0029      0.38    8.6   0.2     1    71   646   717   646   721 0.84 | transcript=PVPAM_050029400_t1 | gene=PVPAM_050029400 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=CASCJQ010000005:1015568-1020565(+) | protein_length=1623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718902.1         -           1623 7756at5820           -            296   3.1e-08   31.9   0.6   2   2   3.9e-07   5.2e-05   21.3   0.0   111   156   914   959   895  1024 0.78 | transcript=PVPAM_050029400_t1 | gene=PVPAM_050029400 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=CASCJQ010000005:1015568-1020565(+) | protein_length=1623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718956.1         -            613 7756at5820           -            296   3.4e-08   31.7   0.8   1   1   3.9e-10   5.1e-08   31.1   0.8    10   186   271   459   264   490 0.69 | transcript=PVPAM_050034800_t1 | gene=PVPAM_050034800 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=CASCJQ010000005:1231892-1233733(-) | protein_length=613 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718495.1         -           1029 7756at5820           -            296   3.4e-08   31.7   0.4   1   1   5.1e-10   6.7e-08   30.8   0.4    40   177   801   941   755   950 0.81 | transcript=PVPAM_040023900_t1 | gene=PVPAM_040023900 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000004:797636-800725(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720374.1         -            335 7756at5820           -            296   1.6e-07   29.5   5.6   1   2   2.5e-09   3.2e-07   28.5   5.0     6   177    42   212    38   298 0.70 | transcript=PVPAM_090013900_t1 | gene=PVPAM_090013900 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=CASCJQ010000009:497458-498465(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720374.1         -            335 7756at5820           -            296   1.6e-07   29.5   5.6   2   2       6.2   8.1e+02   -2.4   0.0   218   251   303   331   295   332 0.69 | transcript=PVPAM_090013900_t1 | gene=PVPAM_090013900 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=CASCJQ010000009:497458-498465(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720651.1         -            323 7756at5820           -            296   1.8e-07   29.3   0.1   1   1   2.4e-09   3.2e-07   28.5   0.1    10   159    12   163     5   190 0.70 | transcript=PVPAM_090041500_t1 | gene=PVPAM_090041500 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=CASCJQ010000009:1615302-1617735(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723810.1         -            740 7756at5820           -            296   3.8e-07   28.3   1.2   1   1     5e-09   6.6e-07   27.5   1.2    14   152    31   176    22   183 0.69 | transcript=PVPAM_140073300_t1 | gene=PVPAM_140073300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000014:2888926-2891148(+) | protein_length=740 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720736.1         -           2040 7756at5820           -            296   4.4e-07   28.1   0.0   1   1   6.7e-09   8.8e-07   27.1   0.0     5   178    75   253    72   360 0.72 | transcript=PVPAM_090050100_t1 | gene=PVPAM_090050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000009:2011314-2017436(-) | protein_length=2040 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720189.1         -           3007 7756at5820           -            296   7.2e-07   27.4   0.2   1   1   8.9e-09   1.2e-06   26.7   0.2    30   137   194   305   160   323 0.73 | transcript=PVPAM_080041100_t1 | gene=PVPAM_080041100 | organism=Plasmodium_vivax_PAM | gene_product=kinase-related protein PKRP, putative | transcript_product=kinase-related protein PKRP, putative | location=CASCJQ010000008:1593615-1602811(-) | protein_length=3007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720496.1         -           1548 7756at5820           -            296   1.8e-05   22.8   2.0   1   2     0.084        11    3.8   1.3    41    96   226   281   208   289 0.80 | transcript=PVPAM_090026100_t1 | gene=PVPAM_090026100 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000009:954667-959462(-) | protein_length=1548 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720496.1         -           1548 7756at5820           -            296   1.8e-05   22.8   2.0   2   2   7.6e-06     0.001   17.0   0.0   109   170   368   434   303   449 0.83 | transcript=PVPAM_090026100_t1 | gene=PVPAM_090026100 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000009:954667-959462(-) | protein_length=1548 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717666.1         -           1251 7756at5820           -            296   3.6e-05   21.8   6.7   1   2   2.8e-07   3.6e-05   21.8   6.7     7   149   733   876   729   883 0.85 | transcript=PVPAM_010017600_t1 | gene=PVPAM_010017600 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000001:601815-605570(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717666.1         -           1251 7756at5820           -            296   3.6e-05   21.8   6.7   2   2       4.1   5.5e+02   -1.8   0.5    62    98  1103  1139  1083  1208 0.65 | transcript=PVPAM_010017600_t1 | gene=PVPAM_010017600 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000001:601815-605570(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723621.1         -            996 7756at5820           -            296   3.9e-05   21.7   0.6   1   1   2.4e-06   0.00032   18.7   0.6     4   174    12   215     9   231 0.73 | transcript=PVPAM_140054500_t1 | gene=PVPAM_140054500 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 1, putative | transcript_product=NIMA related kinase 1, putative | location=CASCJQ010000014:2126362-2129525(+) | protein_length=996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718464.1         -           1635 7756at5820           -            296    0.0002   19.3   3.6   1   2   3.4e-06   0.00045   18.2   3.2    25   138  1130  1250  1112  1262 0.79 | transcript=PVPAM_040021000_t1 | gene=PVPAM_040021000 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=CASCJQ010000004:680171-685078(-) | protein_length=1635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
