#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719292.1         -            482 5771at5820           -            379    9e-235  776.7  18.7   1   2  6.1e-130  2.8e-127  422.9   7.2     1   201     2   213     2   219 0.96 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723475.1         -           1087 5771at5820           -            379   9.7e-08   29.4   3.2   1   2   2.1e-10   9.7e-08   29.4   3.2   253   335   498   581   483   624 0.89 | transcript=PVPAM_140039700_t1 | gene=PVPAM_140039700 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 2, putative | transcript_product=bromodomain protein 2, putative | location=CASCJQ010000014:1506643-1509906(-) | protein_length=1087 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723475.1         -           1087 5771at5820           -            379   9.7e-08   29.4   3.2   2   2      0.63   2.9e+02   -1.8   0.2   200   221   998  1019   984  1028 0.81 | transcript=PVPAM_140039700_t1 | gene=PVPAM_140039700 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 2, putative | transcript_product=bromodomain protein 2, putative | location=CASCJQ010000014:1506643-1509906(-) | protein_length=1087 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718791.1         -           1523 5771at5820           -            379   1.2e-07   29.1   1.1   1   2       1.6   7.2e+02   -3.0   0.2   339   368  1359  1388  1339  1390 0.80 | transcript=PVPAM_050018500_t1 | gene=PVPAM_050018500 | organism=Plasmodium_vivax_PAM | gene_product=histone acetyltransferase GCN5, putative | transcript_product=histone acetyltransferase GCN5, putative | location=CASCJQ010000005:602746-608033(-) | protein_length=1523 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718791.1         -           1523 5771at5820           -            379   1.2e-07   29.1   1.1   2   2   3.6e-10   1.6e-07   28.7   0.0   282   334  1446  1499  1404  1511 0.83 | transcript=PVPAM_050018500_t1 | gene=PVPAM_050018500 | organism=Plasmodium_vivax_PAM | gene_product=histone acetyltransferase GCN5, putative | transcript_product=histone acetyltransferase GCN5, putative | location=CASCJQ010000005:602746-608033(-) | protein_length=1523 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723305.1         -            400 5771at5820           -            379   1.7e-07   28.7   5.6   1   2   3.6e-10   1.7e-07   28.7   5.6    12   190     7   182     3   195 0.78 | transcript=PVPAM_140022400_t1 | gene=PVPAM_140022400 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:780796-781998(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723305.1         -            400 5771at5820           -            379   1.7e-07   28.7   5.6   2   2      0.49   2.3e+02   -1.4   4.1   141   278   201   339   188   392 0.67 | transcript=PVPAM_140022400_t1 | gene=PVPAM_140022400 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:780796-781998(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720473.1         -            366 5771at5820           -            379   1.7e-06   25.4   0.1   1   1     6e-09   2.8e-06   24.6   0.1    84   141   289   346   268   357 0.89 | transcript=PVPAM_090023800_t1 | gene=PVPAM_090023800 | organism=Plasmodium_vivax_PAM | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=CASCJQ010000009:865505-866605(-) | protein_length=366 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717889.1         -           1558 5771at5820           -            379   4.3e-06   24.0   0.1   1   1   1.6e-08   7.5e-06   23.2   0.1   255   329   827   907   808   917 0.72 | transcript=PVPAM_020012100_t1 | gene=PVPAM_020012100 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 3, putative | transcript_product=bromodomain protein 3, putative | location=CASCJQ010000002:338947-343782(-) | protein_length=1558 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721055.1         -           1569 5771at5820           -            379   0.00011   19.4   0.1   1   2       1.7   7.6e+02   -3.1   0.0    82   109   874   901   865   914 0.52 | transcript=PVPAM_100032300_t1 | gene=PVPAM_100032300 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000010:1185921-1190630(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721055.1         -           1569 5771at5820           -            379   0.00011   19.4   0.1   2   2   6.5e-07    0.0003   17.9   0.0    72   184  1200  1313  1171  1334 0.82 | transcript=PVPAM_100032300_t1 | gene=PVPAM_100032300 | organism=Plasmodium_vivax_PAM | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=CASCJQ010000010:1185921-1190630(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718773.1         -            185 5771at5820           -            379   0.00013   19.1   3.5   1   2   2.9e-07   0.00013   19.1   3.5    75   178    40   145    21   153 0.87 | transcript=PVPAM_050016700_t1 | gene=PVPAM_050016700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000005:539579-541022(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718773.1         -            185 5771at5820           -            379   0.00013   19.1   3.5   2   2      0.35   1.6e+02   -0.9   0.0   141   162   152   173   147   180 0.84 | transcript=PVPAM_050016700_t1 | gene=PVPAM_050016700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000005:539579-541022(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722131.1         -            641 5771at5820           -            379     0.002   15.2   0.1   1   1   2.3e-05      0.01   12.9   0.0    96   171    62   137    48   169 0.65 | transcript=PVPAM_120036900_t1 | gene=PVPAM_120036900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=CASCJQ010000012:1252674-1255416(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5771at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5771at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5771at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:15 2026
# [ok]
