#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719537.1         -           1077 4823at5820           -            557  1.6e-294  976.2  56.8   1   6   7.3e-71   1.6e-67  226.9  17.4     1   109     1   109     1   127 0.95 | transcript=PVPAM_070015100_t1 | gene=PVPAM_070015100 | organism=Plasmodium_vivax_PAM | gene_product=FHA domain protein, putative | transcript_product=FHA domain protein, putative | location=CASCJQ010000007:518506-521739(+) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723076.1         -            695 4823at5820           -            557   8.3e-05   19.9   4.9   1   1   8.8e-08   0.00019   18.7   4.9   225   301   602   681   586   688 0.73 | transcript=PVPAM_130058200_t1 | gene=PVPAM_130058200 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000013:2363547-2365634(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4823at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4823at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4823at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:10 2026
# [ok]
