#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718430.1         -            330 8180at5820           -            296  2.9e-184  609.6   6.5   1   1  7.4e-187    4e-184  609.1   6.5     1   296     1   328     1   328 0.97 | transcript=PVPAM_040017600_t1 | gene=PVPAM_040017600 | organism=Plasmodium_vivax_PAM | gene_product=replication factor C subunit 2, putative | transcript_product=replication factor C subunit 2, putative | location=CASCJQ010000004:549762-550754(-) | protein_length=330 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718871.1         -           1051 8180at5820           -            296    0.0078   13.9   0.0   1   2    0.0062       3.3    5.3   0.0    23    59   337   372   318   386 0.75 | transcript=PVPAM_050026300_t2 | gene=PVPAM_050026300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=CASCJQ010000005:905919-909074(+) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718871.1         -           1051 8180at5820           -            296    0.0078   13.9   0.0   2   2    0.0061       3.3    5.3   0.0    21    61   777   817   760   841 0.85 | transcript=PVPAM_050026300_t2 | gene=PVPAM_050026300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=CASCJQ010000005:905919-909074(+) | protein_length=1051 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718869.1         -           1062 8180at5820           -            296     0.008   13.9   0.0   1   2    0.0063       3.4    5.3   0.0    23    59   348   383   329   397 0.75 | transcript=PVPAM_050026300_t1 | gene=PVPAM_050026300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=CASCJQ010000005:905802-909074(+) | protein_length=1062 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718869.1         -           1062 8180at5820           -            296     0.008   13.9   0.0   2   2    0.0062       3.3    5.3   0.0    21    61   788   828   771   852 0.85 | transcript=PVPAM_050026300_t1 | gene=PVPAM_050026300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=CASCJQ010000005:905802-909074(+) | protein_length=1062 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718870.1         -            890 8180at5820           -            296    0.0084   13.8   0.0   1   2    0.0051       2.7    5.6   0.0    23    59   337   372   318   386 0.74 | transcript=PVPAM_050026300_t3 | gene=PVPAM_050026300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=CASCJQ010000005:905919-908686(+) | protein_length=890 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718870.1         -            890 8180at5820           -            296    0.0084   13.8   0.0   2   2    0.0055       2.9    5.5   0.0    21    61   777   817   760   829 0.84 | transcript=PVPAM_050026300_t3 | gene=PVPAM_050026300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=CASCJQ010000005:905919-908686(+) | protein_length=890 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721601.1         -            483 8180at5820           -            296     0.015   13.0   0.0   1   1   5.4e-05     0.029   12.1   0.0    37    80   257   299   230   304 0.78 | transcript=PVPAM_110050500_t1 | gene=PVPAM_110050500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=CASCJQ010000011:1906067-1907518(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 8180at5820           -            296     0.034   11.8   0.0   1   2    0.0022       1.2    6.8   0.0    37    57   513   533   507   579 0.92 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 8180at5820           -            296     0.034   11.8   0.0   2   2     0.049        26    2.4   0.0    37    58   833   854   822   866 0.84 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8180at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8180at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8180at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:19 2026
# [ok]
