#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722022.1         -           1673 1108at5820           -           1032         0 1498.3  55.0   1   7   4.4e-99   3.6e-96  321.8  12.9    17   227   184   431   177   443 0.85 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723711.1         -            631 1108at5820           -           1032   6.5e-29   99.1  15.7   2   2   1.1e-09   8.7e-07   25.8   2.0   766   858   338   429   306   504 0.84 | transcript=PVPAM_140063500_t1 | gene=PVPAM_140063500 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=CASCJQ010000014:2513043-2515063(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718865.1         -            406 1108at5820           -           1032   2.5e-16   57.4   0.8   1   2     5e-18     4e-15   53.4   0.7   390   529     5   137     2   146 0.80 | transcript=PVPAM_050025900_t1 | gene=PVPAM_050025900 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=CASCJQ010000005:896633-897853(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718865.1         -            406 1108at5820           -           1032   2.5e-16   57.4   0.8   2   2     0.021        17    1.7   0.0   777   844   215   284   206   318 0.72 | transcript=PVPAM_050025900_t1 | gene=PVPAM_050025900 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=CASCJQ010000005:896633-897853(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720729.1         -            359 1108at5820           -           1032   2.4e-15   54.2  25.2   1   3   2.1e-17   1.7e-14   51.4   7.1    24   121     7   102     2   110 0.87 | transcript=PVPAM_090049400_t1 | gene=PVPAM_090049400 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 1, putative | transcript_product=SUMO-activating enzyme subunit 1, putative | location=CASCJQ010000009:1987492-1988571(+) | protein_length=359 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720729.1         -            359 1108at5820           -           1032   2.4e-15   54.2  25.2   2   3      0.01       8.3    2.7   1.3   122   176   142   198   117   206 0.78 | transcript=PVPAM_090049400_t1 | gene=PVPAM_090049400 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 1, putative | transcript_product=SUMO-activating enzyme subunit 1, putative | location=CASCJQ010000009:1987492-1988571(+) | protein_length=359 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720729.1         -            359 1108at5820           -           1032   2.4e-15   54.2  25.2   3   3   2.4e-05     0.019   11.5   1.8   247   355   235   349   230   359 0.82 | transcript=PVPAM_090049400_t1 | gene=PVPAM_090049400 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 1, putative | transcript_product=SUMO-activating enzyme subunit 1, putative | location=CASCJQ010000009:1987492-1988571(+) | protein_length=359 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721855.1         -            585 1108at5820           -           1032     2e-11   41.2   3.4   1   1   3.5e-14   2.8e-11   40.7   3.4    25   177     2   167     1   192 0.86 | transcript=PVPAM_120008900_t1 | gene=PVPAM_120008900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000012:166379-168136(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721203.1         -            534 1108at5820           -           1032   2.7e-09   34.2   4.6   1   2   3.3e-12   2.7e-09   34.2   4.6   364   528    80   236    58   275 0.82 | transcript=PVPAM_110010500_t1 | gene=PVPAM_110010500 | organism=Plasmodium_vivax_PAM | gene_product=adenylyltransferase and sulfurtransferase UBA4, putative | transcript_product=adenylyltransferase and sulfurtransferase UBA4, putative | location=CASCJQ010000011:214629-216233(+) | protein_length=534 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721203.1         -            534 1108at5820           -           1032   2.7e-09   34.2   4.6   2   2       1.1   8.9e+02   -4.0   0.4   122   150   408   436   390   455 0.45 | transcript=PVPAM_110010500_t1 | gene=PVPAM_110010500 | organism=Plasmodium_vivax_PAM | gene_product=adenylyltransferase and sulfurtransferase UBA4, putative | transcript_product=adenylyltransferase and sulfurtransferase UBA4, putative | location=CASCJQ010000011:214629-216233(+) | protein_length=534 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720545.1         -           1222 1108at5820           -           1032   8.4e-05   19.3   0.0   1   1   1.6e-07   0.00013   18.6   0.0   386   448   757   815   736   839 0.87 | transcript=PVPAM_090031100_t1 | gene=PVPAM_090031100 | organism=Plasmodium_vivax_PAM | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=CASCJQ010000009:1186608-1190433(-) | protein_length=1222 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1108at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1108at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1108at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:21 2026
# [ok]
