#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718885.1         -            392 7340at5820           -            220  3.5e-154  509.2   3.3   1   1  1.7e-156  4.6e-154  508.8   3.3     1   220   173   392   173   392 1.00 | transcript=PVPAM_050027700_t1 | gene=PVPAM_050027700 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 6B, putative | transcript_product=26S protease regulatory subunit 6B, putative | location=CASCJQ010000005:947308-948671(-) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 7340at5820           -            220   1.4e-59  199.9   4.2   2   4   2.1e-17   5.7e-15   54.0   1.0    51   194   489   627   481   637 0.89 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 7340at5820           -            220   1.4e-59  199.9   4.2   3   4     3e-42   8.1e-40  135.3   0.1     2   150   804   949   803   960 0.93 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 7340at5820           -            220   1.4e-59  199.9   4.2   4   4      0.79   2.1e+02   -0.2   0.0   167   190  1095  1118  1086  1126 0.85 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723739.1         -            896 7340at5820           -            220   1.1e-47  161.0   0.1   1   1   6.4e-50   1.7e-47  160.3   0.1     2   202   196   400   195   419 0.89 | transcript=PVPAM_140066300_t1 | gene=PVPAM_140066300 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=CASCJQ010000014:2628494-2631184(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720479.1         -            950 7340at5820           -            220   2.6e-43  146.7   0.1   1   1   1.6e-45   4.3e-43  146.0   0.1     2   202   437   645   436   651 0.87 | transcript=PVPAM_090024400_t1 | gene=PVPAM_090024400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000009:885031-887883(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723415.1         -           1070 7340at5820           -            220   3.8e-43  146.1   0.0   1   2    0.0058       1.6    6.8   0.0     4    77   246   321   243   336 0.83 | transcript=PVPAM_140033700_t1 | gene=PVPAM_140033700 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000014:1228250-1231462(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723415.1         -           1070 7340at5820           -            220   3.8e-43  146.1   0.0   2   2   9.3e-43   2.5e-40  136.9   0.0     1   193   608   798   608   809 0.96 | transcript=PVPAM_140033700_t1 | gene=PVPAM_140033700 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000014:1228250-1231462(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722234.1         -            702 7340at5820           -            220   3.9e-42  142.8   2.0   1   3       8.8   2.4e+03   -3.6   0.0    22    43   243   264   236   271 0.81 | transcript=PVPAM_120047100_t1 | gene=PVPAM_120047100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000012:1695818-1697926(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722234.1         -            702 7340at5820           -            220   3.9e-42  142.8   2.0   2   3   2.7e-44   7.3e-42  141.9   0.2     2   206   285   486   284   495 0.95 | transcript=PVPAM_120047100_t1 | gene=PVPAM_120047100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000012:1695818-1697926(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722234.1         -            702 7340at5820           -            220   3.9e-42  142.8   2.0   3   3       2.4   6.3e+02   -1.7   0.0    81    97   627   643   614   675 0.85 | transcript=PVPAM_120047100_t1 | gene=PVPAM_120047100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000012:1695818-1697926(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720273.1         -            785 7340at5820           -            220   4.3e-29  100.2   1.6   1   3       1.5     4e+02   -1.0   0.1    78   133    64   118    42   139 0.73 | transcript=PVPAM_080049600_t1 | gene=PVPAM_080049600 | organism=Plasmodium_vivax_PAM | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=CASCJQ010000008:1926957-1929314(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720273.1         -            785 7340at5820           -            220   4.3e-29  100.2   1.6   2   3   8.5e-29   2.3e-26   91.3   0.1     2   185   291   487   290   516 0.84 | transcript=PVPAM_080049600_t1 | gene=PVPAM_080049600 | organism=Plasmodium_vivax_PAM | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=CASCJQ010000008:1926957-1929314(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720273.1         -            785 7340at5820           -            220   4.3e-29  100.2   1.6   3   3    0.0069       1.9    6.6   0.0     2    69   572   640   571   654 0.82 | transcript=PVPAM_080049600_t1 | gene=PVPAM_080049600 | organism=Plasmodium_vivax_PAM | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=CASCJQ010000008:1926957-1929314(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722309.1         -            442 7340at5820           -            220   6.3e-28   96.4   0.0   1   2   5.6e-30   1.5e-27   95.1   0.0     2   150   153   297   152   300 0.91 | transcript=PVPAM_120054600_t1 | gene=PVPAM_120054600 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=CASCJQ010000012:1997081-1998409(+) | protein_length=442 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722309.1         -            442 7340at5820           -            220   6.3e-28   96.4   0.0   2   2       6.3   1.7e+03   -3.1   0.0   160   189   328   357   324   360 0.80 | transcript=PVPAM_120054600_t1 | gene=PVPAM_120054600 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=CASCJQ010000012:1997081-1998409(+) | protein_length=442 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718122.1         -            700 7340at5820           -            220   1.7e-27   95.0   0.1   1   1   1.2e-29   3.1e-27   94.1   0.1     2   156   459   610   458   625 0.89 | transcript=PVPAM_030011800_t1 | gene=PVPAM_030011800 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000003:322999-325101(-) | protein_length=700 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717786.1         -           1171 7340at5820           -            220   6.9e-23   79.9   0.0   1   2   5.1e-18   1.4e-15   56.1   0.0     3   110   598   710   596   716 0.86 | transcript=PVPAM_010030000_t1 | gene=PVPAM_010030000 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1117779-1121294(-) | protein_length=1171 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717786.1         -           1171 7340at5820           -            220   6.9e-23   79.9   0.0   2   2   2.3e-07   6.2e-05   21.2   0.0   108   153   792   837   772   844 0.88 | transcript=PVPAM_010030000_t1 | gene=PVPAM_010030000 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1117779-1121294(-) | protein_length=1171 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720679.1         -            627 7340at5820           -            220   2.7e-09   35.5   0.0   1   1   1.7e-11   4.6e-09   34.7   0.0     3   151   348   512   346   529 0.73 | transcript=PVPAM_090044400_t1 | gene=PVPAM_090044400 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000009:1776366-1779201(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717691.1         -            665 7340at5820           -            220   4.4e-09   34.8   0.0   1   1   2.8e-11   7.4e-09   34.0   0.0     3   163   346   511   344   520 0.71 | transcript=PVPAM_010020500_t1 | gene=PVPAM_010020500 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:739478-741475(+) | protein_length=665 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717764.1         -           1000 7340at5820           -            220   2.3e-08   32.4   0.0   1   1   1.4e-10   3.8e-08   31.7   0.0     2   159   760   932   759   940 0.77 | transcript=PVPAM_010027800_t1 | gene=PVPAM_010027800 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000001:1005291-1008466(+) | protein_length=1000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721601.1         -            483 7340at5820           -            220   3.7e-08   31.7   0.0   1   2     0.027       7.2    4.7   0.0     4    24   258   278   255   294 0.82 | transcript=PVPAM_110050500_t1 | gene=PVPAM_110050500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=CASCJQ010000011:1906067-1907518(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721601.1         -            483 7340at5820           -            220   3.7e-08   31.7   0.0   2   2   2.2e-08     6e-06   24.5   0.0    93   146   369   422   359   437 0.92 | transcript=PVPAM_110050500_t1 | gene=PVPAM_110050500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=CASCJQ010000011:1906067-1907518(-) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722254.1         -            742 7340at5820           -            220   8.4e-05   20.8   0.1   1   2       1.5   3.9e+02   -1.0   0.0     4    22   527   545   525   561 0.73 | transcript=PVPAM_120049100_t1 | gene=PVPAM_120049100 | organism=Plasmodium_vivax_PAM | gene_product=AAA ATPase, putative | transcript_product=AAA ATPase, putative | location=CASCJQ010000012:1785516-1787744(+) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722254.1         -            742 7340at5820           -            220   8.4e-05   20.8   0.1   2   2     2e-06   0.00054   18.1   0.0    28    82   631   685   620   720 0.80 | transcript=PVPAM_120049100_t1 | gene=PVPAM_120049100 | organism=Plasmodium_vivax_PAM | gene_product=AAA ATPase, putative | transcript_product=AAA ATPase, putative | location=CASCJQ010000012:1785516-1787744(+) | protein_length=742 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719514.1         -            824 7340at5820           -            220    0.0019   16.3   0.2   1   2     0.026       7.1    4.7   0.1     3    55   436   490   434   506 0.78 | transcript=PVPAM_070012800_t1 | gene=PVPAM_070012800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent protease ATPase subunit ClpY, putative | transcript_product=ATP-dependent protease ATPase subunit ClpY, putative | location=CASCJQ010000007:426432-428906(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719514.1         -            824 7340at5820           -            220    0.0019   16.3   0.2   2   2    0.0014      0.39    8.8   0.0    58    95   627   667   597   688 0.72 | transcript=PVPAM_070012800_t1 | gene=PVPAM_070012800 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent protease ATPase subunit ClpY, putative | transcript_product=ATP-dependent protease ATPase subunit ClpY, putative | location=CASCJQ010000007:426432-428906(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717882.1         -           1111 7340at5820           -            220     0.037   12.1   0.0   1   2   0.00044      0.12   10.5   0.0     4    74   327   396   324   419 0.84 | transcript=PVPAM_020011400_t1 | gene=PVPAM_020011400 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000002:309794-313129(+) | protein_length=1111 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717882.1         -           1111 7340at5820           -            220     0.037   12.1   0.0   2   2       5.7   1.5e+03   -3.0   0.0   181   214   945   978   943   981 0.89 | transcript=PVPAM_020011400_t1 | gene=PVPAM_020011400 | organism=Plasmodium_vivax_PAM | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=CASCJQ010000002:309794-313129(+) | protein_length=1111 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7340at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7340at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7340at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:06 2026
# [ok]
