#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723272.1         -            205 11745at5820          -            167  5.9e-108  356.5   1.3   1   2       4.3   1.6e+03   -2.8   0.1     1     9     1     9     1    14 0.85 | transcript=PVPAM_140019100_t1 | gene=PVPAM_140019100 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=CASCJQ010000014:641770-643260(-) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721950.1         -            229 11745at5820          -            167   2.4e-29  100.8   0.1   1   1   9.4e-32   3.6e-29  100.2   0.1     7   166     6   176     1   177 0.87 | transcript=PVPAM_120018600_t1 | gene=PVPAM_120018600 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=CASCJQ010000012:585822-587159(+) | protein_length=229 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719471.1         -            206 11745at5820          -            167   1.4e-27   95.0   0.2   1   1   4.2e-30   1.6e-27   94.8   0.2     8   164     6   173     1   176 0.85 | transcript=PVPAM_070008500_t1 | gene=PVPAM_070008500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=CASCJQ010000007:187577-189993(-) | protein_length=206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720460.1         -            214 11745at5820          -            167   1.8e-12   45.8   0.0   1   1   5.8e-15   2.2e-12   45.6   0.0    11   164    10   166     3   169 0.80 | transcript=PVPAM_090022500_t1 | gene=PVPAM_090022500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=CASCJQ010000009:817557-818377(-) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719162.1         -            181 11745at5820          -            167   1.4e-11   43.0   0.0   1   1   4.7e-14   1.8e-11   42.6   0.0     9   136    16   139    12   158 0.79 | transcript=PVPAM_060016900_t1 | gene=PVPAM_060016900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=CASCJQ010000006:496902-498230(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719302.1         -            178 11745at5820          -            167   8.6e-11   40.4   0.0   1   1   3.1e-13   1.2e-10   39.9   0.0     7   132    14   135    10   147 0.82 | transcript=PVPAM_060030900_t1 | gene=PVPAM_060030900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000006:1057886-1058422(+) | protein_length=178 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722466.1         -            185 11745at5820          -            167   7.4e-08   30.8   0.5   1   1   3.4e-10   1.3e-07   30.0   0.5     9   138    15   140    10   178 0.75 | transcript=PVPAM_120070300_t1 | gene=PVPAM_120070300 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000012:2691630-2692449(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721464.1         -            453 11745at5820          -            167   1.4e-07   29.9   0.0   1   2   0.00018     0.067   11.5   0.0    11    49     4    41     2    53 0.82 | transcript=PVPAM_110036900_t1 | gene=PVPAM_110036900 | organism=Plasmodium_vivax_PAM | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=CASCJQ010000011:1341764-1343125(+) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721464.1         -            453 11745at5820          -            167   1.4e-07   29.9   0.0   2   2   9.1e-06    0.0035   15.6   0.0    60   109   157   207   143   226 0.85 | transcript=PVPAM_110036900_t1 | gene=PVPAM_110036900 | organism=Plasmodium_vivax_PAM | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=CASCJQ010000011:1341764-1343125(+) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720273.1         -            785 11745at5820          -            167    0.0076   14.5   0.0   1   2    0.0084       3.2    6.0   0.0    12    37    49    74    39    86 0.86 | transcript=PVPAM_080049600_t1 | gene=PVPAM_080049600 | organism=Plasmodium_vivax_PAM | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=CASCJQ010000008:1926957-1929314(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720273.1         -            785 11745at5820          -            167    0.0076   14.5   0.0   2   2     0.015       5.5    5.2   0.0     8    32   568   592   562   603 0.80 | transcript=PVPAM_080049600_t1 | gene=PVPAM_080049600 | organism=Plasmodium_vivax_PAM | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=CASCJQ010000008:1926957-1929314(+) | protein_length=785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11745at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11745at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11745at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:30 2026
# [ok]
