#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719548.1         -            446 6760at5820           -            323  8.8e-198  654.3  13.8   1   1    1e-200  1.6e-197  653.5  13.8    18   317    84   384    80   385 0.99 | transcript=PVPAM_070016200_t1 | gene=PVPAM_070016200 | organism=Plasmodium_vivax_PAM | gene_product=cytosolic Fe-S cluster assembly factor NBP35, putative | transcript_product=cytosolic Fe-S cluster assembly factor NBP35, putative | location=CASCJQ010000007:573700-575040(+) | protein_length=446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720393.1         -            543 6760at5820           -            323      0.36    8.2   6.5   3   3    0.0021       3.4    5.1   0.4    20    76   431   487   408   495 0.86 | transcript=PVPAM_090015800_t1 | gene=PVPAM_090015800 | organism=Plasmodium_vivax_PAM | gene_product=ES2 protein, putative | transcript_product=ES2 protein, putative | location=CASCJQ010000009:569352-570983(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6760at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6760at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6760at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:29 2026
# [ok]
