#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717931.1         -           1191 1494at5820           -            912         0 1833.6  44.9   1   4  4.5e-222  4.9e-219  728.2  10.5     7   351    40   394    35   400 0.98 | transcript=PVPAM_020016300_t1 | gene=PVPAM_020016300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=CASCJQ010000002:474480-478546(+) | protein_length=1191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717981.1         -           1684 1494at5820           -            912   2.4e-11   40.9   1.4   3   6   1.5e-06    0.0016   15.0   0.1   505   562  1096  1153  1052  1168 0.84 | transcript=PVPAM_020021300_t1 | gene=PVPAM_020021300 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=CASCJQ010000002:685471-690525(+) | protein_length=1684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717981.1         -           1684 1494at5820           -            912   2.4e-11   40.9   1.4   4   6   1.4e-12   1.5e-09   34.9   0.1   579   630  1290  1341  1265  1347 0.88 | transcript=PVPAM_020021300_t1 | gene=PVPAM_020021300 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=CASCJQ010000002:685471-690525(+) | protein_length=1684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717981.1         -           1684 1494at5820           -            912   2.4e-11   40.9   1.4   5   6      0.95     1e+03   -4.2   0.7   819   849  1499  1532  1445  1549 0.65 | transcript=PVPAM_020021300_t1 | gene=PVPAM_020021300 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=CASCJQ010000002:685471-690525(+) | protein_length=1684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717981.1         -           1684 1494at5820           -            912   2.4e-11   40.9   1.4   6   6         6   6.5e+03   -9.6   6.6   841   900  1595  1657  1577  1663 0.63 | transcript=PVPAM_020021300_t1 | gene=PVPAM_020021300 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=CASCJQ010000002:685471-690525(+) | protein_length=1684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723535.1         -           1514 1494at5820           -            912   1.8e-09   34.7   3.9   1   3   0.00035      0.37    7.2   0.0   290   329   608   647   593   655 0.84 | transcript=PVPAM_140045900_t1 | gene=PVPAM_140045900 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=CASCJQ010000014:1725979-1732037(-) | protein_length=1514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723535.1         -           1514 1494at5820           -            912   1.8e-09   34.7   3.9   2   3   9.4e-07     0.001   15.7   0.0   506   566   977  1037   957  1056 0.83 | transcript=PVPAM_140045900_t1 | gene=PVPAM_140045900 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=CASCJQ010000014:1725979-1732037(-) | protein_length=1514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723535.1         -           1514 1494at5820           -            912   1.8e-09   34.7   3.9   3   3   2.9e-05     0.031   10.8   0.3   583   693  1144  1254  1130  1439 0.78 | transcript=PVPAM_140045900_t1 | gene=PVPAM_140045900 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=CASCJQ010000014:1725979-1732037(-) | protein_length=1514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720113.1         -           1727 1494at5820           -            912   4.2e-09   33.5   1.3   1   4   0.00077      0.83    6.0   0.0   297   329   488   520   425   528 0.91 | transcript=PVPAM_080033500_t1 | gene=PVPAM_080033500 | organism=Plasmodium_vivax_PAM | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=CASCJQ010000008:1280951-1286134(-) | protein_length=1727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720113.1         -           1727 1494at5820           -            912   4.2e-09   33.5   1.3   2   4     0.075        81   -0.6   0.1   447   481   956   993   944  1003 0.79 | transcript=PVPAM_080033500_t1 | gene=PVPAM_080033500 | organism=Plasmodium_vivax_PAM | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=CASCJQ010000008:1280951-1286134(-) | protein_length=1727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720113.1         -           1727 1494at5820           -            912   4.2e-09   33.5   1.3   3   4   3.9e-07   0.00042   16.9   0.1   503   562  1058  1117  1048  1139 0.89 | transcript=PVPAM_080033500_t1 | gene=PVPAM_080033500 | organism=Plasmodium_vivax_PAM | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=CASCJQ010000008:1280951-1286134(-) | protein_length=1727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720113.1         -           1727 1494at5820           -            912   4.2e-09   33.5   1.3   4   4    0.0011       1.2    5.5   0.0   583   645  1279  1343  1269  1362 0.77 | transcript=PVPAM_080033500_t1 | gene=PVPAM_080033500 | organism=Plasmodium_vivax_PAM | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=CASCJQ010000008:1280951-1286134(-) | protein_length=1727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723572.1         -           1680 1494at5820           -            912   1.2e-06   25.3  56.4   1   5   1.3e-05     0.014   11.9   1.1    24   172    79   227    66   231 0.68 | transcript=PVPAM_140049600_t1 | gene=PVPAM_140049600 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=CASCJQ010000014:1919483-1925541(+) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723572.1         -           1680 1494at5820           -            912   1.2e-06   25.3  56.4   2   5   2.4e-05     0.026   11.0   1.9   168   338   623   780   567   824 0.68 | transcript=PVPAM_140049600_t1 | gene=PVPAM_140049600 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=CASCJQ010000014:1919483-1925541(+) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723572.1         -           1680 1494at5820           -            912   1.2e-06   25.3  56.4   3   5   1.5e-05     0.016   11.7  10.1   482   560  1241  1324  1064  1348 0.89 | transcript=PVPAM_140049600_t1 | gene=PVPAM_140049600 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=CASCJQ010000014:1919483-1925541(+) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723572.1         -           1680 1494at5820           -            912   1.2e-06   25.3  56.4   4   5   7.4e-09     8e-06   22.6   2.8   582   647  1387  1453  1342  1481 0.81 | transcript=PVPAM_140049600_t1 | gene=PVPAM_140049600 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=CASCJQ010000014:1919483-1925541(+) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723572.1         -           1680 1494at5820           -            912   1.2e-06   25.3  56.4   5   5         6   6.5e+03  -13.3  10.1   833   892  1592  1652  1584  1670 0.59 | transcript=PVPAM_140049600_t1 | gene=PVPAM_140049600 | organism=Plasmodium_vivax_PAM | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=CASCJQ010000014:1919483-1925541(+) | protein_length=1680 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1494at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1494at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1494at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:45 2026
# [ok]
