#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722391.1         -            816 9467at5820           -            281  2.7e-128  425.9  67.7   1   4   5.5e-46   4.4e-43  146.3   3.9     5    94    27   116    24   151 0.88 | transcript=PVPAM_120062700_t1 | gene=PVPAM_120062700 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O5, putative | transcript_product=AP2 domain transcription factor AP2-O5, putative | location=CASCJQ010000012:2343516-2346154(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718007.1         -           1311 9467at5820           -            281   7.1e-07   27.5   7.6   6   7       0.5   4.1e+02   -1.2   1.2    28   132  1072  1174  1052  1193 0.56 | transcript=PVPAM_020023800_t1 | gene=PVPAM_020023800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=CASCJQ010000002:808048-811983(+) | protein_length=1311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718007.1         -           1311 9467at5820           -            281   7.1e-07   27.5   7.6   7   7   8.8e-10   7.1e-07   27.5   7.6   192   280  1204  1295  1115  1296 0.74 | transcript=PVPAM_020023800_t1 | gene=PVPAM_020023800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=CASCJQ010000002:808048-811983(+) | protein_length=1311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723734.1         -           2449 9467at5820           -            281   6.1e-06   24.5  14.2   1   5         8   6.5e+03   -6.5   6.2   102   172   954  1025   926  1053 0.58 | transcript=PVPAM_140065800_t1 | gene=PVPAM_140065800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000014:2609625-2616974(+) | protein_length=2449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723734.1         -           2449 9467at5820           -            281   6.1e-06   24.5  14.2   2   5         8   6.5e+03   -6.4   4.1   130   130  1555  1555  1468  1665 0.62 | transcript=PVPAM_140065800_t1 | gene=PVPAM_140065800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000014:2609625-2616974(+) | protein_length=2449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723734.1         -           2449 9467at5820           -            281   6.1e-06   24.5  14.2   3   5   1.5e-06    0.0012   16.9   4.4    18    95  2105  2181  2090  2200 0.71 | transcript=PVPAM_140065800_t1 | gene=PVPAM_140065800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000014:2609625-2616974(+) | protein_length=2449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723734.1         -           2449 9467at5820           -            281   6.1e-06   24.5  14.2   4   5   1.4e-08   1.2e-05   23.5   2.2    21   101  2207  2290  2189  2321 0.73 | transcript=PVPAM_140065800_t1 | gene=PVPAM_140065800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000014:2609625-2616974(+) | protein_length=2449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723734.1         -           2449 9467at5820           -            281   6.1e-06   24.5  14.2   5   5   2.9e-05     0.024   12.7   2.3   188   273  2323  2408  2309  2416 0.88 | transcript=PVPAM_140065800_t1 | gene=PVPAM_140065800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000014:2609625-2616974(+) | protein_length=2449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720439.1         -            240 9467at5820           -            281     4e-05   21.8   1.4   1   2     0.041        33    2.3   0.1    53    79   153   179   147   188 0.78 | transcript=PVPAM_090020400_t1 | gene=PVPAM_090020400 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000009:741408-742611(+) | protein_length=240 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720439.1         -            240 9467at5820           -            281     4e-05   21.8   1.4   2   2   4.5e-07   0.00036   18.6   0.5    23    69   186   233   175   239 0.81 | transcript=PVPAM_090020400_t1 | gene=PVPAM_090020400 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000009:741408-742611(+) | protein_length=240 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720968.1         -           2407 9467at5820           -            281   5.7e-05   21.3  15.7   1   3   1.3e-05      0.01   13.9   0.1    28    94  1010  1077   992  1084 0.82 | transcript=PVPAM_100023600_t1 | gene=PVPAM_100023600 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=CASCJQ010000010:817847-825070(+) | protein_length=2407 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720968.1         -           2407 9467at5820           -            281   5.7e-05   21.3  15.7   2   3   3.3e-05     0.027   12.5   6.3    18    83  1897  1962  1884  2039 0.74 | transcript=PVPAM_100023600_t1 | gene=PVPAM_100023600 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=CASCJQ010000010:817847-825070(+) | protein_length=2407 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720968.1         -           2407 9467at5820           -            281   5.7e-05   21.3  15.7   3   3       1.4   1.1e+03   -2.6   0.2   195   225  2276  2306  2273  2361 0.67 | transcript=PVPAM_100023600_t1 | gene=PVPAM_100023600 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=CASCJQ010000010:817847-825070(+) | protein_length=2407 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722856.1         -            799 9467at5820           -            281   0.00086   17.4   5.6   1   3   1.1e-06   0.00086   17.4   5.6    11   116    38   156    29   184 0.59 | transcript=PVPAM_130035800_t1 | gene=PVPAM_130035800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O3, putative | transcript_product=AP2 domain transcription factor AP2-O3, putative | location=CASCJQ010000013:1383486-1385885(+) | protein_length=799 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722856.1         -            799 9467at5820           -            281   0.00086   17.4   5.6   2   3      0.53   4.3e+02   -1.3   1.0    90   139   432   481   421   485 0.82 | transcript=PVPAM_130035800_t1 | gene=PVPAM_130035800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O3, putative | transcript_product=AP2 domain transcription factor AP2-O3, putative | location=CASCJQ010000013:1383486-1385885(+) | protein_length=799 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722856.1         -            799 9467at5820           -            281   0.00086   17.4   5.6   3   3   8.8e-05     0.071   11.1   2.9   193   277   698   779   686   783 0.79 | transcript=PVPAM_130035800_t1 | gene=PVPAM_130035800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O3, putative | transcript_product=AP2 domain transcription factor AP2-O3, putative | location=CASCJQ010000013:1383486-1385885(+) | protein_length=799 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718083.1         -           3545 9467at5820           -            281     0.096   10.7  20.0   1   3   0.00011     0.087   10.8   0.4    24    84   897   959   874  1023 0.71 | transcript=PVPAM_030007900_t1 | gene=PVPAM_030007900 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=CASCJQ010000003:137923-148702(-) | protein_length=3545 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718083.1         -           3545 9467at5820           -            281     0.096   10.7  20.0   2   3         8   6.5e+03   -5.3   2.5    80   144  1728  1756  1718  1777 0.44 | transcript=PVPAM_030007900_t1 | gene=PVPAM_030007900 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=CASCJQ010000003:137923-148702(-) | protein_length=3545 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718083.1         -           3545 9467at5820           -            281     0.096   10.7  20.0   3   3   6.3e-05     0.051   11.6   3.5     9    91  1888  1965  1880  1997 0.70 | transcript=PVPAM_030007900_t1 | gene=PVPAM_030007900 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=CASCJQ010000003:137923-148702(-) | protein_length=3545 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9467at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9467at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9467at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:13 2026
# [ok]
