#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718888.1         -            889 3141at5820           -            730         0 1323.0  73.1   1   4   5.3e-28   6.8e-25   86.0   0.4     1    58     1    60     1    65 0.95 | transcript=PVPAM_050028000_t1 | gene=PVPAM_050028000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=CASCJQ010000005:954845-958027(-) | protein_length=889 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720860.1         -            590 3141at5820           -            730   3.9e-10   37.2   0.9   3   3   9.9e-06     0.013   12.4   0.0   672   702   486   516   479   545 0.79 | transcript=PVPAM_100012800_t1 | gene=PVPAM_100012800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=CASCJQ010000010:345423-347695(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722985.1         -           1211 3141at5820           -            730   0.00028   17.8  31.9   1   3      0.13   1.6e+02   -1.2   5.0   268   359   600   694   590   706 0.63 | transcript=PVPAM_130049100_t1 | gene=PVPAM_130049100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=CASCJQ010000013:1936526-1940161(+) | protein_length=1211 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722985.1         -           1211 3141at5820           -            730   0.00028   17.8  31.9   2   3   1.8e-06    0.0024   14.8  10.3   405   552   705   846   692   868 0.79 | transcript=PVPAM_130049100_t1 | gene=PVPAM_130049100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=CASCJQ010000013:1936526-1940161(+) | protein_length=1211 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722985.1         -           1211 3141at5820           -            730   0.00028   17.8  31.9   3   3   3.2e-06    0.0042   14.0   3.0   673   727  1098  1157  1087  1160 0.78 | transcript=PVPAM_130049100_t1 | gene=PVPAM_130049100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=CASCJQ010000013:1936526-1940161(+) | protein_length=1211 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718076.1         -            383 3141at5820           -            730    0.0029   14.5  30.2   1   2   5.4e-05     0.069    9.9  22.7   276   535    16   277     5   306 0.68 | transcript=PVPAM_030007200_t1 | gene=PVPAM_030007200 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=CASCJQ010000003:97716-98867(+) | protein_length=383 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718076.1         -            383 3141at5820           -            730    0.0029   14.5  30.2   2   2   0.00015      0.19    8.5   0.8   675   716   324   364   302   382 0.76 | transcript=PVPAM_030007200_t1 | gene=PVPAM_030007200 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=CASCJQ010000003:97716-98867(+) | protein_length=383 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3141at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3141at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3141at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:53 2026
# [ok]
