#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720450.1         -            690 3676at5820           -            548         0 1042.1  33.5   1   3  7.1e-110  2.6e-107  358.2   5.2     9   196    22   212     8   232 0.91 | transcript=PVPAM_090021500_t1 | gene=PVPAM_090021500 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=CASCJQ010000009:776617-778689(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720438.1         -            487 3676at5820           -            548   5.7e-09   33.6  10.3   1   2   7.7e-06    0.0028   14.8   2.6   291   386   278   365    97   374 0.87 | transcript=PVPAM_090020300_t1 | gene=PVPAM_090020300 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=CASCJQ010000009:737351-738814(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720438.1         -            487 3676at5820           -            548   5.7e-09   33.6  10.3   2   2   2.9e-08     1e-05   22.8   0.7   471   517   416   468   407   473 0.78 | transcript=PVPAM_090020300_t1 | gene=PVPAM_090020300 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=CASCJQ010000009:737351-738814(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718533.1         -           1219 3676at5820           -            548   1.8e-08   31.9   4.5   1   1     3e-10   1.1e-07   29.3   4.5   362   513   737   887   615   907 0.70 | transcript=PVPAM_040027700_t1 | gene=PVPAM_040027700 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:950954-954976(+) | protein_length=1219 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718532.1         -           1014 3676at5820           -            548   3.2e-08   31.1   0.6   1   1   1.6e-10   5.7e-08   30.3   0.6   464   513   692   742   687   762 0.88 | transcript=PVPAM_040027600_t1 | gene=PVPAM_040027600 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:946325-949823(+) | protein_length=1014 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718542.1         -           1011 3676at5820           -            548   6.2e-08   30.2   3.1   1   2      0.48   1.7e+02   -1.0   0.1   275   308   554   591   494   599 0.74 | transcript=PVPAM_040028600_t1 | gene=PVPAM_040028600 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:996183-999766(+) | protein_length=1011 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718542.1         -           1011 3676at5820           -            548   6.2e-08   30.2   3.1   2   2   1.7e-10   6.2e-08   30.2   3.1   464   513   738   788   732   810 0.80 | transcript=PVPAM_040028600_t1 | gene=PVPAM_040028600 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:996183-999766(+) | protein_length=1011 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718535.1         -           1069 3676at5820           -            548     1e-07   29.4   0.1   1   1   4.6e-10   1.7e-07   28.7   0.1   464   513   716   766   614   786 0.89 | transcript=PVPAM_040027900_t1 | gene=PVPAM_040027900 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:961834-965540(+) | protein_length=1069 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718544.1         -           1054 3676at5820           -            548   1.2e-07   29.2   2.7   1   2      0.39   1.4e+02   -0.7   0.3   347   384   580   621   511   657 0.54 | transcript=PVPAM_040028800_t1 | gene=PVPAM_040028800 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:1001065-1004929(+) | protein_length=1054 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718544.1         -           1054 3676at5820           -            548   1.2e-07   29.2   2.7   2   2   3.4e-10   1.2e-07   29.2   2.7   463   513   696   747   669   760 0.90 | transcript=PVPAM_040028800_t1 | gene=PVPAM_040028800 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:1001065-1004929(+) | protein_length=1054 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718540.1         -           1039 3676at5820           -            548   2.8e-07   28.0   0.3   1   1   1.5e-09   5.3e-07   27.1   0.3   464   514   697   749   679   766 0.85 | transcript=PVPAM_040028400_t1 | gene=PVPAM_040028400 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:985852-989635(+) | protein_length=1039 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718536.1         -           1082 3676at5820           -            548   5.3e-07   27.1   0.3   1   2         2   7.3e+02   -3.1   1.0   234   335   330   431   314   444 0.59 | transcript=PVPAM_040028000_t1 | gene=PVPAM_040028000 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:966618-970283(+) | protein_length=1082 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718536.1         -           1082 3676at5820           -            548   5.3e-07   27.1   0.3   2   2   1.5e-09   5.3e-07   27.1   0.3   464   513   702   752   686   766 0.90 | transcript=PVPAM_040028000_t1 | gene=PVPAM_040028000 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:966618-970283(+) | protein_length=1082 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718545.1         -            706 3676at5820           -            548   2.2e-06   25.0   1.5   1   3      0.51   1.8e+02   -1.1   0.2   284   306   254   277   241   303 0.71 | transcript=PVPAM_040028900_t1 | gene=PVPAM_040028900 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:1007008-1009883(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718545.1         -            706 3676at5820           -            548   2.2e-06   25.0   1.5   2   3      0.85   3.1e+02   -1.8   0.0   414   429   433   448   430   449 0.88 | transcript=PVPAM_040028900_t1 | gene=PVPAM_040028900 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:1007008-1009883(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718545.1         -            706 3676at5820           -            548   2.2e-06   25.0   1.5   3   3   6.1e-09   2.2e-06   25.0   1.5   474   513   449   489   435   495 0.87 | transcript=PVPAM_040028900_t1 | gene=PVPAM_040028900 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:1007008-1009883(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718541.1         -           1123 3676at5820           -            548   3.2e-06   24.5   0.3   1   1   1.4e-08   5.2e-06   23.8   0.3   464   513   734   784   666   804 0.91 | transcript=PVPAM_040028500_t1 | gene=PVPAM_040028500 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:990844-994731(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718534.1         -           1084 3676at5820           -            548   8.7e-06   23.1   2.4   1   2       2.2     8e+02   -3.2   1.5   224   335   331   443   295   454 0.68 | transcript=PVPAM_040027800_t1 | gene=PVPAM_040027800 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:957229-960915(+) | protein_length=1084 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718534.1         -           1084 3676at5820           -            548   8.7e-06   23.1   2.4   2   2   2.4e-08   8.7e-06   23.1   2.4   463   513   723   774   618   794 0.79 | transcript=PVPAM_040027800_t1 | gene=PVPAM_040027800 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:957229-960915(+) | protein_length=1084 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722304.1         -            583 3676at5820           -            548   2.2e-05   21.7  23.3   1   3   5.7e-05     0.021   11.9   9.3   292   405   354   464   229   472 0.72 | transcript=PVPAM_120054100_t1 | gene=PVPAM_120054100 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=CASCJQ010000012:1968043-1969794(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722304.1         -            583 3676at5820           -            548   2.2e-05   21.7  23.3   2   3     0.073        26    1.7   0.0   464   485   484   505   480   523 0.86 | transcript=PVPAM_120054100_t1 | gene=PVPAM_120054100 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=CASCJQ010000012:1968043-1969794(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722304.1         -            583 3676at5820           -            548   2.2e-05   21.7  23.3   3   3   4.8e-06    0.0017   15.5   1.0   488   517   537   565   528   580 0.79 | transcript=PVPAM_120054100_t1 | gene=PVPAM_120054100 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=CASCJQ010000012:1968043-1969794(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720436.1         -            484 3676at5820           -            548   8.2e-05   19.9  17.6   1   1   4.8e-05     0.017   12.2  17.6   290   513   275   462   149   467 0.66 | transcript=PVPAM_090020100_t1 | gene=PVPAM_090020100 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=CASCJQ010000009:729233-730687(-) | protein_length=484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3676at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3676at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3676at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:14 2026
# [ok]
