#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720857.1         -            463 11717at5820          -            359  2.7e-220  729.0  67.5   1   3   1.3e-19   3.5e-17   60.9   5.8     1    57     4    70     4    78 0.84 | transcript=PVPAM_100012500_t1 | gene=PVPAM_100012500 | organism=Plasmodium_vivax_PAM | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=CASCJQ010000010:333754-335570(-) | protein_length=463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720692.1         -            942 11717at5820          -            359   0.00045   17.8  13.6   2   3   1.7e-06   0.00045   17.8  13.6   250   312   440   505   430   516 0.57 | transcript=PVPAM_090045700_t1 | gene=PVPAM_090045700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1840729-1843557(+) | protein_length=942 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720692.1         -            942 11717at5820          -            359   0.00045   17.8  13.6   3   3       5.6   1.5e+03   -3.7   0.1   321   355   715   751   707   753 0.77 | transcript=PVPAM_090045700_t1 | gene=PVPAM_090045700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:1840729-1843557(+) | protein_length=942 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718994.1         -             83 11717at5820          -            359    0.0005   17.6  11.9   1   2       1.2   3.2e+02   -1.5   1.0   206   216    10    20     5    24 0.48 | transcript=PVPAM_050038600_t1 | gene=PVPAM_050038600 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000005:1433882-1434133(+) | protein_length=83 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718994.1         -             83 11717at5820          -            359    0.0005   17.6  11.9   2   2   1.9e-06    0.0005   17.6  11.9   268   306    24    62    17    75 0.56 | transcript=PVPAM_050038600_t1 | gene=PVPAM_050038600 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000005:1433882-1434133(+) | protein_length=83 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722806.1         -            559 11717at5820          -            359   0.00053   17.5   0.2   1   3         3   8.2e+02   -2.8  18.9    94   220   255   386   240   403 0.68 | transcript=PVPAM_130030700_t1 | gene=PVPAM_130030700 | organism=Plasmodium_vivax_PAM | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=CASCJQ010000013:1164239-1165918(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722806.1         -            559 11717at5820          -            359   0.00053   17.5   0.2   2   3    0.0056       1.5    6.2   1.8    96   178   392   474   386   508 0.78 | transcript=PVPAM_130030700_t1 | gene=PVPAM_130030700 | organism=Plasmodium_vivax_PAM | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=CASCJQ010000013:1164239-1165918(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722806.1         -            559 11717at5820          -            359   0.00053   17.5   0.2   3   3     2e-06   0.00053   17.5   0.2   309   348   506   545   502   553 0.89 | transcript=PVPAM_130030700_t1 | gene=PVPAM_130030700 | organism=Plasmodium_vivax_PAM | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=CASCJQ010000013:1164239-1165918(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722059.1         -           2514 11717at5820          -            359    0.0007   17.1   9.0   1   3   2.6e-06    0.0007   17.1   9.0   253   310   364   419   341   425 0.65 | transcript=PVPAM_120029700_t1 | gene=PVPAM_120029700 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:943786-951964(-) | protein_length=2514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722059.1         -           2514 11717at5820          -            359    0.0007   17.1   9.0   2   3       1.4   3.9e+02   -1.8   8.5   255   300  1711  1754  1685  1821 0.60 | transcript=PVPAM_120029700_t1 | gene=PVPAM_120029700 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:943786-951964(-) | protein_length=2514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722059.1         -           2514 11717at5820          -            359    0.0007   17.1   9.0   3   3       1.8   4.7e+02   -2.1   7.6   250   301  2234  2285  2213  2314 0.76 | transcript=PVPAM_120029700_t1 | gene=PVPAM_120029700 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:943786-951964(-) | protein_length=2514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723207.1         -            564 11717at5820          -            359    0.0012   16.3   5.1   1   1   1.3e-05    0.0035   14.8   5.1   239   308   102   173    20   198 0.64 | transcript=PVPAM_140012600_t1 | gene=PVPAM_140012600 | organism=Plasmodium_vivax_PAM | gene_product=CorA-like Mg2+ transporter protein, putative | transcript_product=CorA-like Mg2+ transporter protein, putative | location=CASCJQ010000014:374312-376201(-) | protein_length=564 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719486.1         -            188 11717at5820          -            359    0.0075   13.7   5.9   1   1   3.1e-05    0.0083   13.6   5.9    67   197    53   185    17   188 0.85 | transcript=PVPAM_070010000_t1 | gene=PVPAM_070010000 | organism=Plasmodium_vivax_PAM | gene_product=bacterial histone-like protein, putative | transcript_product=bacterial histone-like protein, putative | location=CASCJQ010000007:277724-278551(-) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720418.1         -            394 11717at5820          -            359    0.0095   13.4  11.1   1   2   3.3e-05     0.009   13.5   3.6   253   351   113   206    71   221 0.61 | transcript=PVPAM_090018300_t1 | gene=PVPAM_090018300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=CASCJQ010000009:661936-663642(-) | protein_length=394 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720418.1         -            394 11717at5820          -            359    0.0095   13.4  11.1   2   2     0.019         5    4.4   0.8   295   333   279   319   265   329 0.76 | transcript=PVPAM_090018300_t1 | gene=PVPAM_090018300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=CASCJQ010000009:661936-663642(-) | protein_length=394 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718440.1         -            946 11717at5820          -            359     0.037   11.5   3.1   1   1   0.00026     0.071   10.5   3.1   254   301   311   357   297   368 0.77 | transcript=PVPAM_040018600_t1 | gene=PVPAM_040018600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000004:583828-587219(+) | protein_length=946 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719903.1         -            297 11717at5820          -            359      0.22    8.9   4.5   1   1    0.0021      0.58    7.5   4.5   260   299   253   290   236   295 0.68 | transcript=PVPAM_080012500_t1 | gene=PVPAM_080012500 | organism=Plasmodium_vivax_PAM | gene_product=PIR protein | transcript_product=PIR protein | location=CASCJQ010000008:367447-368464(-) | protein_length=297 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719146.1         -           1493 11717at5820          -            359      0.67    7.3   8.0   1   1    0.0097       2.6    5.4   8.0   267   301   126   160   116   168 0.71 | transcript=PVPAM_060015300_t1 | gene=PVPAM_060015300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000006:428110-433169(-) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717779.1         -           5162 11717at5820          -            359       2.7    5.3  14.4   1   2   3.8e-05      0.01   13.3   1.7   266   299  2545  2578  2525  2592 0.66 | transcript=PVPAM_010029300_t1 | gene=PVPAM_010029300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:1074016-1089657(-) | protein_length=5162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717779.1         -           5162 11717at5820          -            359       2.7    5.3  14.4   2   2       8.6   2.3e+03   -4.3   5.3   233   289  4941  4997  4890  5021 0.48 | transcript=PVPAM_010029300_t1 | gene=PVPAM_010029300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:1074016-1089657(-) | protein_length=5162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722895.1         -           1081 11717at5820          -            359       2.8    5.3  18.0   1   1      0.03       7.9    3.8  18.0   258   306   252   297   245   318 0.52 | transcript=PVPAM_130039700_t1 | gene=PVPAM_130039700 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000013:1532398-1535643(-) | protein_length=1081 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719914.1         -            316 11717at5820          -            359       4.9    4.5  11.5   1   1     0.025       6.8    4.0  11.5   256   304   150   194   124   211 0.55 | transcript=PVPAM_080013600_t1 | gene=PVPAM_080013600 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000008:431784-432949(-) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11717at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11717at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11717at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:25 2026
# [ok]
