#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719662.1         -           1441 2771at5820           -            662    4e-293  972.3 119.7   1   9   6.5e-46     7e-43  145.4   5.9     1   103     3   105     3   122 0.89 | transcript=PVPAM_070027600_t1 | gene=PVPAM_070027600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=CASCJQ010000007:990105-995619(+) | protein_length=1441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 2771at5820           -            662   2.1e-44  150.4   0.8   3   4   3.7e-13   3.9e-10   37.2   0.0     4    78   152   226   149   230 0.95 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 2771at5820           -            662   2.1e-44  150.4   0.8   4   4   4.8e-13   5.2e-10   36.8   0.0     4    78   228   302   226   304 0.96 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721198.1         -            128 2771at5820           -            662   1.7e-11   41.7   0.1   1   1   1.6e-14   1.7e-11   41.7   0.1     6    95     2    91     1   119 0.91 | transcript=PVPAM_110010000_t1 | gene=PVPAM_110010000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=CASCJQ010000011:198390-199196(+) | protein_length=128 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723296.1         -             76 2771at5820           -            662   3.2e-08   30.9   0.0   1   1   3.3e-11   3.5e-08   30.7   0.0     6    76     2    72     1    75 0.95 | transcript=PVPAM_140021500_t1 | gene=PVPAM_140021500 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein Nedd8, putative | transcript_product=ubiquitin-like protein Nedd8, putative | location=CASCJQ010000014:732237-732754(-) | protein_length=76 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720418.1         -            394 2771at5820           -            662     6e-05   20.1   0.0   1   1   8.6e-08   9.3e-05   19.4   0.0     5   105     3   103     1   123 0.79 | transcript=PVPAM_090018300_t1 | gene=PVPAM_090018300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=CASCJQ010000009:661936-663642(-) | protein_length=394 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721078.1         -            101 2771at5820           -            662   0.00012   19.0   0.0   1   1   1.3e-07   0.00014   18.8   0.0     3    77    20    94    18    98 0.94 | transcript=PVPAM_100034600_t1 | gene=PVPAM_100034600 | organism=Plasmodium_vivax_PAM | gene_product=small ubiquitin-related modifier, putative | transcript_product=small ubiquitin-related modifier, putative | location=CASCJQ010000010:1265418-1265869(+) | protein_length=101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2771at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2771at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2771at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:43 2026
# [ok]
