#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721305.1         -            944 1917at5820           -            794         0 1718.1  34.1   1   3   1.3e-06    0.0011   15.6   0.1     1    22     1    22     1    38 0.83 | transcript=PVPAM_110020800_t1 | gene=PVPAM_110020800 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=CASCJQ010000011:671628-674462(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720862.1         -            971 1917at5820           -            794   1.8e-70  236.4   5.8   1   3   1.2e-09   9.5e-07   25.6   0.2   143   267   197   337   189   371 0.70 | transcript=PVPAM_100013000_t1 | gene=PVPAM_100013000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=CASCJQ010000010:352385-355420(+) | protein_length=971 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720862.1         -            971 1917at5820           -            794   1.8e-70  236.4   5.8   2   3   7.9e-64   6.4e-61  204.8   0.2   351   570   378   597   357   614 0.95 | transcript=PVPAM_100013000_t1 | gene=PVPAM_100013000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=CASCJQ010000010:352385-355420(+) | protein_length=971 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720862.1         -            971 1917at5820           -            794   1.8e-70  236.4   5.8   3   3   0.00067      0.54    6.6   0.1   603   668   710   776   689   792 0.80 | transcript=PVPAM_100013000_t1 | gene=PVPAM_100013000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=CASCJQ010000010:352385-355420(+) | protein_length=971 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722758.1         -           1328 1917at5820           -            794   1.7e-63  213.3  12.7   1   3   7.7e-11   6.3e-08   29.5   0.3   128   270   255   402   248   413 0.79 | transcript=PVPAM_130025900_t1 | gene=PVPAM_130025900 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=CASCJQ010000013:945155-949814(-) | protein_length=1328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722758.1         -           1328 1917at5820           -            794   1.7e-63  213.3  12.7   2   3   1.2e-51   9.3e-49  164.6   0.3   337   581   791  1030   780  1038 0.88 | transcript=PVPAM_130025900_t1 | gene=PVPAM_130025900 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=CASCJQ010000013:945155-949814(-) | protein_length=1328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722758.1         -           1328 1917at5820           -            794   1.7e-63  213.3  12.7   3   3     1e-09   8.2e-07   25.9   1.6   598   678  1155  1234  1135  1307 0.67 | transcript=PVPAM_130025900_t1 | gene=PVPAM_130025900 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=CASCJQ010000013:945155-949814(-) | protein_length=1328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 1917at5820           -            794   4.4e-37  126.0  14.9   1   4   8.9e-05     0.072    9.5   1.7   121   203   316   401   275   407 0.73 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 1917at5820           -            794   4.4e-37  126.0  14.9   2   4     0.017        14    2.0   0.0   218   267   510   555   495   564 0.80 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 1917at5820           -            794   4.4e-37  126.0  14.9   3   4   1.7e-34   1.4e-31  107.8   2.4   399   569   872  1043   858  1054 0.89 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 1917at5820           -            794   4.4e-37  126.0  14.9   4   4   2.1e-05     0.017   11.6   0.1   591   664  1165  1234  1154  1265 0.73 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1917at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1917at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1917at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:20 2026
# [ok]
