#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722764.1         -           1355 1301at5820           -           1082         0 2248.2  13.1   1   1         0         0 2247.1  13.1    11  1082   201  1355   193  1355 0.95 | transcript=PVPAM_130026500_t1 | gene=PVPAM_130026500 | organism=Plasmodium_vivax_PAM | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=CASCJQ010000013:979421-983488(-) | protein_length=1355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717981.1         -           1684 1301at5820           -           1082     7e-11   39.1   2.2   3   4    0.0089        11    2.0   0.1   591   644  1098  1151  1055  1162 0.73 | transcript=PVPAM_020021300_t1 | gene=PVPAM_020021300 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=CASCJQ010000002:685471-690525(+) | protein_length=1684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717981.1         -           1684 1301at5820           -           1082     7e-11   39.1   2.2   4   4   1.7e-10   2.2e-07   27.6   0.0   671   725  1287  1341  1273  1347 0.93 | transcript=PVPAM_020021300_t1 | gene=PVPAM_020021300 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=CASCJQ010000002:685471-690525(+) | protein_length=1684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720113.1         -           1727 1301at5820           -           1082   0.00032   17.1   1.9   1   3    0.0049       6.4    2.9   0.1   198   359   346   524   326   530 0.51 | transcript=PVPAM_080033500_t1 | gene=PVPAM_080033500 | organism=Plasmodium_vivax_PAM | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=CASCJQ010000008:1280951-1286134(-) | protein_length=1727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720113.1         -           1727 1301at5820           -           1082   0.00032   17.1   1.9   2   3   7.3e-06    0.0095   12.2   0.1   586   650  1056  1121   951  1135 0.73 | transcript=PVPAM_080033500_t1 | gene=PVPAM_080033500 | organism=Plasmodium_vivax_PAM | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=CASCJQ010000008:1280951-1286134(-) | protein_length=1727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720113.1         -           1727 1301at5820           -           1082   0.00032   17.1   1.9   3   3      0.09   1.2e+02   -1.3   0.0   679   732  1280  1333  1275  1347 0.71 | transcript=PVPAM_080033500_t1 | gene=PVPAM_080033500 | organism=Plasmodium_vivax_PAM | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=CASCJQ010000008:1280951-1286134(-) | protein_length=1727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1301at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1301at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1301at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:30 2026
# [ok]
