#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718789.1         -            622 7587at5820           -            324  4.9e-136  451.9  62.4   1   5   6.6e-96   8.5e-93  309.8  36.6     2   155    51   204    50   225 0.95 | transcript=PVPAM_050018300_t1 | gene=PVPAM_050018300 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=CASCJQ010000005:595994-597862(+) | protein_length=622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719243.1         -            371 7587at5820           -            324      0.68    7.8  21.6   1   2   2.5e-05     0.032   12.1  12.6    74   132    44   106    34   109 0.85 | transcript=PVPAM_060025000_t1 | gene=PVPAM_060025000 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=CASCJQ010000006:843487-844742(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719243.1         -            371 7587at5820           -            324      0.68    7.8  21.6   2   2      0.41   5.2e+02   -1.7  10.2    22    55    78   119    72   137 0.65 | transcript=PVPAM_060025000_t1 | gene=PVPAM_060025000 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=CASCJQ010000006:843487-844742(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7587at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7587at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7587at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:12 2026
# [ok]
