#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720191.1         -           1253 2069at5820           -            719  6.5e-264  876.4   1.2   1   6   1.2e-98   2.7e-95  319.0   0.0    21   215   219   419   213   435 0.95 | transcript=PVPAM_080041300_t1 | gene=PVPAM_080041300 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000008:1614033-1618069(-) | protein_length=1253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 2069at5820           -            719   0.00043   17.6  25.5   2   5      0.69   1.5e+03   -4.1   0.0   345   362   590   607   582   608 0.83 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 2069at5820           -            719   0.00043   17.6  25.5   3   5     0.022        48    0.8   0.1   398   432   696   730   680   778 0.67 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 2069at5820           -            719   0.00043   17.6  25.5   4   5    0.0032       6.9    3.6   0.3   482   540   906   964   898   970 0.92 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 2069at5820           -            719   0.00043   17.6  25.5   5   5   5.1e-07    0.0011   16.2   3.6   573   651  1085  1167  1060  1189 0.73 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2069at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2069at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2069at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:56 2026
# [ok]
