#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720875.1         -            288 9439at5820           -            250  1.9e-145  481.6   1.3   1   1  2.3e-147  2.3e-145  481.3   1.3     1   246     7   267     7   270 0.96 | transcript=PVPAM_100014300_t1 | gene=PVPAM_100014300 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=CASCJQ010000010:406454-408600(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722441.1         -           1526 9439at5820           -            250   3.4e-20   71.3   1.1   4   4       8.3   8.3e+02   -2.1   0.0   136   191  1201  1258  1189  1263 0.70 | transcript=PVPAM_120067800_t1 | gene=PVPAM_120067800 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=CASCJQ010000012:2556552-2561283(+) | protein_length=1526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721982.1         -            305 9439at5820           -            250   5.3e-20   70.6   2.6   1   1   1.7e-21   1.7e-19   69.0   2.6     2   198     5   216     4   228 0.80 | transcript=PVPAM_120022100_t1 | gene=PVPAM_120022100 | organism=Plasmodium_vivax_PAM | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=CASCJQ010000012:719734-721835(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718956.1         -            613 9439at5820           -            250   3.7e-19   67.9   4.4   1   1   4.9e-21   4.9e-19   67.5   4.4     3   236   265   514   263   526 0.74 | transcript=PVPAM_050034800_t1 | gene=PVPAM_050034800 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=CASCJQ010000005:1231892-1233733(-) | protein_length=613 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720764.1         -           1423 9439at5820           -            250   1.8e-18   65.6   2.4   1   1   1.8e-20   1.8e-18   65.6   2.4    35   206  1187  1364  1146  1375 0.73 | transcript=PVPAM_090052800_t1 | gene=PVPAM_090052800 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000009:2141525-2145796(-) | protein_length=1423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718495.1         -           1029 9439at5820           -            250   2.6e-18   65.1   0.6   1   2       4.7   4.6e+02   -1.3   0.0    22    42   683   703   677   741 0.73 | transcript=PVPAM_040023900_t1 | gene=PVPAM_040023900 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000004:797636-800725(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718495.1         -           1029 9439at5820           -            250   2.6e-18   65.1   0.6   2   2     8e-20   7.9e-18   63.5   0.1    35   199   803   965   793   974 0.90 | transcript=PVPAM_040023900_t1 | gene=PVPAM_040023900 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000004:797636-800725(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720423.1         -            580 9439at5820           -            250   1.9e-17   62.3   3.2   1   2   1.5e-15   1.5e-13   49.5   2.4     5   152   176   331   172   340 0.79 | transcript=PVPAM_090018800_t1 | gene=PVPAM_090018800 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=CASCJQ010000009:677012-678754(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720423.1         -            580 9439at5820           -            250   1.9e-17   62.3   3.2   2   2    0.0008      0.08   11.1   0.0   159   196   364   402   351   410 0.80 | transcript=PVPAM_090018800_t1 | gene=PVPAM_090018800 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=CASCJQ010000009:677012-678754(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720374.1         -            335 9439at5820           -            250   3.2e-17   61.5   1.0   1   1   5.4e-19   5.3e-17   60.8   1.0     5   199    42   237    38   270 0.83 | transcript=PVPAM_090013900_t1 | gene=PVPAM_090013900 | organism=Plasmodium_vivax_PAM | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=CASCJQ010000009:497458-498465(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720179.1         -            494 9439at5820           -            250   8.6e-17   60.1   0.3   1   1   1.3e-18   1.3e-16   59.6   0.3     6   206   119   329   115   347 0.75 | transcript=PVPAM_080040100_t1 | gene=PVPAM_080040100 | organism=Plasmodium_vivax_PAM | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=CASCJQ010000008:1564136-1566591(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720502.1         -            561 9439at5820           -            250   7.1e-16   57.1   8.9   1   2   5.5e-12   5.5e-10   37.8   5.5     6   151    35   189    10   195 0.81 | transcript=PVPAM_090026700_t1 | gene=PVPAM_090026700 | organism=Plasmodium_vivax_PAM | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=CASCJQ010000009:990615-992300(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720502.1         -            561 9439at5820           -            250   7.1e-16   57.1   8.9   2   2   1.5e-06   0.00015   20.0   0.1   157   236   345   424   292   429 0.85 | transcript=PVPAM_090026700_t1 | gene=PVPAM_090026700 | organism=Plasmodium_vivax_PAM | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=CASCJQ010000009:990615-992300(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718902.1         -           1623 9439at5820           -            250     1e-15   56.6   0.7   1   1   1.7e-17   1.7e-15   55.9   0.0    89   232   896  1042   879  1054 0.81 | transcript=PVPAM_050029400_t1 | gene=PVPAM_050029400 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=CASCJQ010000005:1015568-1020565(+) | protein_length=1623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720044.1         -            325 9439at5820           -            250   5.8e-15   54.1   9.5   1   1   2.1e-16   2.1e-14   52.3   9.5    13   198    17   226     9   239 0.69 | transcript=PVPAM_080026600_t1 | gene=PVPAM_080026600 | organism=Plasmodium_vivax_PAM | gene_product=MO15-related protein kinase, putative | transcript_product=MO15-related protein kinase, putative | location=CASCJQ010000008:990655-991632(+) | protein_length=325 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721476.1         -            806 9439at5820           -            250   9.4e-15   53.4   0.6   1   2   2.7e-14   2.7e-12   45.4   0.2    70   165   158   260   123   268 0.80 | transcript=PVPAM_110038100_t1 | gene=PVPAM_110038100 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=CASCJQ010000011:1389536-1391956(-) | protein_length=806 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721476.1         -            806 9439at5820           -            250   9.4e-15   53.4   0.6   2   2      0.03         3    5.9   0.0   171   199   476   504   472   527 0.86 | transcript=PVPAM_110038100_t1 | gene=PVPAM_110038100 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 5, putative | transcript_product=cdc2-related protein kinase 5, putative | location=CASCJQ010000011:1389536-1391956(-) | protein_length=806 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723810.1         -            740 9439at5820           -            250   1.4e-14   52.8   9.4   1   1   4.5e-16   4.4e-14   51.2   9.4    35   238    56   282    30   289 0.78 | transcript=PVPAM_140073300_t1 | gene=PVPAM_140073300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000014:2888926-2891148(+) | protein_length=740 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718464.1         -           1635 9439at5820           -            250   2.6e-14   52.0   0.6   1   2   3.6e-07   3.6e-05   22.0   0.3    53   144  1169  1262  1141  1272 0.81 | transcript=PVPAM_040021000_t1 | gene=PVPAM_040021000 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=CASCJQ010000004:680171-685078(-) | protein_length=1635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718464.1         -           1635 9439at5820           -            250   2.6e-14   52.0   0.6   2   2   6.2e-09   6.2e-07   27.8   0.0   153   237  1526  1615  1519  1625 0.76 | transcript=PVPAM_040021000_t1 | gene=PVPAM_040021000 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase STK2, putative | transcript_product=serine/threonine protein kinase STK2, putative | location=CASCJQ010000004:680171-685078(-) | protein_length=1635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720338.1         -           1278 9439at5820           -            250   8.5e-14   50.3   6.7   1   2     2e-06    0.0002   19.6   1.7    59   159   328   427   280   438 0.70 | transcript=PVPAM_090010400_t1 | gene=PVPAM_090010400 | organism=Plasmodium_vivax_PAM | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=CASCJQ010000009:339975-343811(+) | protein_length=1278 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720338.1         -           1278 9439at5820           -            250   8.5e-14   50.3   6.7   2   2   1.6e-10   1.6e-08   33.0   0.2   155   198   529   572   523   586 0.87 | transcript=PVPAM_090010400_t1 | gene=PVPAM_090010400 | organism=Plasmodium_vivax_PAM | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=CASCJQ010000009:339975-343811(+) | protein_length=1278 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717919.1         -           3320 9439at5820           -            250   1.2e-13   49.8   0.6   1   2   1.4e-12   1.3e-10   39.8   0.5    68   147  3088  3163  3076  3173 0.87 | transcript=PVPAM_020015100_t1 | gene=PVPAM_020015100 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=CASCJQ010000002:419120-430381(-) | protein_length=3320 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717919.1         -           3320 9439at5820           -            250   1.2e-13   49.8   0.6   2   2     0.014       1.3    7.1   0.0   159   202  3219  3259  3209  3309 0.66 | transcript=PVPAM_020015100_t1 | gene=PVPAM_020015100 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 2, putative | location=CASCJQ010000002:419120-430381(-) | protein_length=3320 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723399.1         -            517 9439at5820           -            250   2.9e-13   48.5   6.3   1   3      0.99        99    1.0   0.2   133   186    40    95     9   119 0.65 | transcript=PVPAM_140032100_t1 | gene=PVPAM_140032100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000014:1174997-1177096(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
