#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719263.1         -            236 11812at5820          -            168   3.2e-73  243.7  29.3   1   3   7.9e-28   3.6e-25   87.4   1.6     1    59     1    60     1    73 0.95 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723799.1         -            209 11812at5820          -            168   1.6e-07   30.0   3.6   1   2      0.72   3.3e+02   -0.3   0.2    53    83    54    84    41    92 0.63 | transcript=PVPAM_140072200_t1 | gene=PVPAM_140072200 | organism=Plasmodium_vivax_PAM | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=CASCJQ010000014:2858420-2859049(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723799.1         -            209 11812at5820          -            168   1.6e-07   30.0   3.6   2   2   3.5e-10   1.6e-07   30.0   1.7    82   162   126   204    72   208 0.88 | transcript=PVPAM_140072200_t1 | gene=PVPAM_140072200 | organism=Plasmodium_vivax_PAM | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=CASCJQ010000014:2858420-2859049(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723393.1         -            244 11812at5820          -            168   1.7e-07   29.9  31.8   1   2     0.012       5.4    5.5   6.0     5    79    10    83     7    96 0.75 | transcript=PVPAM_140031200_t1 | gene=PVPAM_140031200 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000014:1152775-1153919(-) | protein_length=244 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723393.1         -            244 11812at5820          -            168   1.7e-07   29.9  31.8   2   2   6.2e-10   2.8e-07   29.2  18.5    58   163   112   232    90   237 0.64 | transcript=PVPAM_140031200_t1 | gene=PVPAM_140031200 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000014:1152775-1153919(-) | protein_length=244 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720345.1         -            167 11812at5820          -            168   1.9e-07   29.7  12.5   1   3   5.6e-06    0.0026   16.3   1.3   103   147    17    62     8    70 0.83 | transcript=PVPAM_090011000_t1 | gene=PVPAM_090011000 | organism=Plasmodium_vivax_PAM | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=CASCJQ010000009:364310-365085(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720345.1         -            167 11812at5820          -            168   1.9e-07   29.7  12.5   2   3   1.4e-05    0.0063   15.0   6.2    76   157    63   144    53   145 0.86 | transcript=PVPAM_090011000_t1 | gene=PVPAM_090011000 | organism=Plasmodium_vivax_PAM | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=CASCJQ010000009:364310-365085(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720345.1         -            167 11812at5820          -            168   1.9e-07   29.7  12.5   3   3     0.022        10    4.6   0.3    22    36   138   152   132   159 0.82 | transcript=PVPAM_090011000_t1 | gene=PVPAM_090011000 | organism=Plasmodium_vivax_PAM | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=CASCJQ010000009:364310-365085(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720470.1         -            662 11812at5820          -            168   2.3e-07   29.5   5.2   1   4       1.7   7.8e+02   -1.5   1.3     8    46    90   128    83   171 0.61 | transcript=PVPAM_090023500_t1 | gene=PVPAM_090023500 | organism=Plasmodium_vivax_PAM | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=CASCJQ010000009:854829-859763(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720470.1         -            662 11812at5820          -            168   2.3e-07   29.5   5.2   2   4      0.19        90    1.5   1.4    54    87   173   206   158   256 0.85 | transcript=PVPAM_090023500_t1 | gene=PVPAM_090023500 | organism=Plasmodium_vivax_PAM | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=CASCJQ010000009:854829-859763(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720470.1         -            662 11812at5820          -            168   2.3e-07   29.5   5.2   3   4       2.2     1e+03   -1.9   4.9    23   121   303   403   293   425 0.66 | transcript=PVPAM_090023500_t1 | gene=PVPAM_090023500 | organism=Plasmodium_vivax_PAM | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=CASCJQ010000009:854829-859763(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720470.1         -            662 11812at5820          -            168   2.3e-07   29.5   5.2   4   4   4.9e-10   2.3e-07   29.5   5.2    64   164   559   655   519   658 0.79 | transcript=PVPAM_090023500_t1 | gene=PVPAM_090023500 | organism=Plasmodium_vivax_PAM | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=CASCJQ010000009:854829-859763(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722949.1         -            136 11812at5820          -            168   5.9e-05   21.6   4.0   1   2     0.026        12    4.4   0.1    12    48     7    44     3    66 0.72 | transcript=PVPAM_130045500_t1 | gene=PVPAM_130045500 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000013:1746960-1747370(-) | protein_length=136 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722949.1         -            136 11812at5820          -            168   5.9e-05   21.6   4.0   2   2   2.8e-06    0.0013   17.3   2.3   103   156    72   125    47   134 0.88 | transcript=PVPAM_130045500_t1 | gene=PVPAM_130045500 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000013:1746960-1747370(-) | protein_length=136 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721361.1         -            136 11812at5820          -            168   0.00012   20.6   0.6   1   2     0.086        40    2.7   0.1    17    55    14    52     6    76 0.74 | transcript=PVPAM_110026400_t1 | gene=PVPAM_110026400 | organism=Plasmodium_vivax_PAM | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=CASCJQ010000011:937732-939202(+) | protein_length=136 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721361.1         -            136 11812at5820          -            168   0.00012   20.6   0.6   2   2   2.9e-06    0.0014   17.2   0.1   100   158    73   130    58   136 0.72 | transcript=PVPAM_110026400_t1 | gene=PVPAM_110026400 | organism=Plasmodium_vivax_PAM | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=CASCJQ010000011:937732-939202(+) | protein_length=136 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719127.1         -            130 11812at5820          -            168   0.00049   18.6   1.0   1   1   1.9e-06   0.00088   17.8   0.7   113   167    74   128    49   129 0.90 | transcript=PVPAM_060013400_t1 | gene=PVPAM_060013400 | organism=Plasmodium_vivax_PAM | gene_product=myosin essential light chain ELC, putative | transcript_product=myosin essential light chain ELC, putative | location=CASCJQ010000006:359871-360541(+) | protein_length=130 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720204.1         -            604 11812at5820          -            168    0.0058   15.1   7.9   1   3       1.5     7e+02   -1.4   0.2   100   122   212   234   176   262 0.65 | transcript=PVPAM_080042600_t1 | gene=PVPAM_080042600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000008:1669784-1672716(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720204.1         -            604 11812at5820          -            168    0.0058   15.1   7.9   2   3     0.017       7.8    5.0   0.1    84   159   444   518   424   527 0.83 | transcript=PVPAM_080042600_t1 | gene=PVPAM_080042600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000008:1669784-1672716(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720204.1         -            604 11812at5820          -            168    0.0058   15.1   7.9   3   3     3e-05     0.014   13.9   1.3    98   166   528   601   514   603 0.76 | transcript=PVPAM_080042600_t1 | gene=PVPAM_080042600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000008:1669784-1672716(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722444.1         -            207 11812at5820          -            168      0.12   10.9  16.6   1   3    0.0019      0.86    8.1   2.4   103   151    46    94    39   110 0.82 | transcript=PVPAM_120068100_t1 | gene=PVPAM_120068100 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000012:2568832-2569988(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722444.1         -            207 11812at5820          -            168      0.12   10.9  16.6   2   3     0.021       9.6    4.7   1.5    99   129   120   149    91   152 0.78 | transcript=PVPAM_120068100_t1 | gene=PVPAM_120068100 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000012:2568832-2569988(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722444.1         -            207 11812at5820          -            168      0.12   10.9  16.6   3   3    0.0026       1.2    7.6   1.3    32    82   146   195   143   203 0.77 | transcript=PVPAM_120068100_t1 | gene=PVPAM_120068100 | organism=Plasmodium_vivax_PAM | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=CASCJQ010000012:2568832-2569988(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11812at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11812at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11812at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:45 2026
# [ok]
