#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722954.1         -            972 1986at5820           -            897         0 1991.7  39.2   1   1         0         0 1983.0  39.2     1   897    11   972    11   972 0.97 | transcript=PVPAM_130046000_t1 | gene=PVPAM_130046000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=CASCJQ010000013:1768405-1771500(-) | protein_length=972 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720862.1         -            971 1986at5820           -            897   1.9e-63  213.2   3.1   1   3   1.1e-63   8.8e-61  204.4   0.3   267   672   197   618   180   641 0.79 | transcript=PVPAM_100013000_t1 | gene=PVPAM_100013000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=CASCJQ010000010:352385-355420(+) | protein_length=971 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720862.1         -            971 1986at5820           -            897   1.9e-63  213.2   3.1   2   3   1.7e-07   0.00014   18.5   0.2   713   778   707   780   676   785 0.74 | transcript=PVPAM_100013000_t1 | gene=PVPAM_100013000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=CASCJQ010000010:352385-355420(+) | protein_length=971 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720862.1         -            971 1986at5820           -            897   1.9e-63  213.2   3.1   3   3         8   6.5e+03  -19.0  20.3    34   117   799   881   781   898 0.49 | transcript=PVPAM_100013000_t1 | gene=PVPAM_100013000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=CASCJQ010000010:352385-355420(+) | protein_length=971 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722758.1         -           1328 1986at5820           -            897   1.1e-49  167.7  11.1   1   3   1.4e-08   1.1e-05   22.0   0.7   255   394   257   401   236   423 0.77 | transcript=PVPAM_130025900_t1 | gene=PVPAM_130025900 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=CASCJQ010000013:945155-949814(-) | protein_length=1328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722758.1         -           1328 1986at5820           -            897   1.1e-49  167.7  11.1   2   3   3.9e-43   3.2e-40  136.4   0.1   449   663   815  1029   787  1043 0.87 | transcript=PVPAM_130025900_t1 | gene=PVPAM_130025900 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=CASCJQ010000013:945155-949814(-) | protein_length=1328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722758.1         -           1328 1986at5820           -            897   1.1e-49  167.7  11.1   3   3   2.1e-06    0.0017   14.8   0.9   690   767  1142  1217  1127  1306 0.67 | transcript=PVPAM_130025900_t1 | gene=PVPAM_130025900 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=CASCJQ010000013:945155-949814(-) | protein_length=1328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 1986at5820           -            897   1.3e-31  107.9   7.0   1   3    0.0031       2.5    4.4   0.1   317   422   487   583   473   606 0.77 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 1986at5820           -            897   1.3e-31  107.9   7.0   2   3   2.1e-27   1.7e-24   84.3   0.2   506   656   896  1047   889  1053 0.86 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 1986at5820           -            897   1.3e-31  107.9   7.0   3   3   2.1e-08   1.7e-05   21.5   0.2   693   785  1163  1246  1156  1265 0.77 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1986at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1986at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1986at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:37 2026
# [ok]
