#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721459.1         -           1287 2168at5820           -            946         0 1725.9 128.5   1   5  1.2e-146  2.5e-143  477.7  30.5     1   233     1   234     1   242 0.98 | transcript=PVPAM_110036400_t1 | gene=PVPAM_110036400 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=CASCJQ010000011:1321187-1325970(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719480.1         -           1319 2168at5820           -            946   9.7e-21   72.0  33.1   3   4    0.0047        10    2.4   5.9   572   670   633   737   602   787 0.68 | transcript=PVPAM_070009400_t1 | gene=PVPAM_070009400 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=CASCJQ010000007:246961-251977(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719480.1         -           1319 2168at5820           -            946   9.7e-21   72.0  33.1   4   4       1.8     4e+03   -6.1   5.6   696   781  1208  1300  1186  1315 0.50 | transcript=PVPAM_070009400_t1 | gene=PVPAM_070009400 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=CASCJQ010000007:246961-251977(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2168at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2168at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2168at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:21 2026
# [ok]
