#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721223.1         -            887 3438at5820           -            675         0 1102.3  80.6   1   6   5.6e-13   2.8e-10   37.9   0.0     1    43     1    58     1    61 0.85 | transcript=PVPAM_110012500_t1 | gene=PVPAM_110012500 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=CASCJQ010000011:289044-291920(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718135.1         -            499 3438at5820           -            675   2.9e-11   41.1   0.6   2   2     0.017       8.6    3.2   2.7   206   283   306   382   249   450 0.64 | transcript=PVPAM_030013100_t1 | gene=PVPAM_030013100 | organism=Plasmodium_vivax_PAM | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=CASCJQ010000003:374669-376168(+) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 3438at5820           -            675   8.7e-10   36.3   1.2   1   2   3.3e-10   1.7e-07   28.7   0.4   105   266    18   189     6   192 0.76 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 3438at5820           -            675   8.7e-10   36.3   1.2   2   2    0.0019      0.92    6.4   0.0   224   320   189   279   188   288 0.79 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 3438at5820           -            675   4.1e-07   27.4  22.9   1   5      0.93   4.6e+02   -2.5   4.1   423   475    16    72    11   113 0.69 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 3438at5820           -            675   4.1e-07   27.4  22.9   2   5   0.00025      0.12    9.3   0.0   167   244   137   215   120   229 0.81 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 3438at5820           -            675   4.1e-07   27.4  22.9   3   5   1.9e-05    0.0096   13.0   4.5    81   263   341   523   337   527 0.73 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 3438at5820           -            675   4.1e-07   27.4  22.9   4   5   1.8e-08   8.9e-06   23.0   4.5    77   273   382   575   381   580 0.82 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 3438at5820           -            675   4.1e-07   27.4  22.9   5   5      0.23   1.2e+02   -0.5   0.0   227   263   623   659   607   660 0.88 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 3438at5820           -            675   1.3e-06   25.8  12.4   1   2   5.3e-07   0.00026   18.2   8.2   138   313   878  1059   869  1075 0.79 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 3438at5820           -            675   1.3e-06   25.8  12.4   2   2   0.00044      0.22    8.5   0.1   163   264  1078  1187  1060  1195 0.65 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720447.1         -            469 3438at5820           -            675   7.6e-06   23.2   8.5   1   3      0.21     1e+02   -0.3   0.1   126   180    81   138    32   146 0.56 | transcript=PVPAM_090021200_t1 | gene=PVPAM_090021200 | organism=Plasmodium_vivax_PAM | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=CASCJQ010000009:766466-767875(-) | protein_length=469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720447.1         -            469 3438at5820           -            675   7.6e-06   23.2   8.5   2   3   1.5e-05    0.0072   13.4   0.4   228   267   212   251   201   262 0.87 | transcript=PVPAM_090021200_t1 | gene=PVPAM_090021200 | organism=Plasmodium_vivax_PAM | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=CASCJQ010000009:766466-767875(-) | protein_length=469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720447.1         -            469 3438at5820           -            675   7.6e-06   23.2   8.5   3   3   1.1e-05    0.0053   13.8   0.2   199   265   334   400   259   418 0.67 | transcript=PVPAM_090021200_t1 | gene=PVPAM_090021200 | organism=Plasmodium_vivax_PAM | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=CASCJQ010000009:766466-767875(-) | protein_length=469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 3438at5820           -            675   0.00019   18.6   0.4   1   2     0.012       5.9    3.8   0.0   227   268  1711  1752  1707  1830 0.71 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 3438at5820           -            675   0.00019   18.6   0.4   2   2   2.4e-05     0.012   12.7   0.1    80   134  1919  1977  1916  1981 0.81 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722738.1         -            694 3438at5820           -            675   0.00034   17.8  22.0   1   4      0.11        54    0.6   0.2   232   264    10    42     2    57 0.70 | transcript=PVPAM_130023900_t1 | gene=PVPAM_130023900 | organism=Plasmodium_vivax_PAM | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=CASCJQ010000013:858457-860541(+) | protein_length=694 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722738.1         -            694 3438at5820           -            675   0.00034   17.8  22.0   2   4   8.5e-05     0.042   10.9   1.9   186   263    79   160    65   169 0.87 | transcript=PVPAM_130023900_t1 | gene=PVPAM_130023900 | organism=Plasmodium_vivax_PAM | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=CASCJQ010000013:858457-860541(+) | protein_length=694 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722738.1         -            694 3438at5820           -            675   0.00034   17.8  22.0   3   4   7.3e-07   0.00036   17.7   0.9   206   269   261   328   242   345 0.80 | transcript=PVPAM_130023900_t1 | gene=PVPAM_130023900 | organism=Plasmodium_vivax_PAM | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=CASCJQ010000013:858457-860541(+) | protein_length=694 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722738.1         -            694 3438at5820           -            675   0.00034   17.8  22.0   4   4      0.11        53    0.6   0.8   154   200   612   661   590   690 0.73 | transcript=PVPAM_130023900_t1 | gene=PVPAM_130023900 | organism=Plasmodium_vivax_PAM | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=CASCJQ010000013:858457-860541(+) | protein_length=694 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721552.1         -            361 3438at5820           -            675    0.0042   14.2   0.1   1   1   1.4e-05    0.0071   13.4   0.1   206   312   165   267   158   311 0.82 | transcript=PVPAM_110045700_t1 | gene=PVPAM_110045700 | organism=Plasmodium_vivax_PAM | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=CASCJQ010000011:1691106-1693660(+) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723644.1         -            445 3438at5820           -            675     0.015   12.3   3.3   1   2   0.00053      0.26    8.2   0.4   118   268    87   150    55   240 0.66 | transcript=PVPAM_140056800_t1 | gene=PVPAM_140056800 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2233103-2234440(-) | protein_length=445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723644.1         -            445 3438at5820           -            675     0.015   12.3   3.3   2   2    0.0057       2.9    4.8   0.1   223   269   302   347   280   357 0.85 | transcript=PVPAM_140056800_t1 | gene=PVPAM_140056800 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000014:2233103-2234440(-) | protein_length=445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723646.1         -            763 3438at5820           -            675     0.045   10.8   9.8   1   2   0.00037      0.18    8.8   1.8   193   270    11    94     4   139 0.71 | transcript=PVPAM_140057000_t1 | gene=PVPAM_140057000 | organism=Plasmodium_vivax_PAM | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=CASCJQ010000014:2238026-2240317(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723646.1         -            763 3438at5820           -            675     0.045   10.8   9.8   2   2    0.0017      0.86    6.5   1.2   242   321   241   319   201   326 0.76 | transcript=PVPAM_140057000_t1 | gene=PVPAM_140057000 | organism=Plasmodium_vivax_PAM | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=CASCJQ010000014:2238026-2240317(+) | protein_length=763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3438at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3438at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3438at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:50 2026
# [ok]
