#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722762.1         -            758 2821at5820           -            413    1e-275  912.5  17.9   1   3  2.7e-130  2.2e-127  423.9   4.5     1   192     1   196     1   211 0.97 | transcript=PVPAM_130026300_t1 | gene=PVPAM_130026300 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=CASCJQ010000013:971149-973889(+) | protein_length=758 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722954.1         -            972 2821at5820           -            413   4.1e-26   90.4   0.4   3   3   1.4e-13   1.1e-10   39.6   0.1   376   413   607   644   588   644 0.93 | transcript=PVPAM_130046000_t1 | gene=PVPAM_130046000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=CASCJQ010000013:1768405-1771500(-) | protein_length=972 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721305.1         -            944 2821at5820           -            413   1.2e-24   85.6   5.2   1   3   2.1e-07   0.00017   19.2   0.0   216   272   292   348   277   371 0.87 | transcript=PVPAM_110020800_t1 | gene=PVPAM_110020800 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=CASCJQ010000011:671628-674462(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721305.1         -            944 2821at5820           -            413   1.2e-24   85.6   5.2   2   3     6e-10   4.8e-07   27.6   0.1   315   378   438   500   399   507 0.75 | transcript=PVPAM_110020800_t1 | gene=PVPAM_110020800 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=CASCJQ010000011:671628-674462(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721305.1         -            944 2821at5820           -            413   1.2e-24   85.6   5.2   3   3   2.7e-13   2.2e-10   38.6   0.6   374   413   540   579   537   579 0.97 | transcript=PVPAM_110020800_t1 | gene=PVPAM_110020800 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=CASCJQ010000011:671628-674462(-) | protein_length=944 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723338.1         -            955 2821at5820           -            413   2.8e-24   84.3   6.1   1   4         1   8.3e+02   -2.8   0.1    22    60    95   134    79   147 0.71 | transcript=PVPAM_140025700_t1 | gene=PVPAM_140025700 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=CASCJQ010000014:900877-903744(+) | protein_length=955 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723338.1         -            955 2821at5820           -            413   2.8e-24   84.3   6.1   2   4   1.6e-07   0.00013   19.6   0.1   211   297   344   433   253   455 0.86 | transcript=PVPAM_140025700_t1 | gene=PVPAM_140025700 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=CASCJQ010000014:900877-903744(+) | protein_length=955 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723338.1         -            955 2821at5820           -            413   2.8e-24   84.3   6.1   3   4   3.6e-13   2.9e-10   38.2   0.0   304   379   471   546   459   552 0.90 | transcript=PVPAM_140025700_t1 | gene=PVPAM_140025700 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=CASCJQ010000014:900877-903744(+) | protein_length=955 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723338.1         -            955 2821at5820           -            413   2.8e-24   84.3   6.1   4   4   6.9e-10   5.5e-07   27.4   0.2   378   413   589   624   584   624 0.94 | transcript=PVPAM_140025700_t1 | gene=PVPAM_140025700 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=CASCJQ010000014:900877-903744(+) | protein_length=955 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 2821at5820           -            413   8.1e-08   30.1   0.1   1   4      0.34   2.7e+02   -1.2   0.3   129   151   319   341   257   396 0.61 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 2821at5820           -            413   8.1e-08   30.1   0.1   2   4      0.14   1.2e+02   -0.0   0.0   205   270   496   555   475   574 0.81 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 2821at5820           -            413   8.1e-08   30.1   0.1   3   4      0.68   5.5e+02   -2.2   0.0   302   355   694   752   686   756 0.71 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718941.1         -           1322 2821at5820           -            413   8.1e-08   30.1   0.1   4   4     1e-10   8.1e-08   30.1   0.1   378   413   933   968   924   968 0.94 | transcript=PVPAM_050033300_t1 | gene=PVPAM_050033300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=CASCJQ010000005:1157436-1161404(-) | protein_length=1322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722758.1         -           1328 2821at5820           -            413   9.2e-07   26.7   0.8   1   3     0.021        17    2.7   0.1   246   288   375   417   356   469 0.71 | transcript=PVPAM_130025900_t1 | gene=PVPAM_130025900 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=CASCJQ010000013:945155-949814(-) | protein_length=1328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722758.1         -           1328 2821at5820           -            413   9.2e-07   26.7   0.8   2   3      0.11        91    0.3   0.0   332   378   820   867   799   877 0.67 | transcript=PVPAM_130025900_t1 | gene=PVPAM_130025900 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=CASCJQ010000013:945155-949814(-) | protein_length=1328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722758.1         -           1328 2821at5820           -            413   9.2e-07   26.7   0.8   3   3   1.8e-07   0.00015   19.4   0.0   376   412   909   945   901   946 0.91 | transcript=PVPAM_130025900_t1 | gene=PVPAM_130025900 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=CASCJQ010000013:945155-949814(-) | protein_length=1328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2821at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2821at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2821at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:01 2026
# [ok]
