#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719485.1         -           1589 1668at5820           -            781         0 1185.6 228.5   1   6   1.9e-08   3.1e-05   21.1   3.3     1    78     1    82     1   139 0.73 | transcript=PVPAM_070009900_t1 | gene=PVPAM_070009900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=CASCJQ010000007:271893-276833(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 1668at5820           -            781   1.7e-07   28.5   1.6   6   6   1.1e-10   1.7e-07   28.5   1.6   652   780  1186  1321  1167  1322 0.77 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720860.1         -            590 1668at5820           -            781     9e-07   26.1   3.7   1   3   7.2e-05      0.12    9.2   0.0   428   453   108   133    72   154 0.80 | transcript=PVPAM_100012800_t1 | gene=PVPAM_100012800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=CASCJQ010000010:345423-347695(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720860.1         -            590 1668at5820           -            781     9e-07   26.1   3.7   2   3     0.034        55    0.4   1.0   262   398   420   441   316   472 0.57 | transcript=PVPAM_100012800_t1 | gene=PVPAM_100012800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=CASCJQ010000010:345423-347695(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720860.1         -            590 1668at5820           -            781     9e-07   26.1   3.7   3   3   1.4e-06    0.0022   14.9   0.1   718   752   487   521   478   557 0.86 | transcript=PVPAM_100012800_t1 | gene=PVPAM_100012800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=CASCJQ010000010:345423-347695(+) | protein_length=590 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721104.1         -            456 1668at5820           -            781      0.77    6.5  15.8   1   1   0.00088       1.4    5.6  15.8   205   313   272   378   267   423 0.75 | transcript=PVPAM_100037200_t1 | gene=PVPAM_100037200 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000010:1384535-1385905(-) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1668at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1668at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1668at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:02 2026
# [ok]
