#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718865.1         -            406 7619at5820           -            348  2.9e-159  528.3   8.8   1   3   5.7e-83   5.3e-80  267.7   4.6     3   150     4   155     2   158 0.98 | transcript=PVPAM_050025900_t1 | gene=PVPAM_050025900 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=CASCJQ010000005:896633-897853(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 7619at5820           -            348   1.3e-20   72.4  15.4   3   4   2.5e-05     0.023   12.3   0.4    92   174   818   901   814   919 0.78 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 7619at5820           -            348   1.3e-20   72.4  15.4   4   4       1.2   1.1e+03   -3.1   0.0   186   234  1199  1248  1196  1252 0.78 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721203.1         -            534 7619at5820           -            348   9.4e-18   62.9   4.2   1   2     1e-20   9.4e-18   62.9   4.2     3   147   104   252   102   268 0.86 | transcript=PVPAM_110010500_t1 | gene=PVPAM_110010500 | organism=Plasmodium_vivax_PAM | gene_product=adenylyltransferase and sulfurtransferase UBA4, putative | transcript_product=adenylyltransferase and sulfurtransferase UBA4, putative | location=CASCJQ010000011:214629-216233(+) | protein_length=534 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721203.1         -            534 7619at5820           -            348   9.4e-18   62.9   4.2   2   2         2   1.8e+03   -3.8   0.2    85   115   379   409   372   415 0.76 | transcript=PVPAM_110010500_t1 | gene=PVPAM_110010500 | organism=Plasmodium_vivax_PAM | gene_product=adenylyltransferase and sulfurtransferase UBA4, putative | transcript_product=adenylyltransferase and sulfurtransferase UBA4, putative | location=CASCJQ010000011:214629-216233(+) | protein_length=534 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720545.1         -           1222 7619at5820           -            348   1.3e-07   29.5   0.0   1   1   2.6e-10   2.4e-07   28.7   0.0     3    54   760   811   758   827 0.92 | transcript=PVPAM_090031100_t1 | gene=PVPAM_090031100 | organism=Plasmodium_vivax_PAM | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=CASCJQ010000009:1186608-1190433(-) | protein_length=1222 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720729.1         -            359 7619at5820           -            348   1.1e-06   26.5   4.8   1   1   2.1e-09   1.9e-06   25.8   4.8     2    68    30    95    29   132 0.83 | transcript=PVPAM_090049400_t1 | gene=PVPAM_090049400 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 1, putative | transcript_product=SUMO-activating enzyme subunit 1, putative | location=CASCJQ010000009:1987492-1988571(+) | protein_length=359 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7619at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7619at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7619at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:20 2026
# [ok]
