#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723375.1         -            124 14208at5820          -            105     3e-67  222.3   5.0   1   1   2.3e-69   3.4e-67  222.1   5.0     1   105     7   111     7   111 0.99 | transcript=PVPAM_140029400_t1 | gene=PVPAM_140029400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:1055808-1056679(-) | protein_length=124 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722140.1         -           1026 14208at5820          -            105   6.3e-14   50.9   0.1   2   2     2e-09     3e-07   29.4   0.0     4    82   736   817   734   825 0.90 | transcript=PVPAM_120037800_t1 | gene=PVPAM_120037800 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=CASCJQ010000012:1308793-1312028(-) | protein_length=1026 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 14208at5820          -            105   1.6e-13   49.6   2.0   1   2   9.5e-11   1.4e-08   33.7   0.3     4    78   120   192   118   203 0.88 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 14208at5820          -            105   1.6e-13   49.6   2.0   2   2   5.2e-05    0.0076   15.3   0.1     4    76   204   274   201   286 0.78 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720361.1         -            753 14208at5820          -            105   4.7e-12   44.9  11.5   1   2   4.4e-07   6.5e-05   21.9   0.4    13    81   374   441   364   455 0.78 | transcript=PVPAM_090012600_t1 | gene=PVPAM_090012600 | organism=Plasmodium_vivax_PAM | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=CASCJQ010000009:419468-422979(+) | protein_length=753 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720361.1         -            753 14208at5820          -            105   4.7e-12   44.9  11.5   2   2   1.4e-09   2.1e-07   29.9   0.3     4    78   665   740   663   752 0.86 | transcript=PVPAM_090012600_t1 | gene=PVPAM_090012600 | organism=Plasmodium_vivax_PAM | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=CASCJQ010000009:419468-422979(+) | protein_length=753 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 14208at5820          -            105   1.8e-11   43.0   9.9   1   3    0.0036      0.53    9.3   0.5    23    79    39    90    19   101 0.80 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 14208at5820          -            105   1.8e-11   43.0   9.9   2   3   6.5e-07   9.5e-05   21.4   0.2    11    80   127   196   117   207 0.78 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 14208at5820          -            105   1.8e-11   43.0   9.9   3   3   1.2e-05    0.0017   17.4   0.3     9    86   216   290   208   305 0.78 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720552.1         -           1054 14208at5820          -            105   3.1e-11   42.2   0.0   1   1   4.4e-13   6.5e-11   41.2   0.0    18    82    22    86    12    96 0.91 | transcript=PVPAM_090031800_t1 | gene=PVPAM_090031800 | organism=Plasmodium_vivax_PAM | gene_product=alternative splicing factor SR-MG, putative | transcript_product=alternative splicing factor SR-MG, putative | location=CASCJQ010000009:1220788-1223952(+) | protein_length=1054 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721102.1         -            328 14208at5820          -            105   1.2e-10   40.4   0.0   1   1   2.5e-12   3.7e-10   38.8   0.0    20    80    30    90    19   101 0.91 | transcript=PVPAM_100037000_t1 | gene=PVPAM_100037000 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=CASCJQ010000010:1378622-1379608(+) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719920.1         -            322 14208at5820          -            105   1.4e-10   40.1   0.1   1   1   1.8e-12   2.7e-10   39.2   0.1     3    82    91   170    89   192 0.92 | transcript=PVPAM_080014300_t1 | gene=PVPAM_080014300 | organism=Plasmodium_vivax_PAM | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=CASCJQ010000008:471177-474279(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723234.1         -            505 14208at5820          -            105   3.3e-10   38.9   4.8   1   2   7.3e-08   1.1e-05   24.4   0.8     2    82   227   308   226   323 0.84 | transcript=PVPAM_140015300_t1 | gene=PVPAM_140015300 | organism=Plasmodium_vivax_PAM | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=CASCJQ010000014:489481-491318(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723234.1         -            505 14208at5820          -            105   3.3e-10   38.9   4.8   2   2   7.3e-08   1.1e-05   24.4   0.2     2    79   433   504   432   505 0.87 | transcript=PVPAM_140015300_t1 | gene=PVPAM_140015300 | organism=Plasmodium_vivax_PAM | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=CASCJQ010000014:489481-491318(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 14208at5820          -            105   3.5e-10   38.9   5.3   1   5       6.7   9.8e+02   -1.2   1.5    59    79    18    39     4    68 0.54 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 14208at5820          -            105   3.5e-10   38.9   5.3   2   5     0.063       9.3    5.3   0.1     4    61    88   145    86   155 0.86 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 14208at5820          -            105   3.5e-10   38.9   5.3   3   5   2.8e-06   0.00042   19.3   1.0     4    89   186   273   183   286 0.86 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 14208at5820          -            105   3.5e-10   38.9   5.3   4   5       7.8   1.2e+03   -1.4   0.5    57    86   275   304   268   340 0.67 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 14208at5820          -            105   3.5e-10   38.9   5.3   5   5   1.6e-09   2.4e-07   29.8   0.2    15    80   411   476   398   491 0.85 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719178.1         -            531 14208at5820          -            105     1e-09   37.4   5.4   1   2   3.6e-11   5.2e-09   35.1   0.1     3    82    14    93    12   101 0.92 | transcript=PVPAM_060018500_t1 | gene=PVPAM_060018500 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=CASCJQ010000006:592961-595690(-) | protein_length=531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719178.1         -            531 14208at5820          -            105     1e-09   37.4   5.4   2   2      0.18        26    3.9   0.1    40    95   143   200   115   210 0.64 | transcript=PVPAM_060018500_t1 | gene=PVPAM_060018500 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=CASCJQ010000006:592961-595690(-) | protein_length=531 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723433.1         -           1078 14208at5820          -            105   3.9e-09   35.5   0.7   1   1   2.7e-11   3.9e-09   35.5   0.7     2    80   221   299   220   324 0.91 | transcript=PVPAM_140035500_t1 | gene=PVPAM_140035500 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:1296815-1300051(+) | protein_length=1078 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723587.1         -            110 14208at5820          -            105   4.6e-09   35.3   0.3   1   1   3.7e-11   5.4e-09   35.0   0.3     2    89    14    98    13   110 0.87 | transcript=PVPAM_140051100_t1 | gene=PVPAM_140051100 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=CASCJQ010000014:1989748-1990335(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723515.1         -           1116 14208at5820          -            105   9.2e-09   34.3  18.8   1   5         7     1e+03   -1.2   0.2    49    89    48    87    34    90 0.72 | transcript=PVPAM_140043900_t1 | gene=PVPAM_140043900 | organism=Plasmodium_vivax_PAM | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=CASCJQ010000014:1630544-1633894(+) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723515.1         -           1116 14208at5820          -            105   9.2e-09   34.3  18.8   2   5      0.81   1.2e+02    1.8   0.8    41    76    89   124    68   140 0.83 | transcript=PVPAM_140043900_t1 | gene=PVPAM_140043900 | organism=Plasmodium_vivax_PAM | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=CASCJQ010000014:1630544-1633894(+) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723515.1         -           1116 14208at5820          -            105   9.2e-09   34.3  18.8   3   5     0.034         5    6.2   0.3    40    83   496   539   471   548 0.85 | transcript=PVPAM_140043900_t1 | gene=PVPAM_140043900 | organism=Plasmodium_vivax_PAM | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=CASCJQ010000014:1630544-1633894(+) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723515.1         -           1116 14208at5820          -            105   9.2e-09   34.3  18.8   4   5     0.045       6.6    5.8   0.2    42    84   913   955   906   972 0.86 | transcript=PVPAM_140043900_t1 | gene=PVPAM_140043900 | organism=Plasmodium_vivax_PAM | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=CASCJQ010000014:1630544-1633894(+) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723515.1         -           1116 14208at5820          -            105   9.2e-09   34.3  18.8   5   5     2e-09   2.9e-07   29.5   0.3     4    78   977  1050   974  1067 0.88 | transcript=PVPAM_140043900_t1 | gene=PVPAM_140043900 | organism=Plasmodium_vivax_PAM | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=CASCJQ010000014:1630544-1633894(+) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721566.1         -            747 14208at5820          -            105   1.8e-08   33.3   5.5   1   3      0.48        71    2.5   0.1     9    80   410   480   402   487 0.73 | transcript=PVPAM_110047100_t1 | gene=PVPAM_110047100 | organism=Plasmodium_vivax_PAM | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=CASCJQ010000011:1758675-1761668(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721566.1         -            747 14208at5820          -            105   1.8e-08   33.3   5.5   2   3         1   1.5e+02    1.5   0.1    13    88   562   641   551   652 0.66 | transcript=PVPAM_110047100_t1 | gene=PVPAM_110047100 | organism=Plasmodium_vivax_PAM | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=CASCJQ010000011:1758675-1761668(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721566.1         -            747 14208at5820          -            105   1.8e-08   33.3   5.5   3   3   1.3e-09   1.9e-07   30.1   0.2     1    81   667   746   667   747 0.89 | transcript=PVPAM_110047100_t1 | gene=PVPAM_110047100 | organism=Plasmodium_vivax_PAM | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=CASCJQ010000011:1758675-1761668(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721338.1         -            670 14208at5820          -            105   2.6e-08   32.8   8.7   1   2   0.00012     0.018   14.1   1.1     2    79    23   107    22   117 0.66 | transcript=PVPAM_110024100_t1 | gene=PVPAM_110024100 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 3, putative | transcript_product=polyadenylate-binding protein 3, putative | location=CASCJQ010000011:819435-821447(-) | protein_length=670 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721338.1         -            670 14208at5820          -            105   2.6e-08   32.8   8.7   2   2   4.5e-07   6.7e-05   21.9   1.3     4    83   133   213   130   235 0.92 | transcript=PVPAM_110024100_t1 | gene=PVPAM_110024100 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 3, putative | transcript_product=polyadenylate-binding protein 3, putative | location=CASCJQ010000011:819435-821447(-) | protein_length=670 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719779.1         -            721 14208at5820          -            105   5.9e-08   31.7   0.1   1   1   7.7e-10   1.1e-07   30.8   0.1     4    79     9    84     6    93 0.93 | transcript=PVPAM_070039300_t1 | gene=PVPAM_070039300 | organism=Plasmodium_vivax_PAM | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=CASCJQ010000007:1427879-1430044(+) | protein_length=721 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723072.1         -            107 14208at5820          -            105   6.1e-08   31.7   0.3   1   1   4.8e-10     7e-08   31.5   0.3     3    79    24   100    22   107 0.90 | transcript=PVPAM_130057800_t1 | gene=PVPAM_130057800 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=CASCJQ010000013:2343283-2343975(-) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 14208at5820          -            105   1.6e-07   30.3   0.1   1   2   0.00054      0.08   12.0   0.0     3    63     8    67     6   104 0.88 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 14208at5820          -            105   1.6e-07   30.3   0.1   2   2   2.6e-05    0.0039   16.2   0.1    15    80   168   232   156   240 0.86 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718904.1         -            236 14208at5820          -            105     1e-06   27.7   0.0   1   2   3.1e-08   4.6e-06   25.6   0.1     2    76    34   108    33   112 0.96 | transcript=PVPAM_050029600_t1 | gene=PVPAM_050029600 | organism=Plasmodium_vivax_PAM | gene_product=nuclear cap-binding protein subunit 2, putative | transcript_product=nuclear cap-binding protein subunit 2, putative | location=CASCJQ010000005:1023050-1023894(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718904.1         -            236 14208at5820          -            105     1e-06   27.7   0.0   2   2       8.3   1.2e+03   -1.5   0.0    15    30   177   192   171   203 0.76 | transcript=PVPAM_050029600_t1 | gene=PVPAM_050029600 | organism=Plasmodium_vivax_PAM | gene_product=nuclear cap-binding protein subunit 2, putative | transcript_product=nuclear cap-binding protein subunit 2, putative | location=CASCJQ010000005:1023050-1023894(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718881.1         -            269 14208at5820          -            105   2.7e-06   26.4   8.0   1   3       1.6   2.4e+02    0.8   2.4    56    88    40    71    12    94 0.69 | transcript=PVPAM_050027300_t1 | gene=PVPAM_050027300 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=CASCJQ010000005:938613-940758(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718881.1         -            269 14208at5820          -            105   2.7e-06   26.4   8.0   2   3      0.47        69    2.5   0.1    26    59   110   142    95   159 0.69 | transcript=PVPAM_050027300_t1 | gene=PVPAM_050027300 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=CASCJQ010000005:938613-940758(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718881.1         -            269 14208at5820          -            105   2.7e-06   26.4   8.0   3   3   6.1e-08     9e-06   24.7   0.0     6    79   192   265   188   268 0.90 | transcript=PVPAM_050027300_t1 | gene=PVPAM_050027300 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=CASCJQ010000005:938613-940758(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722430.1         -            786 14208at5820          -            105   3.9e-06   25.8   0.3   1   1   6.9e-08     1e-05   24.5   0.3     3    85    30   113    28   126 0.90 | transcript=PVPAM_120066700_t1 | gene=PVPAM_120066700 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000012:2518224-2521284(-) | protein_length=786 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720595.1         -            156 14208at5820          -            105   1.4e-05   24.1   0.7   1   1   1.3e-07     2e-05   23.6   0.7     2    83     4    91     3   108 0.82 | transcript=PVPAM_090035900_t1 | gene=PVPAM_090035900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein s1, putative | transcript_product=RNA-binding protein s1, putative | location=CASCJQ010000009:1371439-1371909(-) | protein_length=156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719680.1         -            202 14208at5820          -            105   2.3e-05   23.4   0.1   1   1   3.3e-07   4.8e-05   22.3   0.0     4    76    73   144    70   157 0.87 | transcript=PVPAM_070029400_t1 | gene=PVPAM_070029400 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=CASCJQ010000007:1062772-1064247(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719800.1         -            192 14208at5820          -            105   3.7e-05   22.7   1.1   1   2   2.5e-06   0.00037   19.5   0.6     2    82    10    91     9   105 0.79 | transcript=PVPAM_070041400_t1 | gene=PVPAM_070041400 | organism=Plasmodium_vivax_PAM | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=CASCJQ010000007:1480328-1480906(-) | protein_length=192 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
