#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722329.1         -           1038 1690at5820           -            766         0 1467.6  76.8   1   4    1e-173  1.4e-170  568.0  14.3     1   259     1   259     1   268 0.99 | transcript=PVPAM_120056600_t1 | gene=PVPAM_120056600 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=CASCJQ010000012:2092170-2095721(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717741.1         -           1422 1690at5820           -            766   1.3e-06   25.7   0.4   2   3     1e-09   1.3e-06   25.7   0.4   110   178   208   276   200   286 0.89 | transcript=PVPAM_010025500_t1 | gene=PVPAM_010025500 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=CASCJQ010000001:920118-924702(-) | protein_length=1422 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717741.1         -           1422 1690at5820           -            766   1.3e-06   25.7   0.4   3   3      0.95   1.2e+03   -3.9   0.1   307   371   505   576   500   589 0.57 | transcript=PVPAM_010025500_t1 | gene=PVPAM_010025500 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=CASCJQ010000001:920118-924702(-) | protein_length=1422 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722850.1         -           1313 1690at5820           -            766   1.7e-06   25.3  19.6   1   3   9.4e-08   0.00012   19.2   0.5    98   179    99   181    68   213 0.85 | transcript=PVPAM_130035200_t1 | gene=PVPAM_130035200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000013:1357192-1361475(-) | protein_length=1313 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722850.1         -           1313 1690at5820           -            766   1.7e-06   25.3  19.6   2   3   2.1e-06    0.0027   14.8   6.3   260   380   354   474   341   492 0.80 | transcript=PVPAM_130035200_t1 | gene=PVPAM_130035200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000013:1357192-1361475(-) | protein_length=1313 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722850.1         -           1313 1690at5820           -            766   1.7e-06   25.3  19.6   3   3      0.12   1.6e+02   -1.0   0.4   102   183   535   620   532   663 0.80 | transcript=PVPAM_130035200_t1 | gene=PVPAM_130035200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000013:1357192-1361475(-) | protein_length=1313 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1690at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1690at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1690at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:09 2026
# [ok]
