#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718556.1         -           1484 1791at5820           -            805         0 1395.9  74.9   1   8  5.7e-101   9.2e-98  326.9   0.4     1   158     1   158     1   178 0.96 | transcript=PVPAM_040030000_t1 | gene=PVPAM_040030000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=CASCJQ010000004:1051281-1055735(+) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718128.1         -            623 1791at5820           -            805   1.3e-32  111.4  19.4   4   4   1.5e-06    0.0025   14.6   7.4   668   768   281   378   272   421 0.79 | transcript=PVPAM_030012400_t1 | gene=PVPAM_030012400 | organism=Plasmodium_vivax_PAM | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=CASCJQ010000003:342440-344311(-) | protein_length=623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719978.1         -            407 1791at5820           -            805   1.1e-16   58.7  19.0   1   2   9.1e-05      0.15    8.7   3.5    20    98    25   102     1   138 0.74 | transcript=PVPAM_080020000_t1 | gene=PVPAM_080020000 | organism=Plasmodium_vivax_PAM | gene_product=flap endonuclease, putative | transcript_product=flap endonuclease, putative | location=CASCJQ010000008:712436-713659(-) | protein_length=407 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719978.1         -            407 1791at5820           -            805   1.1e-16   58.7  19.0   2   2   4.3e-19     7e-16   56.1   7.6   507   635   233   359   204   392 0.86 | transcript=PVPAM_080020000_t1 | gene=PVPAM_080020000 | organism=Plasmodium_vivax_PAM | gene_product=flap endonuclease, putative | transcript_product=flap endonuclease, putative | location=CASCJQ010000008:712436-713659(-) | protein_length=407 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718254.1         -           1247 1791at5820           -            805   1.2e-09   35.4  11.1   1   3   1.3e-05     0.021   11.5   1.2    71   139    71   135    57   158 0.78 | transcript=PVPAM_030025400_t1 | gene=PVPAM_030025400 | organism=Plasmodium_vivax_PAM | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=CASCJQ010000003:842377-846120(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718254.1         -           1247 1791at5820           -            805   1.2e-09   35.4  11.1   2   3   1.4e-08   2.2e-05   21.3   0.8   513   570   156   213   141   225 0.81 | transcript=PVPAM_030025400_t1 | gene=PVPAM_030025400 | organism=Plasmodium_vivax_PAM | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=CASCJQ010000003:842377-846120(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718254.1         -           1247 1791at5820           -            805   1.2e-09   35.4  11.1   3   3   0.00019      0.31    7.6   0.1   598   637   344   385   331   456 0.72 | transcript=PVPAM_030025400_t1 | gene=PVPAM_030025400 | organism=Plasmodium_vivax_PAM | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=CASCJQ010000003:842377-846120(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1791at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1791at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1791at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:39 2026
# [ok]
