#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722809.1         -            257 11045at5820          -            214    5e-118  390.9   8.8   1   1  1.4e-120  6.8e-118  390.4   8.8     1   214     1   238     1   238 0.93 | transcript=PVPAM_130031000_t1 | gene=PVPAM_130031000 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=CASCJQ010000013:1173066-1174701(+) | protein_length=257 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723421.1         -           1280 11045at5820          -            214   3.8e-10   38.3  43.5   4   5   6.9e-06    0.0034   15.6   0.2    17    50   821   854   811   861 0.89 | transcript=PVPAM_140034300_t1 | gene=PVPAM_140034300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=CASCJQ010000014:1247997-1251839(+) | protein_length=1280 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723421.1         -           1280 11045at5820          -            214   3.8e-10   38.3  43.5   5   5   2.7e-08   1.3e-05   23.4   5.7    96   190  1009  1102   998  1122 0.81 | transcript=PVPAM_140034300_t1 | gene=PVPAM_140034300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=CASCJQ010000014:1247997-1251839(+) | protein_length=1280 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720105.1         -           2641 11045at5820          -            214   8.6e-10   37.1  20.7   1   3   9.8e-07   0.00049   18.3   0.3     5    50   810   857   808   868 0.82 | transcript=PVPAM_080032700_t1 | gene=PVPAM_080032700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=CASCJQ010000008:1253024-1261442(-) | protein_length=2641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720105.1         -           2641 11045at5820          -            214   8.6e-10   37.1  20.7   2   3   9.7e-08   4.8e-05   21.6   9.5    86   197   956  1064   922  1078 0.77 | transcript=PVPAM_080032700_t1 | gene=PVPAM_080032700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=CASCJQ010000008:1253024-1261442(-) | protein_length=2641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720105.1         -           2641 11045at5820          -            214   8.6e-10   37.1  20.7   3   3     0.061        30    2.7   0.2   114   153  2218  2257  2198  2269 0.80 | transcript=PVPAM_080032700_t1 | gene=PVPAM_080032700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=CASCJQ010000008:1253024-1261442(-) | protein_length=2641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 11045at5820          -            214   9.2e-09   33.8   5.1   1   3         1     5e+02   -1.3   0.1   113   139   305   331   288   339 0.74 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 11045at5820          -            214   9.2e-09   33.8   5.1   2   3   5.1e-05     0.025   12.7   0.1    15    69   500   560   485   567 0.76 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 11045at5820          -            214   9.2e-09   33.8   5.1   3   3   8.7e-08   4.3e-05   21.8   0.3   114   182   711   777   700   802 0.77 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722997.1         -            351 11045at5820          -            214   3.4e-08   31.9   3.0   1   3       3.7   1.8e+03   -3.2   0.0    43    69    48    74    28    81 0.71 | transcript=PVPAM_130050300_t1 | gene=PVPAM_130050300 | organism=Plasmodium_vivax_PAM | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=CASCJQ010000013:1999133-2000188(+) | protein_length=351 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722997.1         -            351 11045at5820          -            214   3.4e-08   31.9   3.0   2   3   3.5e-06    0.0017   16.5   0.1    15    53   118   156   105   173 0.89 | transcript=PVPAM_130050300_t1 | gene=PVPAM_130050300 | organism=Plasmodium_vivax_PAM | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=CASCJQ010000013:1999133-2000188(+) | protein_length=351 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722997.1         -            351 11045at5820          -            214   3.4e-08   31.9   3.0   3   3   6.7e-06    0.0033   15.6   0.1   114   175   247   307   232   348 0.82 | transcript=PVPAM_130050300_t1 | gene=PVPAM_130050300 | organism=Plasmodium_vivax_PAM | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=CASCJQ010000013:1999133-2000188(+) | protein_length=351 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720739.1         -            783 11045at5820          -            214     1e-06   27.1   6.2   1   1   4.8e-07   0.00024   19.3   6.2    15   179   572   763   559   778 0.73 | transcript=PVPAM_090050400_t1 | gene=PVPAM_090050400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=CASCJQ010000009:2031131-2033769(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722884.1         -            695 11045at5820          -            214   5.1e-06   24.8   2.2   1   2   2.7e-07   0.00013   20.2   0.0    31   174    68   233    52   264 0.70 | transcript=PVPAM_130038600_t1 | gene=PVPAM_130038600 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=CASCJQ010000013:1498834-1500921(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722884.1         -            695 11045at5820          -            214   5.1e-06   24.8   2.2   2   2       4.4   2.2e+03   -3.4   0.4   135   189   426   485   397   488 0.59 | transcript=PVPAM_130038600_t1 | gene=PVPAM_130038600 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=CASCJQ010000013:1498834-1500921(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722408.1         -           1611 11045at5820          -            214   6.3e-06   24.5   0.6   1   1   4.3e-07   0.00021   19.5   0.6    14   170   707   883   692   904 0.64 | transcript=PVPAM_120064400_t1 | gene=PVPAM_120064400 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=CASCJQ010000012:2427914-2432749(+) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721839.1         -            969 11045at5820          -            214   1.3e-05   23.5   9.1   1   1   6.5e-07   0.00032   18.9   9.1    16   188   745   937   737   952 0.68 | transcript=PVPAM_120007300_t1 | gene=PVPAM_120007300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=CASCJQ010000012:98389-101386(+) | protein_length=969 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11045at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11045at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11045at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:14 2026
# [ok]
