#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720017.1         -            406 9842at5820           -            282  4.6e-148  490.6  43.0   1   4   3.5e-45   3.7e-42  143.1   7.0     1    89     1    89     1   103 0.90 | transcript=PVPAM_080023900_t1 | gene=PVPAM_080023900 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=CASCJQ010000008:855985-857205(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723296.1         -             76 9842at5820           -            282    0.0016   16.4   0.1   1   1   1.6e-06    0.0017   16.3   0.1     1    60     1    59     1    73 0.87 | transcript=PVPAM_140021500_t1 | gene=PVPAM_140021500 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein Nedd8, putative | transcript_product=ubiquitin-like protein Nedd8, putative | location=CASCJQ010000014:732237-732754(-) | protein_length=76 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721294.1         -            202 9842at5820           -            282     0.014   13.3   0.0   1   1     2e-05     0.022   12.7   0.0   240   275   166   201   152   202 0.89 | transcript=PVPAM_110019600_t1 | gene=PVPAM_110019600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000011:619877-621629(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9842at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9842at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9842at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:52:51 2026
# [ok]
