#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721493.1         -           1978 719at5820            -           1037         0 1403.8  81.2   1   8   5.1e-84   5.5e-81  271.3   2.7     3   174     5   189     3   194 0.92 | transcript=PVPAM_110039800_t1 | gene=PVPAM_110039800 | organism=Plasmodium_vivax_PAM | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=CASCJQ010000011:1448998-1454934(+) | protein_length=1978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 719at5820            -           1037   1.5e-46  157.4   1.8   1   2   1.6e-33   1.8e-30  104.1   0.0    32   253    35   275    12   281 0.79 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 719at5820            -           1037   1.5e-46  157.4   1.8   2   2   3.1e-16   3.3e-13   46.9   0.3   325   562   410   680   375   758 0.78 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 719at5820            -           1037   1.5e-27   94.4  62.6   1   6   3.8e-14   4.1e-11   40.0   5.6    57   174    91   222    28   235 0.81 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 719at5820            -           1037   1.5e-27   94.4  62.6   2   6   1.3e-16   1.4e-13   48.2   0.3   181   277   340   436   331   441 0.84 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 719at5820            -           1037   1.5e-27   94.4  62.6   3   6      0.32   3.5e+02   -2.8   0.0   294   321   550   577   537   586 0.71 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 719at5820            -           1037   1.5e-27   94.4  62.6   4   6   7.5e-09     8e-06   22.5  13.6   418   551   738   907   733   925 0.64 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 719at5820            -           1037   1.5e-27   94.4  62.6   5   6   0.00024      0.26    7.6   8.7   566   695   988  1146   982  1338 0.76 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 719at5820            -           1037   1.5e-27   94.4  62.6   6   6       1.6   1.8e+03   -5.1   3.1   767   805  1591  1626  1568  1645 0.48 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723637.1         -           1904 719at5820            -           1037   4.3e-25   86.3  19.6   1   4   1.6e-14   1.7e-11   41.3   0.2    60   177    95   228    43   242 0.80 | transcript=PVPAM_140056100_t1 | gene=PVPAM_140056100 | organism=Plasmodium_vivax_PAM | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=CASCJQ010000014:2198561-2205090(-) | protein_length=1904 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723637.1         -           1904 719at5820            -           1037   4.3e-25   86.3  19.6   2   4   5.3e-16   5.7e-13   46.2   9.8   182   471   264   600   257   646 0.74 | transcript=PVPAM_140056100_t1 | gene=PVPAM_140056100 | organism=Plasmodium_vivax_PAM | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=CASCJQ010000014:2198561-2205090(-) | protein_length=1904 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723637.1         -           1904 719at5820            -           1037   4.3e-25   86.3  19.6   3   4     0.097     1e+02   -1.1   0.0   512   556   673   717   634   722 0.89 | transcript=PVPAM_140056100_t1 | gene=PVPAM_140056100 | organism=Plasmodium_vivax_PAM | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=CASCJQ010000014:2198561-2205090(-) | protein_length=1904 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723637.1         -           1904 719at5820            -           1037   4.3e-25   86.3  19.6   4   4     0.071        76   -0.6   0.4   608   672   746   817   725   843 0.65 | transcript=PVPAM_140056100_t1 | gene=PVPAM_140056100 | organism=Plasmodium_vivax_PAM | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=CASCJQ010000014:2198561-2205090(-) | protein_length=1904 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/719at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/719at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/719at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:36 2026
# [ok]
