#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722885.1         -            148 13254at5820          -            127   2.7e-61  203.7  13.2   1   1   2.5e-63   2.3e-60  200.7  13.2     1   127     6   148     6   148 0.93 | transcript=PVPAM_130038700_t1 | gene=PVPAM_130038700 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000013:1501686-1502628(+) | protein_length=148 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722269.1         -            326 13254at5820          -            127   1.2e-09   36.8  33.4   2   6   0.00032      0.29    9.6   1.7     9    40    62    93    61   100 0.85 | transcript=PVPAM_120050600_t1 | gene=PVPAM_120050600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000012:1860357-1861867(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722269.1         -            326 13254at5820          -            127   1.2e-09   36.8  33.4   3   6   4.1e-05     0.038   12.5   2.2     4    36    80   112    76   114 0.88 | transcript=PVPAM_120050600_t1 | gene=PVPAM_120050600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000012:1860357-1861867(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722269.1         -            326 13254at5820          -            127   1.2e-09   36.8  33.4   4   6   4.7e-05     0.043   12.3   2.3     3    45   102   143   100   174 0.75 | transcript=PVPAM_120050600_t1 | gene=PVPAM_120050600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000012:1860357-1861867(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722269.1         -            326 13254at5820          -            127   1.2e-09   36.8  33.4   5   6   1.7e-06    0.0016   17.0   9.8     7    54   175   222   167   224 0.86 | transcript=PVPAM_120050600_t1 | gene=PVPAM_120050600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000012:1860357-1861867(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722269.1         -            326 13254at5820          -            127   1.2e-09   36.8  33.4   6   6     0.016        15    4.1   0.2     4    31   221   248   217   309 0.80 | transcript=PVPAM_120050600_t1 | gene=PVPAM_120050600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000012:1860357-1861867(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720004.1         -            381 13254at5820          -            127    0.0012   17.4  33.8   1   4     0.032        30    3.2  10.2     4    46    55    97    51   111 0.86 | transcript=PVPAM_080022600_t1 | gene=PVPAM_080022600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000008:819982-822067(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720004.1         -            381 13254at5820          -            127    0.0012   17.4  33.8   2   4      0.73   6.8e+02   -1.2   0.1    66    89   230   253   196   258 0.72 | transcript=PVPAM_080022600_t1 | gene=PVPAM_080022600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000008:819982-822067(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720004.1         -            381 13254at5820          -            127    0.0012   17.4  33.8   3   4   8.7e-05     0.081   11.5   3.9     5    52   260   305   255   308 0.83 | transcript=PVPAM_080022600_t1 | gene=PVPAM_080022600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000008:819982-822067(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720004.1         -            381 13254at5820          -            127    0.0012   17.4  33.8   4   4   2.3e-06    0.0021   16.5   1.1     6    50   307   349   302   359 0.80 | transcript=PVPAM_080022600_t1 | gene=PVPAM_080022600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000008:819982-822067(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720582.1         -           1002 13254at5820          -            127      0.32    9.5  25.2   1   5       1.5   1.4e+03   -2.2   0.5    62   118    27    85    21    94 0.59 | transcript=PVPAM_090034700_t1 | gene=PVPAM_090034700 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000009:1325948-1328956(+) | protein_length=1002 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720582.1         -           1002 13254at5820          -            127      0.32    9.5  25.2   2   5    0.0025       2.3    6.8   1.8     3    56   167   230   165   235 0.72 | transcript=PVPAM_090034700_t1 | gene=PVPAM_090034700 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000009:1325948-1328956(+) | protein_length=1002 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720582.1         -           1002 13254at5820          -            127      0.32    9.5  25.2   3   5      0.29   2.7e+02    0.1   3.2     8    42   218   237   196   259 0.49 | transcript=PVPAM_090034700_t1 | gene=PVPAM_090034700 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000009:1325948-1328956(+) | protein_length=1002 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720582.1         -           1002 13254at5820          -            127      0.32    9.5  25.2   4   5    0.0024       2.2    6.8   0.8     4    34   260   290   256   303 0.85 | transcript=PVPAM_090034700_t1 | gene=PVPAM_090034700 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000009:1325948-1328956(+) | protein_length=1002 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720582.1         -           1002 13254at5820          -            127      0.32    9.5  25.2   5   5   0.00014      0.12   10.8   0.8     4    34   330   360   326   403 0.85 | transcript=PVPAM_090034700_t1 | gene=PVPAM_090034700 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000009:1325948-1328956(+) | protein_length=1002 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718564.1         -            191 13254at5820          -            127      0.38    9.3  17.5   1   2    0.0079       7.3    5.1   0.3     4    33    33    62    30    63 0.86 | transcript=PVPAM_040030800_t1 | gene=PVPAM_040030800 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000004:1077053-1078241(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718564.1         -            191 13254at5820          -            127      0.38    9.3  17.5   2   2     0.029        27    3.3  13.8     5    55    57   117    52   169 0.80 | transcript=PVPAM_040030800_t1 | gene=PVPAM_040030800 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000004:1077053-1078241(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719701.1         -           1180 13254at5820          -            127         3    6.4  11.0   1   1     0.018        17    4.0  11.0    13    60    39    90    34   164 0.71 | transcript=PVPAM_070031500_t1 | gene=PVPAM_070031500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1141777-1145852(+) | protein_length=1180 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13254at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13254at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13254at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:12 2026
# [ok]
