#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722910.1         -            493 7062at5820           -            384  4.9e-210  695.8   4.5   1   3  3.4e-116    2e-113  377.8   0.1     1   213    10   245    10   249 0.94 | transcript=PVPAM_130041200_t1 | gene=PVPAM_130041200 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=CASCJQ010000013:1604417-1605898(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720391.1         -            378 7062at5820           -            384   5.1e-23   80.2   0.0   1   2      0.87   5.1e+02   -2.1   0.0    10    40     4    34     2    42 0.88 | transcript=PVPAM_090015600_t1 | gene=PVPAM_090015600 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000009:565217-567061(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720391.1         -            378 7062at5820           -            384   5.1e-23   80.2   0.0   2   2   4.1e-25   2.4e-22   78.0   0.0   108   380    90   370    75   373 0.77 | transcript=PVPAM_090015600_t1 | gene=PVPAM_090015600 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000009:565217-567061(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718142.1         -            414 7062at5820           -            384   2.8e-16   58.0   5.0   1   1     8e-19   4.7e-16   57.3   5.0   103   382   116   406     9   408 0.77 | transcript=PVPAM_030013800_t1 | gene=PVPAM_030013800 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000003:396964-399113(-) | protein_length=414 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719547.1         -            573 7062at5820           -            384   2.4e-13   48.4   0.0   1   3      0.61   3.6e+02   -1.5   0.0   122   151   160   189   126   193 0.69 | transcript=PVPAM_070016100_t1 | gene=PVPAM_070016100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000007:570839-572560(+) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719547.1         -            573 7062at5820           -            384   2.4e-13   48.4   0.0   2   3   6.6e-05     0.039   11.5   0.0   147   205   260   318   257   326 0.92 | transcript=PVPAM_070016100_t1 | gene=PVPAM_070016100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000007:570839-572560(+) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719547.1         -            573 7062at5820           -            384   2.4e-13   48.4   0.0   3   3   1.5e-11   9.1e-09   33.3   0.0   277   379   457   562   448   565 0.90 | transcript=PVPAM_070016100_t1 | gene=PVPAM_070016100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000007:570839-572560(+) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718196.1         -            855 7062at5820           -            384   3.6e-05   21.5   1.6   1   3    0.0015       0.9    7.0   0.0   104   151   103   150    88   160 0.85 | transcript=PVPAM_030019600_t1 | gene=PVPAM_030019600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=CASCJQ010000003:637890-640457(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718196.1         -            855 7062at5820           -            384   3.6e-05   21.5   1.6   2   3       1.5   8.6e+02   -2.8   0.1   152   176   444   468   424   501 0.67 | transcript=PVPAM_030019600_t1 | gene=PVPAM_030019600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=CASCJQ010000003:637890-640457(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718196.1         -            855 7062at5820           -            384   3.6e-05   21.5   1.6   3   3   2.2e-05     0.013   13.1   0.1   253   356   733   832   728   854 0.75 | transcript=PVPAM_030019600_t1 | gene=PVPAM_030019600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=CASCJQ010000003:637890-640457(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717985.1         -            529 7062at5820           -            384    0.0094   13.5   4.2   1   2   0.00053      0.31    8.5   0.3   124   205   191   272   174   278 0.81 | transcript=PVPAM_020021700_t1 | gene=PVPAM_020021700 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000002:720183-721974(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717985.1         -            529 7062at5820           -            384    0.0094   13.5   4.2   2   2    0.0024       1.4    6.4   0.4   230   328   370   468   347   517 0.65 | transcript=PVPAM_020021700_t1 | gene=PVPAM_020021700 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000002:720183-721974(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7062at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7062at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7062at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:43 2026
# [ok]
