#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721858.1         -            585 5251at5820           -            481  2.5e-301  997.6   2.4   1   1  4.6e-304  4.3e-301  996.8   2.4     6   481    69   583    64   583 0.94 | transcript=PVPAM_120009200_t1 | gene=PVPAM_120009200 | organism=Plasmodium_vivax_PAM | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=CASCJQ010000012:172890-174856(+) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720991.1         -           1077 5251at5820           -            481   9.1e-05   19.6   0.1   1   3    0.0022         2    5.3   0.0   165   209   418   462   412   469 0.90 | transcript=PVPAM_100026000_t1 | gene=PVPAM_100026000 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000010:913078-916311(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720991.1         -           1077 5251at5820           -            481   9.1e-05   19.6   0.1   2   3     9e-05     0.083    9.9   0.1   221   287   593   661   588   670 0.79 | transcript=PVPAM_100026000_t1 | gene=PVPAM_100026000 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000010:913078-916311(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720991.1         -           1077 5251at5820           -            481   9.1e-05   19.6   0.1   3   3     0.095        88   -0.1   0.0   433   471  1032  1071  1011  1076 0.75 | transcript=PVPAM_100026000_t1 | gene=PVPAM_100026000 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000010:913078-916311(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721596.1         -            495 5251at5820           -            481    0.0011   16.0   0.5   1   2   1.1e-05      0.01   12.9   0.1   239   314   134   209   106   214 0.90 | transcript=PVPAM_110050000_t1 | gene=PVPAM_110050000 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=CASCJQ010000011:1881620-1883107(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721596.1         -            495 5251at5820           -            481    0.0011   16.0   0.5   2   2     0.047        44    0.9   0.0    17    64   377   424   374   439 0.79 | transcript=PVPAM_110050000_t1 | gene=PVPAM_110050000 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=CASCJQ010000011:1881620-1883107(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5251at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5251at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5251at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:58 2026
# [ok]
