#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721426.1         -            533 6412at5820           -            480  1.4e-233  774.5  32.8   1   1  1.1e-235  4.1e-233  772.9  32.8     1   479     1   512     1   513 0.89 | transcript=PVPAM_110033200_t1 | gene=PVPAM_110033200 | organism=Plasmodium_vivax_PAM | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=CASCJQ010000011:1203603-1205204(-) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 6412at5820           -            480   1.3e-11   42.5   2.0   2   4   3.3e-08   1.3e-05   22.7   1.2   309   396   360   448   344   456 0.81 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 6412at5820           -            480   1.3e-11   42.5   2.0   3   4   1.7e-09   6.5e-07   27.0   0.0   181   247   459   521   451   528 0.90 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 6412at5820           -            480   1.3e-11   42.5   2.0   4   4   9.6e-05     0.037   11.3   2.7   174   271   536   633   530   639 0.76 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 6412at5820           -            480   1.7e-11   42.1   5.2   1   4   0.00079       0.3    8.3   0.3   307   339    67    99    59   107 0.88 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 6412at5820           -            480   1.7e-11   42.1   5.2   2   4     1e-05    0.0038   14.6   0.2   298   387   100   190    99   193 0.80 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 6412at5820           -            480   1.7e-11   42.1   5.2   3   4     5e-08   1.9e-05   22.1   0.0   290   384   182   269   179   272 0.81 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 6412at5820           -            480   1.7e-11   42.1   5.2   4   4      0.22        84    0.2   0.0   190   248   259   319   255   320 0.65 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 6412at5820           -            480   3.2e-10   37.9  10.5   1   2   2.4e-10   9.2e-08   29.8   4.0   292   393   198   297   173   305 0.89 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 6412at5820           -            480   3.2e-10   37.9  10.5   2   2   9.6e-05     0.037   11.3   0.5   274   354   319   402   311   425 0.74 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 6412at5820           -            480   3.9e-08   31.0  11.9   1   3   8.9e-05     0.034   11.4   4.4   292   348   106   158    30   163 0.63 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 6412at5820           -            480   3.9e-08   31.0  11.9   2   3   9.1e-06    0.0035   14.7   5.9   170   339    79   232    67   243 0.83 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 6412at5820           -            480   3.9e-08   31.0  11.9   3   3     4e-06    0.0015   15.9   0.0   184   241   266   319   256   323 0.85 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 6412at5820           -            480   1.2e-07   29.4  10.0   1   2     0.039        15    2.7   1.6   187   230   259   301   194   321 0.75 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721921.1         -            644 6412at5820           -            480   1.2e-07   29.4  10.0   2   2   3.3e-10   1.2e-07   29.4  10.0   215   389   429   594   420   605 0.80 | transcript=PVPAM_120015500_t1 | gene=PVPAM_120015500 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=CASCJQ010000012:440006-441940(-) | protein_length=644 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718172.1         -            327 6412at5820           -            480   4.3e-06   24.3   0.2   1   2   7.2e-08   2.7e-05   21.6   0.2   288   390   123   219   101   261 0.81 | transcript=PVPAM_030017200_t1 | gene=PVPAM_030017200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=CASCJQ010000003:513442-514823(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718172.1         -            327 6412at5820           -            480   4.3e-06   24.3   0.2   2   2      0.26        98    0.0   0.0   200   245   272   316   244   323 0.84 | transcript=PVPAM_030017200_t1 | gene=PVPAM_030017200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=CASCJQ010000003:513442-514823(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717887.1         -            447 6412at5820           -            480   4.5e-06   24.2   4.8   1   3      0.89   3.4e+02   -1.8   0.9    21    55    12    45     1    72 0.36 | transcript=PVPAM_020011900_t1 | gene=PVPAM_020011900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=CASCJQ010000002:329433-330776(+) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717887.1         -            447 6412at5820           -            480   4.5e-06   24.2   4.8   2   3   1.2e-08   4.5e-06   24.2   4.8   206   388   140   329   127   334 0.80 | transcript=PVPAM_020011900_t1 | gene=PVPAM_020011900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=CASCJQ010000002:329433-330776(+) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717887.1         -            447 6412at5820           -            480   4.5e-06   24.2   4.8   3   3    0.0067       2.6    5.2   0.2   186   249   311   372   301   375 0.60 | transcript=PVPAM_020011900_t1 | gene=PVPAM_020011900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=CASCJQ010000002:329433-330776(+) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 6412at5820           -            480   0.00016   19.1  22.4   1   4   0.00022     0.085   10.1   2.0   237   345    94   198    20   207 0.50 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 6412at5820           -            480   0.00016   19.1  22.4   2   4    0.0013      0.49    7.6   1.8   308   371   365   434   354   456 0.77 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 6412at5820           -            480   0.00016   19.1  22.4   3   4   3.5e-05     0.013   12.8   0.2   308   386   492   568   457   574 0.80 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 6412at5820           -            480   0.00016   19.1  22.4   4   4       0.2        77    0.4   0.3   340   382   614   658   594   660 0.64 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720447.1         -            469 6412at5820           -            480   0.00043   17.7   1.8   1   3     0.093        35    1.5   0.0   214   245   108   138    98   148 0.76 | transcript=PVPAM_090021200_t1 | gene=PVPAM_090021200 | organism=Plasmodium_vivax_PAM | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=CASCJQ010000009:766466-767875(-) | protein_length=469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720447.1         -            469 6412at5820           -            480   0.00043   17.7   1.8   2   3   8.7e-05     0.033   11.5   0.1   304   350   212   258   200   277 0.88 | transcript=PVPAM_090021200_t1 | gene=PVPAM_090021200 | organism=Plasmodium_vivax_PAM | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=CASCJQ010000009:766466-767875(-) | protein_length=469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720447.1         -            469 6412at5820           -            480   0.00043   17.7   1.8   3   3     0.059        22    2.1   0.1   332   387   350   402   310   410 0.70 | transcript=PVPAM_090021200_t1 | gene=PVPAM_090021200 | organism=Plasmodium_vivax_PAM | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=CASCJQ010000009:766466-767875(-) | protein_length=469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718230.1         -            649 6412at5820           -            480   0.00043   17.7   1.7   1   4       0.1        40    1.3   0.1   176   227   225   271   195   282 0.73 | transcript=PVPAM_030023000_t1 | gene=PVPAM_030023000 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=CASCJQ010000003:739166-741115(-) | protein_length=649 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718230.1         -            649 6412at5820           -            480   0.00043   17.7   1.7   2   4    0.0028       1.1    6.5   0.0   322   388   324   385   308   390 0.74 | transcript=PVPAM_030023000_t1 | gene=PVPAM_030023000 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=CASCJQ010000003:739166-741115(-) | protein_length=649 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718230.1         -            649 6412at5820           -            480   0.00043   17.7   1.7   3   4    0.0044       1.7    5.8   0.0   221   261   358   396   342   408 0.71 | transcript=PVPAM_030023000_t1 | gene=PVPAM_030023000 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=CASCJQ010000003:739166-741115(-) | protein_length=649 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718230.1         -            649 6412at5820           -            480   0.00043   17.7   1.7   4   4    0.0026         1    6.6   0.0   205   232   423   450   392   459 0.88 | transcript=PVPAM_030023000_t1 | gene=PVPAM_030023000 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 7, putative | transcript_product=U3 small nucleolar RNA-associated protein 7, putative | location=CASCJQ010000003:739166-741115(-) | protein_length=649 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721552.1         -            361 6412at5820           -            480   0.00062   17.2   0.0   1   1     4e-06    0.0015   15.9   0.0   169   248   190   267   183   274 0.87 | transcript=PVPAM_110045700_t1 | gene=PVPAM_110045700 | organism=Plasmodium_vivax_PAM | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=CASCJQ010000011:1691106-1693660(+) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 6412at5820           -            480    0.0018   15.6   0.2   1   1     8e-06     0.003   14.9   0.2   308   388   324   405   283   430 0.83 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 6412at5820           -            480     0.024   11.9   5.3   1   2    0.0024      0.93    6.7   5.4   200   257   325   382   310   394 0.82 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 6412at5820           -            480     0.024   11.9   5.3   2   2     0.035        13    2.9   0.0   171   234   425   485   397   501 0.77 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6412at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6412at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6412at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:24 2026
# [ok]
