#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719651.1         -            163 12427at5820          -            140   1.2e-91  302.2   6.1   1   2     1e-52   5.2e-50  167.3   0.3     1    79     5    84     5    89 0.97 | transcript=PVPAM_070026500_t1 | gene=PVPAM_070026500 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000007:948202-949547(-) | protein_length=163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723003.1         -            301 12427at5820          -            140   1.6e-08   32.9   0.1   1   1   5.8e-11   2.9e-08   32.0   0.1    30   107   185   267   159   277 0.82 | transcript=PVPAM_130050900_t1 | gene=PVPAM_130050900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000013:2018252-2020428(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723788.1         -            150 12427at5820          -            140   3.6e-08   31.7   0.0   1   1   8.9e-11   4.4e-08   31.4   0.0    14   124    24   137    12   148 0.82 | transcript=PVPAM_140071100_t1 | gene=PVPAM_140071100 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-conjugating enzyme UBC12, putative | transcript_product=NEDD8-conjugating enzyme UBC12, putative | location=CASCJQ010000014:2811631-2812838(+) | protein_length=150 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720245.1         -            139 12427at5820          -            140   2.7e-06   25.6   0.0   1   1   7.9e-09   3.9e-06   25.1   0.0    18   109    27   127    12   135 0.75 | transcript=PVPAM_080046800_t1 | gene=PVPAM_080046800 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme MMS2, putative | transcript_product=ubiquitin-conjugating enzyme MMS2, putative | location=CASCJQ010000008:1810676-1811529(+) | protein_length=139 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12427at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12427at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12427at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:48 2026
# [ok]
